date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2023-04-04 19:00:00,0.2172,0.2176,0.2172,0.2173,159111.0,1680635699999,34585.57100000,165,82988.00000000,18045.08190000,0,34574.8203,,
2023-04-04 19:15:00,0.2174,0.2177,0.217,0.217,115580.0,1680636599999,25118.90100000,131,49961.00000000,10863.87460000,0,25080.86,-0.0013815337219245105,
2023-04-04 19:30:00,0.217,0.2179,0.217,0.2178,193665.0,1680637499999,42104.73670000,211,115579.00000000,25121.24470000,0,42180.237,0.0036798569584004515,
2023-04-04 19:45:00,0.2178,0.2188,0.2176,0.2188,339319.0,1680638399999,74061.39760000,289,242354.00000000,52910.46090000,0,74242.9972,0.004580860048966073,
2023-04-04 20:00:00,0.2187,0.2191,0.218,0.219,621671.0,1680639299999,135978.29560000,368,487407.00000000,106623.36060000,0,136145.949,0.0009136592686747047,
2023-04-04 20:15:00,0.219,0.2192,0.2187,0.2187,198910.0,1680640199999,43562.54220000,153,54615.00000000,11965.19940000,0,43501.617,-0.0013708021337786036,
2023-04-04 20:30:00,0.2187,0.2195,0.2184,0.219,196883.0,1680641099999,43110.19860000,202,122151.00000000,26756.55610000,0,43117.377,0.0013708021337786036,
2023-04-04 20:45:00,0.2191,0.2195,0.2188,0.2191,359696.0,1680641999999,78799.25540000,311,211916.00000000,46423.67240000,0,78809.3936,0.00045651678491998027,
2023-04-04 21:00:00,0.2191,0.2211,0.2189,0.2205,1545390.0,1680642899999,340348.91770000,914,1176032.00000000,258981.28220000,0,340758.495,0.006369448285479917,
2023-04-04 21:15:00,0.2206,0.2206,0.219,0.219,489322.0,1680643799999,107563.33430000,504,175572.00000000,38607.12300000,0,107161.518,-0.0068259650703998975,
2023-04-04 21:30:00,0.2191,0.2193,0.2186,0.2188,156110.0,1680644699999,34181.38830000,186,95565.00000000,20932.01290000,0,34156.868,-0.0009136592686747047,
2023-04-04 21:45:00,0.2189,0.2189,0.2185,0.2187,108459.0,1680645599999,23724.68900000,120,35700.00000000,7811.31480000,0,23719.9833,-0.0004571428651038989,
2023-04-04 22:00:00,0.2188,0.2192,0.2184,0.2191,157964.0,1680646499999,34582.85540000,164,89213.00000000,19536.94170000,0,34609.9124,0.0018273189186985839,
2023-04-04 22:15:00,0.2191,0.2191,0.2183,0.2185,204869.0,1680647399999,44786.23770000,151,80892.00000000,17685.83100000,0,44763.8765,-0.0027422320657759514,
2023-04-04 22:30:00,0.2186,0.2187,0.218,0.2183,84567.0,1680648299999,18469.74680000,94,30520.00000000,6664.33760000,0,18460.9761,-0.0009157509797466101,
2023-04-04 22:45:00,0.2183,0.219,0.2183,0.2187,112644.0,1680649199999,24625.49770000,121,73535.00000000,16080.26610000,0,24635.2428,0.0018306641268239776,
2023-04-04 23:00:00,0.2188,0.219,0.2184,0.2188,79428.0,1680650099999,17365.54830000,104,33582.00000000,7344.10940000,0,17378.8464,0.0004571428651038989,
2023-04-04 23:15:00,0.2187,0.2189,0.2174,0.218,324506.0,1680650999999,70733.55130000,261,130410.00000000,28428.80870000,0,70742.308,-0.003663007758736958,
2023-04-04 23:30:00,0.2181,0.2186,0.2174,0.2182,253326.0,1680651899999,55183.03530000,189,69308.00000000,15094.91180000,0,55275.7332,0.0009170106098814745,
2023-04-04 23:45:00,0.2181,0.2181,0.2176,0.2178,466261.0,1680652799999,101577.24360000,291,125229.00000000,27283.37200000,0,101551.6458,-0.0018348629001105898,
2023-04-05 00:00:00,0.2179,0.2183,0.2174,0.2175,192825.0,1680653699999,42016.41430000,189,110748.00000000,24149.85670000,0,41939.4375,-0.0013783599701211457,
2023-04-05 00:15:00,0.2175,0.2185,0.2165,0.2184,361696.0,1680654599999,78636.89170000,501,155379.00000000,33819.79070000,0,78994.4064,0.004129393342011234,
2023-04-05 00:30:00,0.2184,0.2196,0.2182,0.2194,386616.0,1680655499999,84732.88470000,453,203344.00000000,44564.84580000,0,84823.55040000001,0.004568303970379883,
2023-04-05 00:45:00,0.2194,0.2211,0.2194,0.2209,453726.0,1680656399999,99879.14660000,522,320807.00000000,70589.01440000,0,100228.07340000001,0.006813562584941701,
2023-04-05 01:00:00,0.221,0.2214,0.2203,0.2212,540992.0,1680657299999,119533.86240000,604,257273.00000000,56843.47860000,0,119667.4304,0.0013571592221082174,
2023-04-05 01:15:00,0.2212,0.2216,0.221,0.2213,324056.0,1680658199999,71723.07020000,367,161143.00000000,35674.73220000,0,71713.5928,0.000451977408824078,
2023-04-05 01:30:00,0.2213,0.2219,0.2211,0.2211,233797.0,1680659099999,51773.50430000,357,90556.00000000,20065.34540000,0,51692.5167,-0.0009041591936034266,
2023-04-05 01:45:00,0.221,0.2214,0.2209,0.221,190785.0,1680659999999,42181.67440000,207,54609.00000000,12075.06470000,0,42163.485,-0.00045238634564759295,
2023-04-05 02:00:00,0.221,0.2215,0.2209,0.2214,220115.0,1680660899999,48709.08930000,230,110945.00000000,24554.34300000,0,48733.461,0.0018083187567836667,
2023-04-05 02:15:00,0.2213,0.2222,0.2213,0.2222,269215.0,1680661799999,59687.10100000,259,232079.00000000,51450.76160000,0,59819.573000000004,0.003606856930993052,
2023-04-05 02:30:00,0.2221,0.2229,0.2215,0.2216,488919.0,1680662699999,108759.57930000,563,222781.00000000,49552.72240000,0,108344.4504,-0.002703922332401021,0.016476692783752037
2023-04-05 02:45:00,0.2216,0.2224,0.2216,0.2223,293936.0,1680663599999,65268.21710000,284,201294.00000000,44706.49580000,0,65341.972799999996,0.0031538660970222843,0.016521454225363292
2023-04-05 03:00:00,0.2223,0.2231,0.2223,0.2226,223230.0,1680664499999,49721.91020000,309,99107.00000000,22077.15470000,0,49690.998,0.0013486178712935892,0.016264188322391477
2023-04-05 03:15:00,0.2225,0.2233,0.2224,0.2231,410459.0,1680665399999,91519.96940000,351,296963.00000000,66217.81330000,0,91573.4029,0.0022436625970423396,0.015853987678050956
2023-04-05 03:30:00,0.223,0.2237,0.2229,0.2232,343950.0,1680666299999,76801.20520000,364,109845.00000000,24528.37460000,0,76769.64,0.00044812906866908975,0.015852775057367666
2023-04-05 03:45:00,0.2232,0.2233,0.2228,0.2231,156971.0,1680667199999,35004.40370000,188,71984.00000000,16054.29810000,0,35020.2301,-0.00044812906866908975,0.015758685644594813
2023-04-05 04:00:00,0.2232,0.2239,0.2231,0.2234,246789.0,1680668099999,55202.86330000,297,150577.00000000,33686.73190000,0,55132.662599999996,0.0013437851966133785,0.01575745516963227
2023-04-05 04:15:00,0.2235,0.2235,0.2229,0.2229,98455.0,1680668999999,21966.70040000,155,55705.00000000,12428.30950000,0,21945.619499999997,-0.0022406462432771335,0.0160226317751807
2023-04-05 04:30:00,0.223,0.2233,0.2228,0.2232,183366.0,1680669899999,40901.52610000,160,126118.00000000,28133.04610000,0,40927.2912,0.0013449901153328447,0.01489009949218069
2023-04-05 04:45:00,0.2233,0.2235,0.2231,0.2232,83520.0,1680670799999,18654.32790000,140,56866.00000000,12702.74060000,0,18641.664,0.0,0.01289102567847293
2023-04-05 05:00:00,0.2231,0.2234,0.2224,0.2234,579305.0,1680671699999,129165.10050000,385,359530.00000000,80185.36990000,0,129416.737,0.0008956561279442887,0.012793028277676734
2023-04-05 05:15:00,0.2234,0.2236,0.2229,0.2236,701210.0,1680672599999,156549.19750000,411,331959.00000000,74135.02640000,0,156790.55599999998,0.0008948546458438233,0.012738554618972438
2023-04-05 05:30:00,0.2235,0.2238,0.2231,0.2233,400389.0,1680673499999,89435.81830000,280,148690.00000000,33225.13550000,0,89406.8637,-0.0013425824348318738,0.012852187961572092
