date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2020-07-20,0.3887,0.3957,0.3425,0.3567,43805592.81,1595289599999,16238190.70102500,77197,21365152.48000000,7916082.18775100,0,15625454.955327002,,
2020-07-21,0.3566,0.3706,0.3352,0.3463,34488069.07,1595375999999,12158957.22291900,47068,17111800.18000000,6038788.82693500,0,11943218.318941,-0.029589640956469765,
2020-07-22,0.3461,0.3596,0.3426,0.3456,19968117.74,1595462399999,6970514.47476300,22958,10052071.63000000,3510262.13784300,0,6900981.490944,-0.002023414478475649,
2020-07-23,0.3458,0.3495,0.3233,0.3291,23578757.68,1595548799999,8009410.15033100,33118,11333322.40000000,3856658.27084600,0,7759769.152488,-0.04892038098060625,
2020-07-24,0.329,0.3307,0.31,0.3123,20416761.08,1595635199999,6560509.86122400,27304,10402399.77000000,3348422.04061800,0,6376154.485284,-0.05239739166026136,
2020-07-25,0.3122,0.3374,0.3102,0.319,22159338.91,1595721599999,7241375.24477600,27496,10766027.56000000,3518496.44214500,0,7068829.112290001,0.02122683849581164,
2020-07-26,0.3189,0.3319,0.3037,0.3211,23060491.75,1595807999999,7319326.36089200,26606,11118577.12000000,3535287.37223300,0,7404723.900925,0.006561498310623692,
2020-07-27,0.3211,0.3245,0.2682,0.2873,41513389.91,1595894399999,12061388.11848200,42649,19875848.78000000,5771988.21277200,0,11926796.921143,-0.11122563511022432,
2020-07-28,0.2875,0.3173,0.2767,0.3143,26575322.77,1595980799999,7917297.43116100,25906,13255083.35000000,3955144.58227400,0,8352623.946611,0.08982097781827791,
2020-07-29,0.3143,0.3279,0.3058,0.308,21455088.7,1596067199999,6866590.66321300,38272,10815036.46000000,3465245.69536300,0,6608167.3196,-0.020248160829947404,
2020-07-30,0.3076,0.347,0.3033,0.3347,44573219.05,1596153599999,14778885.64841900,56650,21426878.24000000,7108746.89446100,0,14918656.416034998,0.08313482524370652,
2020-07-31,0.3343,0.348,0.3167,0.3271,18159118.07,1596239999999,5984170.81420100,21502,8440288.92000000,2781412.29647300,0,5939847.520697,-0.022968673672942863,
2020-08-01,0.3274,0.336,0.322,0.3279,17131457.77,1596326399999,5618233.05042700,27607,8420080.85000000,2763549.89802600,0,5617405.0027830005,0.0024427493062644245,
2020-08-02,0.3279,0.3382,0.2591,0.3016,24953570.05,1596412799999,7629726.56129100,39222,11375644.39000000,3496441.65697300,0,7525996.72708,-0.08360704771680161,
2020-08-03,0.3015,0.3235,0.2987,0.3096,13229468.46,1596499199999,4149805.27547700,21354,6446164.36000000,2021523.26591900,0,4095843.4352160003,0.026179505581771068,
2020-08-04,0.3097,0.3316,0.3094,0.3266,13145995.2,1596585599999,4222852.41930800,22774,7085573.76000000,2276471.86562600,0,4293482.03232,0.05345503882079261,
2020-08-05,0.3269,0.3466,0.3211,0.3355,22358605.74,1596671999999,7453998.96527300,37326,11479213.92000000,3830672.00810300,0,7501312.22577,0.026885775875371998,
2020-08-06,0.335,0.3748,0.3335,0.3638,33650170.2,1596758399999,12088326.72937900,47406,16603030.00000000,5955765.81804000,0,12241931.918760002,0.08098230967228526,
2020-08-07,0.3638,0.3799,0.3345,0.3689,28430646.46,1596844799999,10323986.55129700,41434,14687662.49000000,5347561.27493900,0,10488065.479094,0.013921338518608106,
2020-08-08,0.3692,0.46,0.3675,0.4524,50702799.17,1596931199999,20872030.99809600,73166,25492584.75000000,10471486.01406200,0,22937946.344508003,0.20404113963933546,
2020-08-09,0.4524,0.4713,0.411,0.4245,44555899.44,1597017599999,19595204.22597700,73636,21375573.75000000,9410192.52316000,0,18913979.31228,-0.06365473849056347,
2020-08-10,0.4245,0.4861,0.403,0.4686,48267064.99,1597103999999,21523367.92982700,86625,24607683.85000000,10997144.17327900,0,22617946.654314,0.09883752032229332,
2020-08-11,0.4687,0.4875,0.3958,0.4366,52916965.05,1597190399999,23317785.66532700,85091,25534467.16000000,11278826.36734900,0,23103546.94083,-0.07073208195785186,
2020-08-12,0.4361,0.544,0.4067,0.5233,59270409.742,1597276799999,27385441.33675400,95657,31306709.28200000,14480427.13827100,0,31016205.4179886,0.18113746926231866,
2020-08-13,0.5233,0.6965,0.4959,0.6699,122235762.078,1597363199999,72703646.39036980,221353,60214653.09300000,35807168.72548080,0,81885737.0160522,0.24697353413605982,
2020-08-14,0.6688,0.76,0.6191,0.6388,90649893.98,1597449599999,62984269.37946920,174189,44567096.75000000,31012752.90390120,0,57907152.27442401,-0.0475370311733645,
2020-08-15,0.638,0.7089,0.5854,0.6342,58732672.96,1597535999999,38020362.83787900,115617,28279068.53000000,18314246.57045200,0,37248261.191232,-0.0072270542366105195,
2020-08-16,0.6343,0.6649,0.615,0.6291,45691687.29,1597622399999,29177468.32171900,86075,23917526.37000000,15284028.76884600,0,28744640.474138997,-0.008074135528262971,
2020-08-17,0.6291,0.693,0.5812,0.5872,54686163.22,1597708799999,34739487.39506100,126197,28751059.69000000,18311175.31191300,0,32111715.042784,-0.06892474927567804,
2020-08-18,0.5871,0.6071,0.51,0.5567,51567546.34,1597795199999,29531135.03793000,91427,24795486.38000000,14222240.41681300,0,28707653.047478,-0.05333898211084387,
2020-08-19,0.5562,0.6257,0.5,0.5965,76601980.08,1597881599999,43765075.58298000,139908,37340940.50000000,21351509.37061300,0,45693081.11772,0.06905274634850878,0.4694147027971245
2020-08-20,0.5964,0.6666,0.592,0.6264,56682001.17,1597967999999,35803007.92708200,107804,28065858.44000000,17735859.61152900,0,35505605.532887995,0.04890990313862248,0.4678920102732595
2020-08-21,0.6261,0.6345,0.5219,0.5323,61932553.6,1598054399999,35700529.89897500,104524,28239335.38000000,16292654.83550500,0,32966698.28128,-0.1627819044978816,0.5020061570884848
2020-08-22,0.5314,0.5862,0.511,0.5636,46973487.02,1598140799999,25844334.54056500,79079,23234880.85000000,12793062.55983600,0,26474257.284472,0.05713753984581349,0.49936420451685587
2020-08-23,0.5643,0.6375,0.5439,0.6132,43077734.4,1598227199999,25201843.70413400,79932,22228123.25000000,13019484.92106100,0,26415266.734079998,0.0843463669731338,0.49816241010589457
2020-08-24,0.6137,0.6645,0.5933,0.6293,42594604.2,1598313599999,26743222.11042200,82536,21373227.93000000,13436395.85456600,0,26804784.42306,0.025916943535228887,0.49817217699867566
2020-08-25,0.629,0.6391,0.529,0.5609,46808856.49,1598399999999,27072999.45610200,77051,21672377.22000000,12554116.46067800,0,26255087.605241,-0.11506545401859669,0.5167363732321798
2020-08-26,0.5612,0.589,0.5293,0.55,30516133.2,1598486399999,17008751.60603400,50292,14422369.74000000,8044346.15697200,0,16783873.26,-0.019624358287774535,0.500803415089276
2020-08-27,0.5505,0.5579,0.49,0.5225,33964698.03,1598572799999,17901595.30461700,52358,15550907.67000000,8196515.40832400,0,17746554.720675,-0.05129329438755059,0.5008123436550794
2020-08-28,0.5226,0.5625,0.5122,0.5337,23945614.88,1598659199999,12838646.01568600,39121,11636186.23000000,6238701.39813900,0,12779774.661455998,0.021208899500932965,0.499341288634319
2020-08-29,0.5343,0.5483,0.5229,0.5334,15949179.44,1598745599999,8542540.92524200,27341,7887641.42000000,4228953.27347900,0,8507292.313296,-0.0005622715919851862,0.49509993959393045
2020-08-30,0.5335,0.55,0.5067,0.5181,19710998.33,1598831999999,10411955.51927000,36611,8760479.70000000,4632762.44372200,0,10212268.234772999,-0.029103337927171236,0.4956311967173834
2020-08-31,0.5182,0.5268,0.5014,0.5021,15634942.22,1598918399999,8066823.49996500,30092,7268928.10000000,3756257.70799600,0,7850304.488662,-0.03136897078008283,0.4976897148807595
2020-09-01,0.5015,0.5536,0.489,0.5168,39136381.2,1599004799999,20556049.32992800,65055,19626424.93000000,10330780.93480400,0,20225681.804160003,0.02885664942773236,0.48742624603580204
2020-09-02,0.5164,0.5271,0.4186,0.4638,40772253.14,1599091199999,19085945.82632600,67277,18860519.54000000,8832699.82916400,0,18910171.006332,-0.10820252764696092,0.503344132156816
2020-09-03,0.4638,0.4716,0.33,0.3486,45181712.17,1599177599999,18409481.27759100,67425,20521103.78000000,8374140.84459500,0,15750344.862462,-0.28552829173551064,0.5832867251101721
2020-09-04,0.3484,0.3877,0.3311,0.374,36460308.68,1599263999999,13197252.15006700,50876,17562852.02000000,6360135.53483900,0,13636155.44632,0.07033066432861135,0.586798259321535
2020-09-05,0.3738,0.3998,0.316,0.3415,31484038.26,1599350399999,11362557.94827900,39268,14131497.23000000,5111982.40897800,0,10751799.065790001,-0.09090811840368718,0.58852879629834
2020-09-06,0.3419,0.3874,0.3189,0.3757,25122252.89,1599436799999,8916292.69939300,33192,11986059.11000000,4256525.44512200,0,9438430.410773,0.09544327356907845,0.596419037921852
2020-09-07,0.3756,0.3846,0.3293,0.3722,23012046.07,1599523199999,8213134.85092700,30837,10840006.25000000,3870807.28105300,0,8565083.547254,-0.009359608371772854,0.5580648417946146
2020-09-08,0.3728,0.3766,0.3367,0.349,17930662.54,1599609599999,6294270.48134500,26432,7931917.75000000,2787422.69385600,0,6257801.22646,-0.06435942200572331,0.5581399352359446
2020-09-09,0.3489,0.435,0.3376,0.413,38270938.03,1599695999999,14901644.66410600,53111,19417335.03000000,7563228.12440900,0,15805897.40639,0.1683756707586057,0.5757733008226278
2020-09-10,0.4129,0.45,0.4012,0.4131,31352357.41,1599782399999,13315904.16788700,49682,15116623.87000000,6420890.64516600,0,12951658.846071001,0.00024210144168612668,0.5716501787335079
2020-09-11,0.4128,0.4151,0.39,0.411,20103330.77,1599868799999,8098980.60188000,31700,9641900.94000000,3890666.21689100,0,8262468.946469999,-0.005096479906484319,0.5394089589272203
2020-09-12,0.4112,0.4181,0.3973,0.409,16999629.8,1599955199999,6879282.88393200,30840,8200155.86000000,3320519.04286400,0,6952848.5882,-0.00487805845343281,0.4706426336273199
2020-09-13,0.409,0.4159,0.3554,0.3774,18492942.27,1600041599999,7126688.20487500,35015,8418986.72000000,3252644.57180800,0,6979236.412698,-0.08040952310835181,0.47402487136985977
2020-09-14,0.3774,0.39,0.3651,0.3819,12947283.11,1600127999999,4907814.00172200,25176,6196549.63000000,2352253.29451100,0,4944567.419709,0.011853161297020631,0.47483772302311544
2020-09-15,0.3817,0.3884,0.3512,0.3539,14742851.04,1600214399999,5462022.51083200,25905,6637836.18000000,2464101.95594700,0,5217494.9830559995,-0.07614440688005297,0.4783936339419999
2020-09-16,0.3539,0.3628,0.3366,0.3598,13172327.16,1600300799999,4625918.72440400,19713,5983971.59000000,2102152.47471900,0,4739403.312168,0.01653393416501525,0.47683068430953196
2020-09-17,0.3599,0.376,0.3458,0.3565,16841409.99,1600387199999,6066286.37762400,23841,8244182.80000000,2971784.75342200,0,6003962.661434999,-0.009214081662082263,0.4753268339007035
2020-09-18,0.3566,0.3632,0.3281,0.3369,17559994.08,1600473599999,6089652.42989700,25581,8837426.98000000,3064570.85926300,0,5915962.005551999,-0.05654808944184353,0.46894159262408147
2020-09-19,0.3366,0.3461,0.3248,0.3423,10759537.08,1600559999999,3595938.96538600,14249,5026902.42000000,1679453.51781600,0,3682989.542484,0.015901395123632645,0.4651397990441792
2020-09-20,0.3424,0.3589,0.3115,0.3273,16875651.53,1600646399999,5650026.54171000,25267,7740452.95000000,2595270.03496500,0,5523400.745769,-0.044810364029004957,0.4421054661394397
2020-09-21,0.3274,0.3305,0.2742,0.2873,30174042.84,1600732799999,9000017.06163500,41983,13539835.85000000,4040012.40749500,0,8669002.507932,-0.13035021552189074,0.4496182648601894
2020-09-22,0.288,0.3136,0.2748,0.3062,20205160.8,1600819199999,5948890.65076200,24753,9942299.29000000,2926780.35089100,0,6186820.23696,0.06371151723833957,0.4449971839233577
2020-09-23,0.3063,0.31,0.263,0.269,18124984.07,1600905599999,5239142.27726400,22308,8776371.58000000,2541818.09177900,0,4875620.71483,-0.12952710362174447,0.4543187350906331
2020-09-24,0.2693,0.3026,0.2633,0.2941,16928414.92,1600991999999,4774118.12177900,16743,8829093.59000000,2489477.89337900,0,4978646.827972,0.08920846595811027,0.459864982446339
2020-09-25,0.2941,0.3278,0.288,0.3174,20945388.02,1601078399999,6396204.88538200,24844,10950985.63000000,3344171.08262100,0,6648066.157548,0.07624296253235929,0.4701515598815682
2020-09-26,0.3175,0.3419,0.3135,0.3253,17346342.07,1601164799999,5703566.03981600,24295,8384172.08000000,2760084.49745100,0,5642765.075371,0.024585025386997028,0.47076996192763704
2020-09-27,0.3249,0.3277,0.3029,0.3209,11393944.84,1601251199999,3599530.44674400,16852,5636288.00000000,1780912.59204700,0,3656316.899156,-0.01361828536349452,0.4692236807915063
