date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2020-07-20,10.653,10.71,10.32,10.386,263481.991,1595289599999,2776472.03261100,8930,128935.79000000,1359325.16712300,0,2736523.9585259994,,
2020-07-21,10.378,11.48,10.325,11.184,1007967.044,1595375999999,11077761.76808000,33519,534702.31200000,5877591.02330900,0,11273103.420095999,0.07402544006932743,
2020-07-22,11.175,11.713,11.0,11.559,705713.612,1595462399999,7975010.53887200,25101,340021.43000000,3842900.20937200,0,8157343.641107999,0.03298016882067545,
2020-07-23,11.566,11.712,11.33,11.432,501776.302,1595548799999,5769141.71940600,16069,240164.04400000,2762452.19275200,0,5736306.684464,-0.011047913684563593,
2020-07-24,11.44,11.44,11.0,11.101,536352.063,1595635199999,5977170.09407800,15417,261254.38800000,2912854.33980900,0,5954044.251363,-0.02938124627705596,
2020-07-25,11.092,11.664,11.076,11.608,623304.444,1595721599999,7138278.91454400,20614,312209.83600000,3574507.96846900,0,7235317.985952,0.04465932123137639,
2020-07-26,11.601,11.925,11.42,11.62,645150.565,1595807999999,7527363.91577100,23992,304934.88800000,3559902.39646200,0,7496649.565299999,0.0010332358418785326,
2020-07-27,11.62,11.86,10.76,11.619,1355198.683,1595894399999,15395424.64392700,48156,706698.24600000,8033849.81782200,0,15746053.497777,-8.606222304052835e-05,
2020-07-28,11.629,12.05,11.301,11.738,1001908.274,1595980799999,11724505.90228400,38840,515824.54400000,6037993.39606500,0,11760399.320212,0.010189752935418017,
2020-07-29,11.734,12.267,11.605,11.67,800589.32,1596067199999,9545530.49889600,29095,401053.45900000,4783698.99672700,0,9342877.3644,-0.005809995837678272,
2020-07-30,11.665,11.899,11.465,11.774,491197.97,1596153599999,5745842.13039200,18756,241164.42600000,2820923.77671300,0,5783364.898779999,0.008872264307604905,
