date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2022-10-30 16:00:00,20676.72,20700.91,20550.0,20647.49,30214.93935,1667159999999,623781417.08325250,697224,14994.11807000,309568546.78190160,0,623862658.0797316,,
2022-10-30 20:00:00,20647.77,20739.0,20515.0,20627.48,29010.04941,1667174399999,598187577.08132980,672096,14344.10843000,295806918.25125950,0,598404214.0037868,-0.0009695949660351033,
2022-10-31 00:00:00,20627.48,20675.0,20427.23,20516.07,38837.89003,1667188799999,797202135.07044310,922777,19344.17931000,397071355.98241580,0,796800870.5077821,-0.005415685924100799,
2022-10-31 04:00:00,20516.07,20593.0,20455.0,20546.65,29471.83535,1667203199999,604917284.70307130,776920,14781.07697000,303394333.79566410,0,605547485.7940775,0.0014894291295473039,
2022-10-31 08:00:00,20547.08,20845.92,20449.86,20730.54,56721.14914,1667217599999,1172479971.33012210,1238636,28592.18671000,591028669.39771730,0,1175860051.0927358,0.008910064690573094,
2022-10-31 12:00:00,20731.53,20755.73,20237.95,20401.53,91762.35397,1667231999999,1879867532.69489890,1815187,44932.22345000,920526254.04639240,0,1872092417.3895738,-0.015998077274655742,
2022-10-31 16:00:00,20402.6,20533.0,20328.68,20371.72,56560.55789,1667246399999,1154279808.12710630,1120222,28310.84369000,577799482.64726770,0,1152235848.3788707,-0.0014622334649043722,
2022-10-31 20:00:00,20371.4,20524.76,20353.77,20490.74,30213.8299,1667260799999,617557568.51822220,697784,15261.78632000,311957667.99101690,0,619103732.8851261,0.0058254122039009815,
2022-11-01 00:00:00,20490.74,20589.67,20440.64,20482.57,42530.18742,1667275199999,872211293.64739070,987605,21267.08232000,436159497.02926410,0,871127540.9432694,-0.0003987961972455878,
2022-11-01 04:00:00,20482.57,20662.8,20466.71,20599.51,41697.36943,1667289599999,857639750.76796310,992380,20998.84989000,431920382.35773690,0,858945378.5469792,0.005693008525305743,
2022-11-01 08:00:00,20598.74,20700.0,20489.92,20522.79,53368.52562,1667303999999,1098964405.67246090,1122012,26213.04520000,539819278.95599940,0,1095271043.9088798,-0.003731313132409042,
2022-11-01 12:00:00,20522.23,20570.07,20330.74,20444.0,73725.84369,1667318399999,1507996711.12383100,1395924,36508.76845000,746760451.66119150,0,1507251148.3983598,-0.0038465350664242948,
2022-11-01 16:00:00,20444.0,20517.77,20372.85,20451.45,45119.33416,1667332799999,922515216.28844320,930350,22684.22718000,463819050.28393550,0,922755806.606532,0.0003643437146383377,
2022-11-01 20:00:00,20449.29,20503.51,20429.35,20483.62,23491.17739,1667347199999,480775177.42074040,543667,11605.97402000,237539435.47544130,0,481184351.0093518,0.0015717577433136398,
2022-11-02 00:00:00,20482.81,20558.35,20407.66,20520.34,35736.13079,1667361599999,732595754.87437040,866069,17957.80713000,368152105.22591070,0,733317554.0952686,0.001791047002095425,
2022-11-02 04:00:00,20520.34,20563.36,20356.75,20421.64,40207.32805,1667375999999,823172868.45276440,960846,19847.68609000,406363923.51939440,0,821099578.7990019,-0.004821466436293775,
2022-11-02 08:00:00,20421.64,20539.9,20339.99,20431.33,43427.03759,1667390399999,887650293.83523090,1019977,21762.50141000,444842279.11891720,0,887272135.9236947,0.00047438412344114056,
2022-11-02 12:00:00,20432.38,20457.29,20360.0,20409.03,49089.14117,1667404799999,1001936658.72577880,1041554,24431.07780000,498670379.49770440,0,1001861754.8127651,-0.0010920570835430965,
2022-11-02 16:00:00,20409.03,20800.0,20048.04,20250.68,152367.1987,1667419199999,3122134740.43465230,2476662,75812.28522000,1553644287.28661000,0,3085539383.370116,-0.007789076734027844,
2022-11-02 20:00:00,20250.68,20282.6,20059.94,20151.84,52889.43669,1667433599999,1065913776.10789520,1066590,25974.61447000,523491816.57327030,0,1065819465.8670096,-0.004892773875463163,
2022-11-03 00:00:00,20151.84,20339.99,20120.0,20310.63,45286.36328,1667447999999,917457502.22639850,1047190,23063.35640000,467251257.03189090,0,919794568.6256664,0.00784879495337698,
2022-11-03 04:00:00,20310.63,20393.32,20281.01,20303.09,39635.74249,1667462399999,806209537.62005350,1045298,19716.17492000,401053033.78891700,0,804728046.991294,-0.0003713031008558687,
2022-11-03 08:00:00,20302.35,20338.99,20052.0,20130.64,57231.73925,1667476799999,1159106029.26741240,1282848,28411.26209000,575437110.80327610,0,1152111539.4156199,-0.008530058723144052,
2022-11-03 12:00:00,20129.8,20339.86,20031.24,20248.62,93114.84927,1667491199999,1880638258.60103580,1884407,46905.71461000,947384508.43592950,0,1885447199.2255075,0.005843610592638271,
2022-11-03 16:00:00,20249.18,20315.8,20177.1,20262.53,48379.24924,1667505599999,979813635.19448550,1002219,24344.60276000,493067358.20093280,0,980285989.102977,0.0006867245460391302,
2022-11-03 20:00:00,20262.53,20271.0,20157.86,20207.82,35537.21087,1667519999999,718448202.33025710,686265,17498.50792000,353775435.20024050,0,718129560.5630034,-0.0027037094232049697,
