rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/n_changepoints,config/changepoint_range,config/changepoint_prior_scale,config/seasonality_prior_scale,config/seasonality_mode
0.0010041256617099022,0.0006229840835879926,6.230088233947754,True,1,2023-07-02_12-48-44,1688294924,6.230088233947754,21512,Stephan,127.0.0.1,6.230088233947754,1,"1_changepoint_prior_scale=0.5000,changepoint_range=0.4000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.1000",10,0.4,0.5,0.1,additive
0.0010039782974636043,0.0006214383890387218,5.9232892990112305,True,1,2023-07-02_12-48-54,1688294934,5.9232892990112305,62200,Stephan,127.0.0.1,5.9232892990112305,1,"2_changepoint_prior_scale=0.0100,changepoint_range=0.4000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",25,0.4,0.01,1.0,multiplicative
0.0010240586309331202,0.0006570909333707876,79.0697169303894,True,1,2023-07-02_12-50-17,1688295017,79.0697169303894,21744,Stephan,127.0.0.1,79.0697169303894,1,"3_changepoint_prior_scale=0.0010,changepoint_range=0.9000,n_changepoints=100,seasonality_mode=multiplicative,seasonality_prior_scale=0.0100",100,0.9,0.001,0.01,multiplicative
0.0009948710307370512,0.0006158010898152492,6.486762285232544,True,1,2023-07-02_12-49-14,1688294954,6.486762285232544,60648,Stephan,127.0.0.1,6.486762285232544,1,"4_changepoint_prior_scale=0.0100,changepoint_range=0.9000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.0100",50,0.9,0.01,0.01,additive
0.0010246484144909949,0.0006559644077736795,69.16009545326233,True,1,2023-07-02_12-50-27,1688295027,69.16009545326233,47944,Stephan,127.0.0.1,69.16009545326233,1,"5_changepoint_prior_scale=0.0010,changepoint_range=0.8000,n_changepoints=100,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",100,0.8,0.001,1.0,multiplicative
0.001002972841986157,0.0006268052586362737,7.027038335800171,True,1,2023-07-02_12-49-37,1688294977,7.027038335800171,60924,Stephan,127.0.0.1,7.027038335800171,1,"6_changepoint_prior_scale=1.0000,changepoint_range=0.4000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",50,0.4,1.0,10.0,multiplicative
0.0009965229776354877,0.0006143618078643293,6.690182209014893,True,1,2023-07-02_12-49-48,1688294988,6.690182209014893,36008,Stephan,127.0.0.1,6.690182209014893,1,"7_changepoint_prior_scale=0.0100,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",25,0.8,0.01,1.0,multiplicative
0.001015455648735678,0.0006475408429521097,7.055171966552734,True,1,2023-07-02_12-49-59,1688294999,7.055171966552734,58416,Stephan,127.0.0.1,7.055171966552734,1,"8_changepoint_prior_scale=0.5000,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=0.1000",25,0.8,0.5,0.1,multiplicative
0.0009999489237813913,0.0006193396859531046,6.529537916183472,True,1,2023-07-02_12-50-11,1688295011,6.529537916183472,43384,Stephan,127.0.0.1,6.529537916183472,1,"9_changepoint_prior_scale=0.0100,changepoint_range=0.4000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=1.0000",50,0.4,0.01,1.0,additive
0.0010077447884903829,0.0006418986542041941,10.3471360206604,True,1,2023-07-02_12-50-25,1688295025,10.3471360206604,26028,Stephan,127.0.0.1,10.3471360206604,1,"10_changepoint_prior_scale=0.0010,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=1.0000",25,0.6,0.001,1.0,additive
0.0010082587150663427,0.0006461778675620949,6.284656524658203,True,1,2023-07-02_12-50-33,1688295033,6.284656524658203,49604,Stephan,127.0.0.1,6.284656524658203,1,"11_changepoint_prior_scale=0.5000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.1000",50,0.6,0.5,0.1,additive
0.001015455648735678,0.0006475408429521097,5.98215389251709,True,1,2023-07-02_12-50-42,1688295042,5.98215389251709,39980,Stephan,127.0.0.1,5.98215389251709,1,"12_changepoint_prior_scale=0.5000,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",25,0.8,0.5,10.0,multiplicative
0.0009965229776354877,0.0006143618078643293,5.736623048782349,True,1,2023-07-02_12-50-51,1688295051,5.736623048782349,50696,Stephan,127.0.0.1,5.736623048782349,1,"13_changepoint_prior_scale=0.0100,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.0100",25,0.8,0.01,0.01,additive
0.000995964265139163,0.000620310387204238,5.888429641723633,True,1,2023-07-02_12-51-01,1688295061,5.888429641723633,60524,Stephan,127.0.0.1,5.888429641723633,1,"14_changepoint_prior_scale=0.0100,changepoint_range=0.8000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=0.0100",50,0.8,0.01,0.01,multiplicative
0.0009987494198610317,0.0006179412140233838,5.670121192932129,True,1,2023-07-02_12-51-10,1688295070,5.670121192932129,62028,Stephan,127.0.0.1,5.670121192932129,1,"15_changepoint_prior_scale=0.0100,changepoint_range=0.8000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.8,0.01,0.01,additive
0.0010050180515795103,0.0006277501288667538,6.021728754043579,True,1,2023-07-02_12-51-20,1688295080,6.021728754043579,23668,Stephan,127.0.0.1,6.021728754043579,1,"16_changepoint_prior_scale=0.0010,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",10,0.6,0.001,1.0,multiplicative
0.0010079571765666297,0.0006241537410231096,5.776946306228638,True,1,2023-07-02_12-51-29,1688295089,5.776946306228638,48516,Stephan,127.0.0.1,5.776946306228638,1,"17_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=1.0000",10,0.6,0.1,1.0,additive
0.0010086270426920194,0.0006254173159447068,6.201029300689697,True,1,2023-07-02_12-51-39,1688295099,6.201029300689697,59912,Stephan,127.0.0.1,6.201029300689697,1,"18_changepoint_prior_scale=0.1000,changepoint_range=0.9000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.1000",50,0.9,0.1,0.1,additive
0.0010085837044028559,0.0006456638505787686,5.944491386413574,True,1,2023-07-02_12-51-48,1688295108,5.944491386413574,59668,Stephan,127.0.0.1,5.944491386413574,1,"19_changepoint_prior_scale=0.5000,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.1000",25,0.6,0.5,0.1,additive
0.0010071187373134145,0.0006256504019666112,5.524896144866943,True,1,2023-07-02_12-51-57,1688295117,5.524896144866943,55872,Stephan,127.0.0.1,5.524896144866943,1,"20_changepoint_prior_scale=0.0100,changepoint_range=0.9000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.1000",25,0.9,0.01,0.1,additive
