rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.0034234025552586883,0.0033303844523914776,12.11230206489563,True,1,2023-06-30_01-04-45,1688079885,12.11230206489563,1957996,cs02.science.uu.nl,131.211.30.52,12.11230206489563,1,"1_batch_size=128,dropout=0.0366,hidden_dim=32,input_chunk_length=12,n_epochs=25,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,12,25,128,0.03657116642166792,1,False,auto
0.0007929595700958385,0.0006567095594357131,17.251352071762085,True,1,2023-06-30_01-06-13,1688079973,17.251352071762085,1958185,cs02.science.uu.nl,131.211.30.52,17.251352071762085,1,"2_batch_size=16,dropout=0.4468,hidden_dim=64,input_chunk_length=12,n_epochs=25,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,12,25,16,0.4468484656840541,1,False,auto
0.0007985554942822156,0.0006667664403586775,26.48702573776245,True,1,2023-06-30_01-07-56,1688080076,26.48702573776245,1958416,cs02.science.uu.nl,131.211.30.52,26.48702573776245,1,"3_batch_size=16,dropout=0.2903,hidden_dim=64,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",64,2,75,3,50,16,0.2903063828448487,1,False,auto
0.0008196056094226755,0.0006474011864763803,22.16653275489807,True,1,2023-06-30_01-07-52,1688080072,22.16653275489807,1958419,cs02.science.uu.nl,131.211.30.52,22.16653275489807,1,"4_batch_size=128,dropout=0.2611,hidden_dim=16,input_chunk_length=12,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",16,1,25,12,100,128,0.26111923873315485,1,False,auto
0.004762455895280737,0.00469602485290223,25.02658772468567,True,1,2023-06-30_01-07-55,1688080075,25.02658772468567,1958422,cs02.science.uu.nl,131.211.30.52,25.02658772468567,1,"5_batch_size=64,dropout=0.1492,hidden_dim=64,input_chunk_length=3,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,3,75,64,0.14916920775590248,1,False,auto
0.004838960167175517,0.004773587032624401,25.050618886947632,True,1,2023-06-30_01-07-55,1688080075,25.050618886947632,1958424,cs02.science.uu.nl,131.211.30.52,25.050618886947632,1,"6_batch_size=64,dropout=0.4422,hidden_dim=32,input_chunk_length=3,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=100",32,4,100,3,100,64,0.4421749158653779,1,False,auto
0.0007955349778907944,0.0006619085893149308,23.609461069107056,True,1,2023-06-30_01-07-53,1688080073,23.609461069107056,1958426,cs02.science.uu.nl,131.211.30.52,23.609461069107056,1,"7_batch_size=64,dropout=0.0483,hidden_dim=16,input_chunk_length=24,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",16,2,100,24,75,64,0.04829948434755388,1,False,auto
0.0011441549385695282,0.0009078452985350743,23.834093809127808,True,1,2023-06-30_01-07-53,1688080073,23.834093809127808,1958428,cs02.science.uu.nl,131.211.30.52,23.834093809127808,1,"8_batch_size=128,dropout=0.2379,hidden_dim=128,input_chunk_length=6,n_epochs=75,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=100",128,4,100,6,75,128,0.23793427459203792,1,False,auto
0.0009014306028676251,0.0007034415896294504,24.070245027542114,True,1,2023-06-30_01-07-54,1688080074,24.070245027542114,1958430,cs02.science.uu.nl,131.211.30.52,24.070245027542114,1,"9_batch_size=32,dropout=0.2360,hidden_dim=64,input_chunk_length=3,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=25",64,3,25,3,50,32,0.2360195456148554,1,False,auto
0.0008226770392666174,0.000698917503701469,22.42871069908142,True,1,2023-06-30_01-07-52,1688080072,22.42871069908142,1958432,cs02.science.uu.nl,131.211.30.52,22.42871069908142,1,"10_batch_size=256,dropout=0.3883,hidden_dim=128,input_chunk_length=12,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,12,100,256,0.38825362718077866,1,False,auto
0.006506950414166068,0.00645840729025061,23.2076473236084,True,1,2023-06-30_01-07-53,1688080073,23.2076473236084,1958434,cs02.science.uu.nl,131.211.30.52,23.2076473236084,1,"11_batch_size=64,dropout=0.1646,hidden_dim=32,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",32,3,100,6,50,64,0.16464466883996765,1,False,auto
0.010758109104162167,0.010729023310208669,20.433467864990234,True,1,2023-06-30_01-07-50,1688080070,20.433467864990234,1958437,cs02.science.uu.nl,131.211.30.52,20.433467864990234,1,"12_batch_size=256,dropout=0.4756,hidden_dim=64,input_chunk_length=3,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",64,1,50,3,75,256,0.47555836490815273,1,False,auto
0.0008147938391382024,0.000645274277229821,23.747458934783936,True,1,2023-06-30_01-07-53,1688080073,23.747458934783936,1958439,cs02.science.uu.nl,131.211.30.52,23.747458934783936,1,"13_batch_size=32,dropout=0.1219,hidden_dim=128,input_chunk_length=12,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,12,50,32,0.1219242991557279,1,False,auto
0.0019283734061567412,0.0017577432031354939,21.252369165420532,True,1,2023-06-30_01-07-51,1688080071,21.252369165420532,1958441,cs02.science.uu.nl,131.211.30.52,21.252369165420532,1,"14_batch_size=256,dropout=0.4433,hidden_dim=128,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",128,3,50,6,50,256,0.4433160827813939,1,False,auto
0.0008340516039052468,0.0006611250138622909,25.402888298034668,True,1,2023-06-30_01-07-55,1688080075,25.402888298034668,1958443,cs02.science.uu.nl,131.211.30.52,25.402888298034668,1,"15_batch_size=128,dropout=0.2112,hidden_dim=64,input_chunk_length=12,n_epochs=100,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,12,100,128,0.21122600601532227,1,False,auto
