rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.040671439152002296,0.032325530480887606,12.858652591705322,True,1,2023-06-30_03-20-26,1688088026,12.858652591705322,2093349,cs02.science.uu.nl,131.211.30.52,12.858652591705322,1,"1_batch_size=128,dropout=0.4808,hidden_dim=32,input_chunk_length=6,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=100",32,1,100,6,100,128,0.4807919526015612,1,False,auto
0.04076400139483417,0.03239097404746222,14.176944255828857,True,1,2023-06-30_03-21-35,1688088095,14.176944255828857,2093539,cs02.science.uu.nl,131.211.30.52,14.176944255828857,1,"2_batch_size=32,dropout=0.2923,hidden_dim=128,input_chunk_length=3,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,3,75,32,0.29229396753836073,1,False,auto
0.04065397803166982,0.03227503253378198,21.082371473312378,True,1,2023-06-30_03-22-51,1688088171,21.082371473312378,2093766,cs02.science.uu.nl,131.211.30.52,21.082371473312378,1,"3_batch_size=128,dropout=0.3592,hidden_dim=64,input_chunk_length=9,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",64,3,50,9,75,128,0.35917747494008684,1,False,auto
0.04013269429766458,0.03134228727588731,24.609055042266846,True,1,2023-06-30_03-22-54,1688088174,24.609055042266846,2093769,cs02.science.uu.nl,131.211.30.52,24.609055042266846,1,"4_batch_size=32,dropout=0.3034,hidden_dim=128,input_chunk_length=3,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",128,3,75,3,75,32,0.3033723219356455,1,False,auto
0.04077666405520239,0.03249865398109585,21.28031635284424,True,1,2023-06-30_03-22-51,1688088171,21.28031635284424,2093772,cs02.science.uu.nl,131.211.30.52,21.28031635284424,1,"5_batch_size=64,dropout=0.1328,hidden_dim=128,input_chunk_length=12,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",128,2,75,12,50,64,0.1327521972157556,1,False,auto
0.040291016301643806,0.03169242071214854,20.244479656219482,True,1,2023-06-30_03-22-50,1688088170,20.244479656219482,2093774,cs02.science.uu.nl,131.211.30.52,20.244479656219482,1,"6_batch_size=128,dropout=0.4462,hidden_dim=128,input_chunk_length=6,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,6,50,128,0.44619158237303524,1,False,auto
0.04108186023615374,0.03304302266097197,25.189753770828247,True,1,2023-06-30_03-22-55,1688088175,25.189753770828247,2093776,cs02.science.uu.nl,131.211.30.52,25.189753770828247,1,"7_batch_size=16,dropout=0.1802,hidden_dim=32,input_chunk_length=24,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",32,2,100,24,50,16,0.18022832803518163,1,False,auto
0.04169548067761585,0.03384292385578839,23.304227113723755,True,1,2023-06-30_03-22-53,1688088173,23.304227113723755,2093778,cs02.science.uu.nl,131.211.30.52,23.304227113723755,1,"8_batch_size=32,dropout=0.3658,hidden_dim=32,input_chunk_length=3,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=25",32,3,25,3,75,32,0.3658041195993478,1,False,auto
0.040013107551769074,0.03132091194013568,22.14563274383545,True,1,2023-06-30_03-22-52,1688088172,22.14563274383545,2093780,cs02.science.uu.nl,131.211.30.52,22.14563274383545,1,"9_batch_size=64,dropout=0.2099,hidden_dim=16,input_chunk_length=12,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",16,1,25,12,100,64,0.20986081622117136,1,False,auto
0.048387883216895175,0.03845624216232241,22.418874979019165,True,1,2023-06-30_03-22-52,1688088172,22.418874979019165,2093782,cs02.science.uu.nl,131.211.30.52,22.418874979019165,1,"10_batch_size=32,dropout=0.3241,hidden_dim=32,input_chunk_length=1,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",32,1,50,1,75,32,0.3241290230391465,1,False,auto
0.04034684394595488,0.03174159204883994,25.784470081329346,True,1,2023-06-30_03-22-55,1688088175,25.784470081329346,2093784,cs02.science.uu.nl,131.211.30.52,25.784470081329346,1,"11_batch_size=32,dropout=0.3961,hidden_dim=32,input_chunk_length=3,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",32,2,75,3,100,32,0.3961148712161344,1,False,auto
0.04006593789664134,0.03117869477373635,21.440295457839966,True,1,2023-06-30_03-22-51,1688088171,21.440295457839966,2093786,cs02.science.uu.nl,131.211.30.52,21.440295457839966,1,"12_batch_size=32,dropout=0.2660,hidden_dim=32,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",32,2,50,3,50,32,0.26600315080723047,1,False,auto
0.040309380811838866,0.031590243843184984,26.597522020339966,True,1,2023-06-30_03-22-56,1688088176,26.597522020339966,2093788,cs02.science.uu.nl,131.211.30.52,26.597522020339966,1,"13_batch_size=32,dropout=0.1300,hidden_dim=64,input_chunk_length=3,n_epochs=100,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",64,3,50,3,100,32,0.13003799695503415,1,False,auto
