rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.010326941595310443,0.010011505734822724,11.748572826385498,True,1,2023-06-30_05-35-30,1688096130,11.748572826385498,2228702,cs02.science.uu.nl,131.211.30.52,11.748572826385498,1,"1_batch_size=256,dropout=0.4993,hidden_dim=16,input_chunk_length=9,n_epochs=25,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",16,2,25,9,25,256,0.4992857204787356,1,False,auto
0.0030228151115522933,0.0025119503556483296,11.774996519088745,True,1,2023-06-30_05-36-38,1688096198,11.774996519088745,2228893,cs02.science.uu.nl,131.211.30.52,11.774996519088745,1,"2_batch_size=128,dropout=0.0520,hidden_dim=128,input_chunk_length=6,n_epochs=25,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",128,2,75,6,25,128,0.05197134433709503,1,False,auto
0.003967237728826024,0.0033238665556321813,20.71109628677368,True,1,2023-06-30_05-37-54,1688096274,20.71109628677368,2229139,cs02.science.uu.nl,131.211.30.52,20.71109628677368,1,"3_batch_size=128,dropout=0.2354,hidden_dim=128,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",128,3,75,6,50,128,0.23535031523132074,1,False,auto
0.002573727586300377,0.0021417439427323798,22.33378553390503,True,1,2023-06-30_05-37-56,1688096276,22.33378553390503,2229142,cs02.science.uu.nl,131.211.30.52,22.33378553390503,1,"4_batch_size=64,dropout=0.1472,hidden_dim=32,input_chunk_length=6,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",32,2,100,6,100,64,0.1471904503441389,1,False,auto
0.002667269778517258,0.0022240556099340216,19.5375714302063,True,1,2023-06-30_05-37-53,1688096273,19.5375714302063,2229145,cs02.science.uu.nl,131.211.30.52,19.5375714302063,1,"5_batch_size=128,dropout=0.1521,hidden_dim=64,input_chunk_length=12,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",64,2,50,12,75,128,0.1521303255939852,1,False,auto
0.0027227893474022773,0.0022756264452377423,21.76924729347229,True,1,2023-06-30_05-37-55,1688096275,21.76924729347229,2229147,cs02.science.uu.nl,131.211.30.52,21.76924729347229,1,"6_batch_size=64,dropout=0.2596,hidden_dim=64,input_chunk_length=6,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",64,3,100,6,75,64,0.25959928061963045,1,False,auto
0.0030664507866337374,0.0025519835264510913,23.79210376739502,True,1,2023-06-30_05-37-57,1688096277,23.79210376739502,2229149,cs02.science.uu.nl,131.211.30.52,23.79210376739502,1,"7_batch_size=64,dropout=0.1849,hidden_dim=16,input_chunk_length=12,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",16,2,75,12,100,64,0.18492351124271564,1,False,auto
0.00273183919487636,0.0022656629890133785,21.787917137145996,True,1,2023-06-30_05-37-55,1688096275,21.787917137145996,2229151,cs02.science.uu.nl,131.211.30.52,21.787917137145996,1,"8_batch_size=32,dropout=0.3042,hidden_dim=64,input_chunk_length=9,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",64,1,75,9,50,32,0.30419236658506504,1,False,auto
0.0030819898377423753,0.00251102338847118,20.230867385864258,True,1,2023-06-30_05-37-53,1688096273,20.230867385864258,2229153,cs02.science.uu.nl,131.211.30.52,20.230867385864258,1,"9_batch_size=128,dropout=0.4782,hidden_dim=32,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,6,50,128,0.47824447431420003,1,False,auto
0.005377550594865839,0.004750588668863925,17.70024013519287,True,1,2023-06-30_05-37-51,1688096271,17.70024013519287,2229155,cs02.science.uu.nl,131.211.30.52,17.70024013519287,1,"10_batch_size=256,dropout=0.2461,hidden_dim=128,input_chunk_length=6,n_epochs=25,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",128,2,25,6,25,256,0.2461339603975617,1,False,auto
