rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.0008021167867597044,0.0005531829263851634,13.861325025558472,True,1,2023-06-30_02-52-20,1688086340,13.861325025558472,2065570,cs02.science.uu.nl,131.211.30.52,13.861325025558472,1,"1_batch_size=16,dropout=0.1314,hidden_dim=64,input_chunk_length=12,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",64,2,100,12,50,16,0.13138307232964078,1,False,auto
0.035639960012394015,0.03563110621323732,12.25554895401001,True,1,2023-06-30_02-53-26,1688086406,12.25554895401001,2065763,cs02.science.uu.nl,131.211.30.52,12.25554895401001,1,"2_batch_size=128,dropout=0.2811,hidden_dim=32,input_chunk_length=1,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,1,50,128,0.2810580323840359,1,False,auto
0.005121490648426396,0.0050594953792500825,23.399027585983276,True,1,2023-06-30_02-54-43,1688086483,23.399027585983276,2065991,cs02.science.uu.nl,131.211.30.52,23.399027585983276,1,"3_batch_size=32,dropout=0.3301,hidden_dim=32,input_chunk_length=3,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",32,3,75,3,50,32,0.3301213568445326,1,False,auto
0.0014811239782589985,0.0013065138399921694,18.20268750190735,True,1,2023-06-30_02-54-38,1688086478,18.20268750190735,2065995,cs02.science.uu.nl,131.211.30.52,18.20268750190735,1,"4_batch_size=256,dropout=0.4552,hidden_dim=128,input_chunk_length=3,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,3,75,256,0.4552411596884788,1,False,auto
0.000869238531996867,0.0007073510631278243,23.2501699924469,True,1,2023-06-30_02-54-43,1688086483,23.2501699924469,2065998,cs02.science.uu.nl,131.211.30.52,23.2501699924469,1,"5_batch_size=32,dropout=0.3247,hidden_dim=64,input_chunk_length=6,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",64,2,25,6,75,32,0.32472591149252594,1,False,auto
0.0008315735735654061,0.0006544795915785084,21.89543342590332,True,1,2023-06-30_02-54-42,1688086482,21.89543342590332,2066000,cs02.science.uu.nl,131.211.30.52,21.89543342590332,1,"6_batch_size=32,dropout=0.4265,hidden_dim=64,input_chunk_length=12,n_epochs=50,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",64,4,25,12,50,32,0.42652480264940185,1,False,auto
0.0007961999237736734,0.0005625091099833903,18.79613733291626,True,1,2023-06-30_02-54-39,1688086479,18.79613733291626,2066002,cs02.science.uu.nl,131.211.30.52,18.79613733291626,1,"7_batch_size=128,dropout=0.4772,hidden_dim=32,input_chunk_length=3,n_epochs=25,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",32,2,50,3,25,128,0.47724797615622894,1,False,auto
0.12375318008885156,0.12375062539738531,21.224854707717896,True,1,2023-06-30_02-54-41,1688086481,21.224854707717896,2066004,cs02.science.uu.nl,131.211.30.52,21.224854707717896,1,"8_batch_size=64,dropout=0.0215,hidden_dim=16,input_chunk_length=1,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",16,2,75,1,50,64,0.02146658984420094,1,False,auto
0.012548136437204828,0.012522968925196746,21.19967269897461,True,1,2023-06-30_02-54-41,1688086481,21.19967269897461,2066006,cs02.science.uu.nl,131.211.30.52,21.19967269897461,1,"9_batch_size=64,dropout=0.4785,hidden_dim=16,input_chunk_length=3,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",16,3,100,3,50,64,0.4784973717108494,1,False,auto
0.0009204282578001958,0.0007601167867682818,27.065736532211304,True,1,2023-06-30_02-54-47,1688086487,27.065736532211304,2066008,cs02.science.uu.nl,131.211.30.52,27.065736532211304,1,"10_batch_size=32,dropout=0.3524,hidden_dim=128,input_chunk_length=3,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=75",128,4,75,3,100,32,0.3523778897530058,1,False,auto
