rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.0032647199379315485,0.0027599394599744673,12.274603605270386,True,1,2023-06-29_22-57-51,1688072271,12.274603605270386,1829581,cs02.science.uu.nl,131.211.30.52,12.274603605270386,1,"1_batch_size=16,dropout=0.2531,hidden_dim=64,input_chunk_length=6,n_epochs=25,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",64,1,50,6,25,16,0.25309761864109265,1,False,auto
0.0026550540509159893,0.002272653974019419,13.180043697357178,True,1,2023-06-29_22-58-59,1688072339,13.180043697357178,1829771,cs02.science.uu.nl,131.211.30.52,13.180043697357178,1,"2_batch_size=64,dropout=0.4106,hidden_dim=64,input_chunk_length=6,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",64,1,75,6,100,64,0.4105700511858176,1,False,auto
0.04286841379907764,0.04280057691658987,23.459617137908936,True,1,2023-06-29_23-00-15,1688072415,23.459617137908936,1830000,cs02.science.uu.nl,131.211.30.52,23.459617137908936,1,"3_batch_size=64,dropout=0.3674,hidden_dim=32,input_chunk_length=3,n_epochs=25,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=100",32,4,100,3,25,64,0.367406257442293,1,False,auto
0.0024230802181976225,0.002050995359318384,28.56776785850525,True,1,2023-06-29_23-00-20,1688072420,28.56776785850525,1830005,cs02.science.uu.nl,131.211.30.52,28.56776785850525,1,"4_batch_size=32,dropout=0.0681,hidden_dim=32,input_chunk_length=6,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",32,2,25,6,100,32,0.06807007191692425,1,False,auto
0.0024505649882508094,0.0020658711085905015,25.00705361366272,True,1,2023-06-29_23-00-17,1688072417,25.00705361366272,1830007,cs02.science.uu.nl,131.211.30.52,25.00705361366272,1,"5_batch_size=32,dropout=0.2403,hidden_dim=32,input_chunk_length=6,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",32,2,25,6,50,32,0.24028649347013797,1,False,auto
0.0024786199635880137,0.002112738340393974,29.54815983772278,True,1,2023-06-29_23-00-21,1688072421,29.54815983772278,1830009,cs02.science.uu.nl,131.211.30.52,29.54815983772278,1,"6_batch_size=16,dropout=0.3273,hidden_dim=128,input_chunk_length=3,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",128,1,50,3,75,16,0.32733043327715017,1,False,auto
0.009032178305062302,0.008704508235532664,26.500832557678223,True,1,2023-06-29_23-00-18,1688072418,26.500832557678223,1830011,cs02.science.uu.nl,131.211.30.52,26.500832557678223,1,"7_batch_size=32,dropout=0.3896,hidden_dim=32,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",32,2,100,3,50,32,0.3896086988505901,1,False,auto
0.043965780561673204,0.04389958929136081,23.807182788848877,True,1,2023-06-29_23-00-16,1688072416,23.807182788848877,1830013,cs02.science.uu.nl,131.211.30.52,23.807182788848877,1,"8_batch_size=128,dropout=0.4352,hidden_dim=16,input_chunk_length=3,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",16,2,50,3,100,128,0.43515238309449317,1,False,auto
0.002825439471951584,0.0024271385169549204,22.358673095703125,True,1,2023-06-29_23-00-14,1688072414,22.358673095703125,1830015,cs02.science.uu.nl,131.211.30.52,22.358673095703125,1,"9_batch_size=128,dropout=0.1922,hidden_dim=16,input_chunk_length=12,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=100",16,1,100,12,100,128,0.19219241761605052,1,False,auto
0.002425550854776079,0.0020519165660648577,25.933722496032715,True,1,2023-06-29_23-00-18,1688072418,25.933722496032715,1830017,cs02.science.uu.nl,131.211.30.52,25.933722496032715,1,"10_batch_size=64,dropout=0.2363,hidden_dim=64,input_chunk_length=12,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",64,2,75,12,75,64,0.2362620357414003,1,False,auto
0.0053861526773497275,0.004817285066884673,29.07350778579712,True,1,2023-06-29_23-00-21,1688072421,29.07350778579712,1830019,cs02.science.uu.nl,131.211.30.52,29.07350778579712,1,"11_batch_size=32,dropout=0.1860,hidden_dim=32,input_chunk_length=3,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",32,2,75,3,75,32,0.18595989802467197,1,False,auto
0.003759971209848631,0.00304753969523752,29.34560465812683,True,1,2023-06-29_23-00-21,1688072421,29.34560465812683,1830021,cs02.science.uu.nl,131.211.30.52,29.34560465812683,1,"12_batch_size=16,dropout=0.1551,hidden_dim=64,input_chunk_length=6,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",64,2,100,6,50,16,0.15507863989008047,1,False,auto
0.003846102927612255,0.0031310602231333956,24.30187463760376,True,1,2023-06-29_23-00-16,1688072416,24.30187463760376,1830023,cs02.science.uu.nl,131.211.30.52,24.30187463760376,1,"13_batch_size=64,dropout=0.0226,hidden_dim=16,input_chunk_length=3,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",16,2,50,3,100,64,0.0225970810624718,1,False,auto
0.003088239189942877,0.0024725897802218497,22.460540533065796,True,1,2023-06-29_23-00-14,1688072414,22.460540533065796,1830025,cs02.science.uu.nl,131.211.30.52,22.460540533065796,1,"14_batch_size=128,dropout=0.3193,hidden_dim=32,input_chunk_length=6,n_epochs=25,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,6,25,128,0.3193286359332033,1,False,auto
0.026278792960225405,0.026167984990314835,27.56582021713257,True,1,2023-06-29_23-00-19,1688072419,27.56582021713257,1830027,cs02.science.uu.nl,131.211.30.52,27.56582021713257,1,"15_batch_size=32,dropout=0.4257,hidden_dim=32,input_chunk_length=1,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",32,3,75,1,50,32,0.4257300968250176,1,False,auto
