rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.018531701298513007,0.018530497678791048,16.088456869125366,True,1,2023-07-04_22-19-40,1688501980,16.088456869125366,2063938,cs02.science.uu.nl,131.211.30.52,16.088456869125366,1,"1_batch_size=32,dropout=0.4266,hidden_dim=32,input_chunk_length=3,n_epochs=25,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=100",32,1,100,3,25,32,0.42662917842475634,1,False,auto
0.0004232375138258753,0.00037252316579801424,20.97716498374939,True,1,2023-07-04_22-20-49,1688502049,20.97716498374939,2064126,cs02.science.uu.nl,131.211.30.52,20.97716498374939,1,"2_batch_size=16,dropout=0.2781,hidden_dim=64,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",64,3,100,6,50,16,0.2781451889046436,1,False,auto
0.002478918633320474,0.002469883921375335,21.912007093429565,True,1,2023-07-04_22-21-52,1688502112,21.912007093429565,2064361,cs02.science.uu.nl,131.211.30.52,21.912007093429565,1,"3_batch_size=128,dropout=0.0124,hidden_dim=64,input_chunk_length=9,n_epochs=25,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",64,3,100,9,25,128,0.012354790751483059,1,False,auto
0.00028146211583202546,0.00022631723357272526,30.662034034729004,True,1,2023-07-04_22-22-00,1688502120,30.662034034729004,2064365,cs02.science.uu.nl,131.211.30.52,30.662034034729004,1,"4_batch_size=32,dropout=0.0733,hidden_dim=64,input_chunk_length=24,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",64,2,75,24,75,32,0.07328019827642229,1,False,auto
0.00021144287515225505,0.00017636103142714882,31.770768404006958,True,1,2023-07-04_22-22-02,1688502122,31.770768404006958,2064368,cs02.science.uu.nl,131.211.30.52,31.770768404006958,1,"5_batch_size=16,dropout=0.2981,hidden_dim=32,input_chunk_length=9,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,9,75,16,0.29810433084779836,1,False,auto
0.00022018183090134711,0.0001818470486736914,28.63329839706421,True,1,2023-07-04_22-21-58,1688502118,28.63329839706421,2064371,cs02.science.uu.nl,131.211.30.52,28.63329839706421,1,"6_batch_size=64,dropout=0.3009,hidden_dim=128,input_chunk_length=24,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",128,2,75,24,100,64,0.30091032038267274,1,False,auto
0.003488620658375438,0.0034822456662512344,21.598777055740356,True,1,2023-07-04_22-21-51,1688502111,21.598777055740356,2064373,cs02.science.uu.nl,131.211.30.52,21.598777055740356,1,"7_batch_size=256,dropout=0.2575,hidden_dim=64,input_chunk_length=3,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",64,1,75,3,50,256,0.25745678131451505,1,False,auto
0.0008245148094064122,0.0007969602674030568,32.493579626083374,True,1,2023-07-04_22-22-02,1688502122,32.493579626083374,2064375,cs02.science.uu.nl,131.211.30.52,32.493579626083374,1,"8_batch_size=16,dropout=0.3388,hidden_dim=32,input_chunk_length=9,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",32,3,75,9,50,16,0.33879452498827184,1,False,auto
0.0009228314864093048,0.0008982875208232873,24.069241046905518,True,1,2023-07-04_22-21-54,1688502114,24.069241046905518,2064377,cs02.science.uu.nl,131.211.30.52,24.069241046905518,1,"9_batch_size=64,dropout=0.4085,hidden_dim=32,input_chunk_length=12,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,12,50,64,0.40854662708105394,1,False,auto
0.0002243754295984081,0.00018675487893780358,35.25495195388794,True,1,2023-07-04_22-22-05,1688502125,35.25495195388794,2064379,cs02.science.uu.nl,131.211.30.52,35.25495195388794,1,"10_batch_size=32,dropout=0.0785,hidden_dim=128,input_chunk_length=9,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",128,2,100,9,100,32,0.07846825054972126,1,False,auto
0.053742693394921714,0.05374227751173911,35.25741124153137,True,1,2023-07-04_22-22-05,1688502125,35.25741124153137,2064381,cs02.science.uu.nl,131.211.30.52,35.25741124153137,1,"11_batch_size=32,dropout=0.0773,hidden_dim=16,input_chunk_length=1,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=100",16,4,100,1,100,32,0.07725802291682346,1,False,auto
0.0031793107635739023,0.0031722727354289012,17.95877718925476,True,1,2023-07-04_22-22-51,1688502171,17.95877718925476,2065879,cs02.science.uu.nl,131.211.30.52,17.95877718925476,1,"12_batch_size=128,dropout=0.0470,hidden_dim=128,input_chunk_length=3,n_epochs=75,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=50",128,4,50,3,75,128,0.04703053734185179,1,False,auto
0.0015239513568683387,0.0015092212771806324,23.03916621208191,True,1,2023-07-04_22-23-59,1688502239,23.03916621208191,2066577,cs02.science.uu.nl,131.211.30.52,23.03916621208191,1,"13_batch_size=64,dropout=0.0632,hidden_dim=64,input_chunk_length=3,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",64,2,100,3,75,64,0.06323927828837327,1,False,auto
0.00022601194349990012,0.00018829790987320784,33.58834147453308,True,1,2023-07-04_22-24-09,1688502249,33.58834147453308,2066580,cs02.science.uu.nl,131.211.30.52,33.58834147453308,1,"14_batch_size=16,dropout=0.5000,hidden_dim=128,input_chunk_length=1,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",128,4,25,1,100,16,0.5,1,False,auto
0.00022766115614239593,0.00018989816084071217,31.902803421020508,True,1,2023-07-04_22-24-08,1688502248,31.902803421020508,2066582,cs02.science.uu.nl,131.211.30.52,31.902803421020508,1,"15_batch_size=16,dropout=0.5000,hidden_dim=128,input_chunk_length=1,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",128,4,25,1,100,16,0.5,1,False,auto
0.00022201660622238288,0.00018403737077986906,34.523820877075195,True,1,2023-07-04_22-24-10,1688502250,34.523820877075195,2066588,cs02.science.uu.nl,131.211.30.52,34.523820877075195,1,"16_batch_size=16,dropout=0.5000,hidden_dim=128,input_chunk_length=1,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",128,4,25,1,100,16,0.5,1,False,auto
0.000408260727882325,0.0003496267225588299,20.82186484336853,True,1,2023-07-04_22-23-57,1688502237,20.82186484336853,2066591,cs02.science.uu.nl,131.211.30.52,20.82186484336853,1,"17_batch_size=256,dropout=0.0100,hidden_dim=128,input_chunk_length=6,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,6,100,256,0.01,1,False,auto
0.0002599165819985877,0.00021289088565654848,20.569531679153442,True,1,2023-07-04_22-23-57,1688502237,20.569531679153442,2066593,cs02.science.uu.nl,131.211.30.52,20.569531679153442,1,"18_batch_size=256,dropout=0.0100,hidden_dim=128,input_chunk_length=6,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,6,100,256,0.01,1,False,auto
0.0009093574033621077,0.0008847016059592216,20.60203742980957,True,1,2023-07-04_22-23-56,1688502236,20.60203742980957,2066595,cs02.science.uu.nl,131.211.30.52,20.60203742980957,1,"19_batch_size=256,dropout=0.0100,hidden_dim=128,input_chunk_length=6,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,6,100,256,0.01,1,False,auto
0.000243555187484055,0.00020265700931635042,20.66894555091858,True,1,2023-07-04_22-23-57,1688502237,20.66894555091858,2066597,cs02.science.uu.nl,131.211.30.52,20.66894555091858,1,"20_batch_size=256,dropout=0.0100,hidden_dim=128,input_chunk_length=6,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,6,100,256,0.01,1,False,auto
