rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.06196744093258445,0.04381680471437303,18.987729787826538,True,1,2023-07-05_02-02-40,1688515360,18.987729787826538,2232829,cs02.science.uu.nl,131.211.30.52,18.987729787826538,1,"1_batch_size=32,dropout=0.0604,hidden_dim=16,input_chunk_length=9,n_epochs=50,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=75",16,4,75,9,50,32,0.060432437134795534,1,False,auto
0.07029871625042028,0.051824468764814786,22.510494232177734,True,1,2023-07-05_02-03-46,1688515426,22.510494232177734,2233018,cs02.science.uu.nl,131.211.30.52,22.510494232177734,1,"2_batch_size=32,dropout=0.1689,hidden_dim=64,input_chunk_length=9,n_epochs=100,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,9,100,32,0.1689453460337432,1,False,auto
0.0623576362851782,0.04539847089053575,17.717904567718506,True,1,2023-07-05_02-04-43,1688515483,17.717904567718506,2233254,cs02.science.uu.nl,131.211.30.52,17.717904567718506,1,"3_batch_size=64,dropout=0.2643,hidden_dim=64,input_chunk_length=9,n_epochs=25,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",64,1,50,9,25,64,0.2642521534761376,1,False,auto
0.06266193479261262,0.04522433145117257,19.33389401435852,True,1,2023-07-05_02-04-44,1688515484,19.33389401435852,2233257,cs02.science.uu.nl,131.211.30.52,19.33389401435852,1,"4_batch_size=128,dropout=0.2270,hidden_dim=32,input_chunk_length=24,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",32,1,25,24,75,128,0.22698316528371115,1,False,auto
0.07598388345248583,0.05744883193881477,18.78511691093445,True,1,2023-07-05_02-04-44,1688515484,18.78511691093445,2233260,cs02.science.uu.nl,131.211.30.52,18.78511691093445,1,"5_batch_size=64,dropout=0.1692,hidden_dim=64,input_chunk_length=1,n_epochs=25,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",64,3,100,1,25,64,0.16918201635514835,1,False,auto
0.06289765378859684,0.04514082944732378,20.226337432861328,True,1,2023-07-05_02-04-45,1688515485,20.226337432861328,2233262,cs02.science.uu.nl,131.211.30.52,20.226337432861328,1,"6_batch_size=256,dropout=0.1610,hidden_dim=64,input_chunk_length=9,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",64,1,75,9,100,256,0.16104210045571424,1,False,auto
0.06202187112877283,0.04369265395636803,19.6419939994812,True,1,2023-07-05_02-04-44,1688515484,19.6419939994812,2233264,cs02.science.uu.nl,131.211.30.52,19.6419939994812,1,"7_batch_size=128,dropout=0.3738,hidden_dim=32,input_chunk_length=3,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=25",32,3,25,3,75,128,0.3738070069083106,1,False,auto
0.0638863796917902,0.046330928496677554,21.430601119995117,True,1,2023-07-05_02-04-46,1688515486,21.430601119995117,2233266,cs02.science.uu.nl,131.211.30.52,21.430601119995117,1,"8_batch_size=128,dropout=0.1175,hidden_dim=64,input_chunk_length=3,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",64,2,50,3,100,128,0.11750564095456896,1,False,auto
0.061875966366096276,0.045653815982603846,21.452784299850464,True,1,2023-07-05_02-04-46,1688515486,21.452784299850464,2233268,cs02.science.uu.nl,131.211.30.52,21.452784299850464,1,"9_batch_size=256,dropout=0.0403,hidden_dim=128,input_chunk_length=3,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",128,4,25,3,100,256,0.04029086240959036,1,False,auto
0.062339542494555755,0.04687982489786271,20.647321224212646,True,1,2023-07-05_02-04-46,1688515486,20.647321224212646,2233270,cs02.science.uu.nl,131.211.30.52,20.647321224212646,1,"10_batch_size=32,dropout=0.3218,hidden_dim=32,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",32,2,50,3,50,32,0.32181719462066205,1,False,auto
0.06326045556387223,0.04638806595816591,21.58823561668396,True,1,2023-07-05_02-04-46,1688515486,21.58823561668396,2233272,cs02.science.uu.nl,131.211.30.52,21.58823561668396,1,"11_batch_size=32,dropout=0.1979,hidden_dim=128,input_chunk_length=12,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",128,1,75,12,50,32,0.19791059479122902,1,False,auto
0.06202168069311757,0.04385535510470919,19.718963623046875,True,1,2023-07-05_02-05-54,1688515554,19.718963623046875,2234750,cs02.science.uu.nl,131.211.30.52,19.718963623046875,1,"12_batch_size=256,dropout=0.2282,hidden_dim=16,input_chunk_length=6,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",16,2,50,6,100,256,0.2281748857425028,1,False,auto
0.06459856800719385,0.046581180204539045,24.976321935653687,True,1,2023-07-05_02-07-07,1688515627,24.976321935653687,2235385,cs02.science.uu.nl,131.211.30.52,24.976321935653687,1,"13_batch_size=32,dropout=0.2286,hidden_dim=64,input_chunk_length=9,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,9,50,32,0.22859618367945908,1,False,auto
0.06201072131222355,0.04399516573366278,23.80821418762207,True,1,2023-07-05_02-07-05,1688515625,23.80821418762207,2235387,cs02.science.uu.nl,131.211.30.52,23.80821418762207,1,"14_batch_size=64,dropout=0.5000,hidden_dim=16,input_chunk_length=24,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=100",16,2,100,24,75,64,0.5,1,False,auto
