rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/n_changepoints,config/changepoint_range,config/changepoint_prior_scale,config/seasonality_prior_scale,config/seasonality_mode
0.008334075669226134,0.006706453533671952,4.089980602264404,True,1,2023-06-29_14-25-01,1688041501,4.089980602264404,40564,Stephan,127.0.0.1,4.089980602264404,1,"1_changepoint_prior_scale=0.0100,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=0.1000",25,0.8,0.01,0.1,multiplicative
0.009735601259467078,0.007412679958027774,4.056405067443848,True,1,2023-06-29_14-25-10,1688041510,4.056405067443848,35524,Stephan,127.0.0.1,4.056405067443848,1,"2_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=1.0000",50,0.6,0.01,1.0,additive
0.00883629926510889,0.0067517962804443535,4.582144021987915,True,1,2023-06-29_14-25-20,1688041520,4.582144021987915,40836,Stephan,127.0.0.1,4.582144021987915,1,"3_changepoint_prior_scale=1.0000,changepoint_range=0.4000,n_changepoints=100,seasonality_mode=additive,seasonality_prior_scale=0.1000",100,0.4,1.0,0.1,additive
0.008890888513081247,0.006810270391278028,160.1210377216339,True,1,2023-06-29_14-28-04,1688041684,160.1210377216339,17512,Stephan,127.0.0.1,160.1210377216339,1,"4_changepoint_prior_scale=0.0010,changepoint_range=0.9000,n_changepoints=100,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",100,0.9,0.001,1.0,multiplicative
0.008224657607822483,0.006597222385514141,4.3112218379974365,True,1,2023-06-29_14-25-38,1688041538,4.3112218379974365,40164,Stephan,127.0.0.1,4.3112218379974365,1,"5_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",50,0.6,0.01,10.0,multiplicative
0.00924449565456657,0.006951362972867799,4.3274335861206055,True,1,2023-06-29_14-25-47,1688041547,4.3274335861206055,39312,Stephan,127.0.0.1,4.3274335861206055,1,"6_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.1000",10,0.6,0.01,0.1,additive
0.012284103347130556,0.009748582379279567,7.1066365242004395,True,1,2023-06-29_14-26-00,1688041560,7.1066365242004395,34884,Stephan,127.0.0.1,7.1066365242004395,1,"7_changepoint_prior_scale=0.0010,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.1000",25,0.6,0.001,0.1,additive
0.008835325986498227,0.006777161673616372,4.497858047485352,True,1,2023-06-29_14-26-07,1688041567,4.497858047485352,40380,Stephan,127.0.0.1,4.497858047485352,1,"8_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=10.0000",50,0.6,0.1,10.0,additive
0.00886053697790985,0.006605790433742931,5.152106046676636,True,1,2023-06-29_14-26-17,1688041577,5.152106046676636,38048,Stephan,127.0.0.1,5.152106046676636,1,"9_changepoint_prior_scale=0.5000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",50,0.6,0.5,1.0,multiplicative
0.010532698974057949,0.008088164792513291,18.02474594116211,True,1,2023-06-29_14-26-40,1688041600,18.02474594116211,38344,Stephan,127.0.0.1,18.02474594116211,1,"10_changepoint_prior_scale=0.0010,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.1000",50,0.6,0.001,0.1,additive
