rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/n_changepoints,config/changepoint_range,config/changepoint_prior_scale,config/seasonality_prior_scale,config/seasonality_mode
0.11792831286568232,0.083776326372061,4.808618545532227,True,1,2023-06-29_13-29-50,1688038190,4.808618545532227,38968,Stephan,127.0.0.1,4.808618545532227,1,"1_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.1000",25,0.6,0.01,0.1,additive
0.12073364861736943,0.09320792849478503,4.491788864135742,True,1,2023-06-29_13-30-00,1688038200,4.491788864135742,37012,Stephan,127.0.0.1,4.491788864135742,1,"2_changepoint_prior_scale=0.5000,changepoint_range=0.8000,n_changepoints=100,seasonality_mode=additive,seasonality_prior_scale=1.0000",100,0.8,0.5,1.0,additive
0.11578719381059012,0.08654938443680422,4.508948087692261,True,1,2023-06-29_13-30-10,1688038210,4.508948087692261,38212,Stephan,127.0.0.1,4.508948087692261,1,"3_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=0.0100",50,0.6,0.1,0.01,multiplicative
0.1170367430343326,0.08538701158604968,4.199128866195679,True,1,2023-06-29_13-30-20,1688038220,4.199128866195679,31860,Stephan,127.0.0.1,4.199128866195679,1,"4_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.1000",25,0.6,0.1,0.1,additive
0.11702679377392695,0.08594925690640025,7.662729263305664,True,1,2023-06-29_13-30-34,1688038234,7.662729263305664,25856,Stephan,127.0.0.1,7.662729263305664,1,"5_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=0.1000",50,0.6,0.01,0.1,multiplicative
0.11948780615917418,0.09129210656552504,4.095205783843994,True,1,2023-06-29_13-30-39,1688038239,4.095205783843994,22036,Stephan,127.0.0.1,4.095205783843994,1,"6_changepoint_prior_scale=1.0000,changepoint_range=0.4000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.1000",50,0.4,1.0,0.1,additive
0.13105428404044525,0.10210337065166912,4.379903793334961,True,1,2023-06-29_13-30-49,1688038249,4.379903793334961,38600,Stephan,127.0.0.1,4.379903793334961,1,"7_changepoint_prior_scale=0.5000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",50,0.6,0.5,1.0,multiplicative
0.11737970525011465,0.08591728369660545,4.4805989265441895,True,1,2023-06-29_13-30-59,1688038259,4.4805989265441895,35856,Stephan,127.0.0.1,4.4805989265441895,1,"8_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=10.0000",50,0.6,0.1,10.0,additive
0.13172355939326627,0.1038034751122104,4.323313474655151,True,1,2023-06-29_13-31-09,1688038269,4.323313474655151,35768,Stephan,127.0.0.1,4.323313474655151,1,"9_changepoint_prior_scale=0.5000,changepoint_range=0.8000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",50,0.8,0.5,1.0,multiplicative
0.11856206129255956,0.09239660633067963,4.712238311767578,True,1,2023-06-29_13-31-20,1688038280,4.712238311767578,7264,Stephan,127.0.0.1,4.712238311767578,1,"10_changepoint_prior_scale=0.5000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=multiplicative,seasonality_prior_scale=0.0100",50,0.6,0.5,0.01,multiplicative
0.11702530467243354,0.0850653909163358,4.254308223724365,True,1,2023-06-29_13-31-29,1688038289,4.254308223724365,37176,Stephan,127.0.0.1,4.254308223724365,1,"11_changepoint_prior_scale=0.1000,changepoint_range=0.4000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=1.0000",10,0.4,0.1,1.0,additive
0.11590685850711337,0.08634922796348628,4.347168207168579,True,1,2023-06-29_13-31-39,1688038299,4.347168207168579,35920,Stephan,127.0.0.1,4.347168207168579,1,"12_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.0100",50,0.6,0.1,0.01,additive
0.11590685850711337,0.08634922796348628,4.0669543743133545,True,1,2023-06-29_13-31-48,1688038308,4.0669543743133545,35544,Stephan,127.0.0.1,4.0669543743133545,1,"13_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.0100",50,0.6,0.1,0.01,additive
0.1156746478367918,0.08580326182321445,4.059284925460815,True,1,2023-06-29_13-31-58,1688038318,4.059284925460815,38472,Stephan,127.0.0.1,4.059284925460815,1,"14_changepoint_prior_scale=0.1000,changepoint_range=0.4000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.4,0.1,0.01,additive
0.11249682216402526,0.08355148683520064,4.217036008834839,True,1,2023-06-29_13-32-07,1688038327,4.217036008834839,28444,Stephan,127.0.0.1,4.217036008834839,1,"15_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=multiplicative,seasonality_prior_scale=0.1000",10,0.6,0.01,0.1,multiplicative
0.11558933205627027,0.08621721865773009,4.356353282928467,True,1,2023-06-29_13-32-18,1688038338,4.356353282928467,32140,Stephan,127.0.0.1,4.356353282928467,1,"16_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=0.0100",25,0.6,0.1,0.01,multiplicative
0.11550656377624643,0.08492709405364313,18.57057213783264,True,1,2023-06-29_13-32-42,1688038362,18.57057213783264,31032,Stephan,127.0.0.1,18.57057213783264,1,"17_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=100,seasonality_mode=multiplicative,seasonality_prior_scale=0.1000",100,0.6,0.01,0.1,multiplicative
0.12335148063129253,0.09036725411598973,4.3682942390441895,True,1,2023-06-29_13-32-39,1688038359,4.3682942390441895,37304,Stephan,127.0.0.1,4.3682942390441895,1,"18_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",10,0.6,0.1,10.0,multiplicative
0.12335148063129253,0.09036725411598973,4.126415014266968,True,1,2023-06-29_13-32-49,1688038369,4.126415014266968,19528,Stephan,127.0.0.1,4.126415014266968,1,"19_changepoint_prior_scale=0.1000,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",10,0.6,0.1,10.0,multiplicative
0.11463305722920597,0.08553263557238895,10.817697048187256,True,1,2023-06-29_13-33-05,1688038385,10.817697048187256,38448,Stephan,127.0.0.1,10.817697048187256,1,"20_changepoint_prior_scale=0.0010,changepoint_range=0.9000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=0.1000",25,0.9,0.001,0.1,multiplicative
