rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/n_changepoints,config/changepoint_range,config/changepoint_prior_scale,config/seasonality_prior_scale,config/seasonality_mode
0.038996262993816304,0.031080044032733997,4.097320556640625,True,1,2023-06-29_14-15-20,1688040920,4.097320556640625,14980,Stephan,127.0.0.1,4.097320556640625,1,"1_changepoint_prior_scale=0.5000,changepoint_range=0.9000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",25,0.9,0.5,1.0,multiplicative
0.03826192263411119,0.030358343230471495,3.958714485168457,True,1,2023-06-29_14-15-29,1688040929,3.958714485168457,6892,Stephan,127.0.0.1,3.958714485168457,1,"2_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=10.0000",50,0.6,0.01,10.0,additive
0.03826112311946813,0.031625489940315006,3.895953416824341,True,1,2023-06-29_14-15-37,1688040937,3.895953416824341,24452,Stephan,127.0.0.1,3.895953416824341,1,"3_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",25,0.6,0.01,10.0,multiplicative
0.036469388109302954,0.029169246080023203,3.97350811958313,True,1,2023-06-29_14-15-46,1688040946,3.97350811958313,35996,Stephan,127.0.0.1,3.97350811958313,1,"4_changepoint_prior_scale=0.5000,changepoint_range=0.8000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=1.0000",50,0.8,0.5,1.0,additive
0.039900636131333114,0.03146479022671408,5.566506862640381,True,1,2023-06-29_14-15-57,1688040957,5.566506862640381,39672,Stephan,127.0.0.1,5.566506862640381,1,"5_changepoint_prior_scale=0.5000,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",25,0.8,0.5,10.0,multiplicative
0.03932619076991962,0.030570889472095863,3.86191987991333,True,1,2023-06-29_14-16-04,1688040964,3.86191987991333,19884,Stephan,127.0.0.1,3.86191987991333,1,"6_changepoint_prior_scale=0.1000,changepoint_range=0.8000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=0.1000",25,0.8,0.1,0.1,additive
0.0364263107677011,0.028676564015005828,3.989807367324829,True,1,2023-06-29_14-16-13,1688040973,3.989807367324829,40400,Stephan,127.0.0.1,3.989807367324829,1,"7_changepoint_prior_scale=0.0100,changepoint_range=0.9000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=10.0000",50,0.9,0.01,10.0,additive
0.04368161186445413,0.03504002786597383,4.0380566120147705,True,1,2023-06-29_14-16-22,1688040982,4.0380566120147705,40788,Stephan,127.0.0.1,4.0380566120147705,1,"8_changepoint_prior_scale=1.0000,changepoint_range=0.4000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=1.0000",25,0.4,1.0,1.0,multiplicative
0.03789090040407168,0.03114527209803841,3.8526737689971924,True,1,2023-06-29_14-16-31,1688040991,3.8526737689971924,40108,Stephan,127.0.0.1,3.8526737689971924,1,"9_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=25,seasonality_mode=additive,seasonality_prior_scale=1.0000",25,0.6,0.01,1.0,additive
0.04296961100656135,0.03398938340405252,8.673685312271118,True,1,2023-06-29_14-16-45,1688041005,8.673685312271118,40136,Stephan,127.0.0.1,8.673685312271118,1,"10_changepoint_prior_scale=0.0010,changepoint_range=0.4000,n_changepoints=25,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",25,0.4,0.001,10.0,multiplicative
0.037661062303694946,0.029717735358049186,3.9494142532348633,True,1,2023-06-29_14-16-49,1688041009,3.9494142532348633,40404,Stephan,127.0.0.1,3.9494142532348633,1,"11_changepoint_prior_scale=0.0100,changepoint_range=0.6000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.0100",50,0.6,0.01,0.01,additive
0.03914222872399465,0.030416059724567023,4.242787599563599,True,1,2023-06-29_14-16-59,1688041019,4.242787599563599,40420,Stephan,127.0.0.1,4.242787599563599,1,"12_changepoint_prior_scale=0.1000,changepoint_range=0.9000,n_changepoints=100,seasonality_mode=additive,seasonality_prior_scale=0.1000",100,0.9,0.1,0.1,additive
0.037596186879439136,0.028652809317103938,3.897312641143799,True,1,2023-06-29_14-17-07,1688041027,3.897312641143799,2436,Stephan,127.0.0.1,3.897312641143799,1,"13_changepoint_prior_scale=0.0100,changepoint_range=0.4000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.0100",50,0.4,0.01,0.01,additive
0.035129861657898886,0.027072218248546106,3.8601458072662354,True,1,2023-06-29_14-17-16,1688041036,3.8601458072662354,40388,Stephan,127.0.0.1,3.8601458072662354,1,"14_changepoint_prior_scale=0.0010,changepoint_range=0.8000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.8,0.001,0.01,additive
0.03878258236111407,0.03183859566141561,3.9111766815185547,True,1,2023-06-29_14-17-25,1688041045,3.9111766815185547,40124,Stephan,127.0.0.1,3.9111766815185547,1,"15_changepoint_prior_scale=0.0100,changepoint_range=0.9000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.9,0.01,0.01,additive
0.03450703615379548,0.026710958701149517,3.9909698963165283,True,1,2023-06-29_14-17-34,1688041054,3.9909698963165283,40248,Stephan,127.0.0.1,3.9909698963165283,1,"16_changepoint_prior_scale=0.0010,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.6,0.001,0.01,additive
0.03494397534837378,0.027285250354300603,4.02718710899353,True,1,2023-06-29_14-17-43,1688041063,4.02718710899353,40300,Stephan,127.0.0.1,4.02718710899353,1,"17_changepoint_prior_scale=0.0010,changepoint_range=0.6000,n_changepoints=10,seasonality_mode=multiplicative,seasonality_prior_scale=10.0000",10,0.6,0.001,10.0,multiplicative
0.03916584205744795,0.03178977774752191,16.274290800094604,True,1,2023-06-29_14-18-05,1688041085,16.274290800094604,40692,Stephan,127.0.0.1,16.274290800094604,1,"18_changepoint_prior_scale=0.0010,changepoint_range=0.9000,n_changepoints=50,seasonality_mode=additive,seasonality_prior_scale=0.0100",50,0.9,0.001,0.01,additive
0.03496091546771639,0.02746862036278101,4.171844720840454,True,1,2023-06-29_14-18-02,1688041082,4.171844720840454,40908,Stephan,127.0.0.1,4.171844720840454,1,"19_changepoint_prior_scale=0.0010,changepoint_range=0.4000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.4,0.001,0.01,additive
0.03496091546771639,0.02746862036278101,3.74583101272583,True,1,2023-06-29_14-18-11,1688041091,3.74583101272583,23908,Stephan,127.0.0.1,3.74583101272583,1,"20_changepoint_prior_scale=0.0010,changepoint_range=0.4000,n_changepoints=10,seasonality_mode=additive,seasonality_prior_scale=0.0100",10,0.4,0.001,0.01,additive
