rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.0007503338002515577,0.0006101863338895483,18.60481023788452,True,1,2023-07-04_14-43-59,1688474639,18.60481023788452,1719097,cs02.science.uu.nl,131.211.30.52,18.60481023788452,1,"1_batch_size=32,dropout=0.3987,hidden_dim=128,input_chunk_length=9,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",128,2,25,9,75,32,0.3987409500873015,1,False,auto
0.0007435195371548756,0.0006117342928788865,16.358165502548218,True,1,2023-07-04_14-44-58,1688474698,16.358165502548218,1719283,cs02.science.uu.nl,131.211.30.52,16.358165502548218,1,"2_batch_size=256,dropout=0.0575,hidden_dim=128,input_chunk_length=3,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",128,2,75,3,75,256,0.057510502017674894,1,False,auto
0.0007456708552334812,0.0006062903081939863,21.435270071029663,True,1,2023-07-04_14-46-00,1688474760,21.435270071029663,1719530,cs02.science.uu.nl,131.211.30.52,21.435270071029663,1,"3_batch_size=64,dropout=0.1138,hidden_dim=64,input_chunk_length=24,n_epochs=50,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=50",64,4,50,24,50,64,0.11380232218884141,1,False,auto
0.0009188041354211401,0.0007826690014236193,20.471163749694824,True,1,2023-07-04_14-45-59,1688474759,20.471163749694824,1719533,cs02.science.uu.nl,131.211.30.52,20.471163749694824,1,"4_batch_size=128,dropout=0.2685,hidden_dim=32,input_chunk_length=9,n_epochs=50,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=75",32,4,75,9,50,128,0.2684916622642292,1,False,auto
0.0012332055277077794,0.0010393160843885898,19.459953784942627,True,1,2023-07-04_14-45-58,1688474758,19.459953784942627,1719536,cs02.science.uu.nl,131.211.30.52,19.459953784942627,1,"5_batch_size=64,dropout=0.2926,hidden_dim=16,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",16,2,50,3,50,64,0.29259416346770706,1,False,auto
0.0007893311704070491,0.000627874212010185,22.951250553131104,True,1,2023-07-04_14-46-02,1688474762,22.951250553131104,1719538,cs02.science.uu.nl,131.211.30.52,22.951250553131104,1,"6_batch_size=32,dropout=0.3344,hidden_dim=64,input_chunk_length=24,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",64,3,50,24,75,32,0.33438238482498067,1,False,auto
0.0008089720161503483,0.0006859910679053906,20.37868905067444,True,1,2023-07-04_14-45-59,1688474759,20.37868905067444,1719540,cs02.science.uu.nl,131.211.30.52,20.37868905067444,1,"7_batch_size=64,dropout=0.4439,hidden_dim=32,input_chunk_length=6,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",32,1,75,6,75,64,0.4438909538673993,1,False,auto
0.0007654989125197891,0.0006414749908064488,20.880623817443848,True,1,2023-07-04_14-46-00,1688474760,20.880623817443848,1719542,cs02.science.uu.nl,131.211.30.52,20.880623817443848,1,"8_batch_size=128,dropout=0.4493,hidden_dim=64,input_chunk_length=9,n_epochs=100,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=100",64,1,100,9,100,128,0.44929726631067174,1,False,auto
0.002273645368240287,0.0021481919702544925,20.781187295913696,True,1,2023-07-04_14-46-00,1688474760,20.781187295913696,1719544,cs02.science.uu.nl,131.211.30.52,20.781187295913696,1,"9_batch_size=64,dropout=0.0407,hidden_dim=16,input_chunk_length=6,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",16,2,75,6,75,64,0.0407360192286247,1,False,auto
0.0010402505716456266,0.0008524052870444402,28.059659481048584,True,1,2023-07-04_14-46-07,1688474767,28.059659481048584,1719546,cs02.science.uu.nl,131.211.30.52,28.059659481048584,1,"10_batch_size=16,dropout=0.2961,hidden_dim=32,input_chunk_length=9,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",32,2,50,9,100,16,0.2961136339564137,1,False,auto
