rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.004748738644232296,0.0038017727254510297,14.48905634880066,True,1,2023-06-29_14-16-05,1688040965,14.48905634880066,1291455,cs02.science.uu.nl,131.211.30.52,14.48905634880066,1,"1_batch_size=64,dropout=0.3458,hidden_dim=64,input_chunk_length=12,n_epochs=100,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",64,3,50,12,100,64,0.3457856262332282,1,False,auto
0.004793041135832524,0.0038434518322495548,13.536724090576172,True,1,2023-06-29_14-17-12,1688041032,13.536724090576172,1291647,cs02.science.uu.nl,131.211.30.52,13.536724090576172,1,"2_batch_size=64,dropout=0.1314,hidden_dim=64,input_chunk_length=9,n_epochs=75,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=50",64,4,50,9,75,64,0.13137972787449448,1,False,auto
0.004642897591592969,0.003721036054252376,18.148659706115723,True,1,2023-06-29_14-18-23,1688041103,18.148659706115723,1291874,cs02.science.uu.nl,131.211.30.52,18.148659706115723,1,"3_batch_size=64,dropout=0.1276,hidden_dim=32,input_chunk_length=12,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",32,1,50,12,50,64,0.12756771777668446,1,False,auto
0.004604132866899655,0.003695768281554135,22.561678409576416,True,1,2023-06-29_14-18-28,1688041108,22.561678409576416,1291877,cs02.science.uu.nl,131.211.30.52,22.561678409576416,1,"4_batch_size=64,dropout=0.0714,hidden_dim=128,input_chunk_length=9,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=50",128,4,50,9,100,64,0.07139881816533752,1,False,auto
0.004456657987794299,0.003487822605425125,19.967470169067383,True,1,2023-06-29_14-18-25,1688041105,19.967470169067383,1291880,cs02.science.uu.nl,131.211.30.52,19.967470169067383,1,"5_batch_size=64,dropout=0.4938,hidden_dim=32,input_chunk_length=12,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=75",32,2,75,12,75,64,0.49379785985686375,1,False,auto
0.004710982945432141,0.003764635250635466,24.555577516555786,True,1,2023-06-29_14-18-30,1688041110,24.555577516555786,1291882,cs02.science.uu.nl,131.211.30.52,24.555577516555786,1,"6_batch_size=16,dropout=0.4311,hidden_dim=64,input_chunk_length=12,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",64,3,100,12,75,16,0.43108124743554893,1,False,auto
0.004555793579731169,0.0036710472465582484,18.32942509651184,True,1,2023-06-29_14-18-24,1688041104,18.32942509651184,1291884,cs02.science.uu.nl,131.211.30.52,18.32942509651184,1,"7_batch_size=64,dropout=0.1676,hidden_dim=128,input_chunk_length=12,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,12,50,64,0.16764618733168513,1,False,auto
0.004187162309464668,0.0032016857457194763,19.384533643722534,True,1,2023-06-29_14-18-25,1688041105,19.384533643722534,1291886,cs02.science.uu.nl,131.211.30.52,19.384533643722534,1,"8_batch_size=128,dropout=0.3740,hidden_dim=16,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",16,3,75,6,50,128,0.37395793101929625,1,False,auto
0.004415415788916872,0.0034240051463340503,17.16053342819214,True,1,2023-06-29_14-18-22,1688041102,17.16053342819214,1291888,cs02.science.uu.nl,131.211.30.52,17.16053342819214,1,"9_batch_size=256,dropout=0.0451,hidden_dim=128,input_chunk_length=9,n_epochs=75,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",128,1,50,9,75,256,0.045132806721483405,1,False,auto
0.00492430872471577,0.003959233609951177,20.523632049560547,True,1,2023-06-29_14-18-26,1688041106,20.523632049560547,1291890,cs02.science.uu.nl,131.211.30.52,20.523632049560547,1,"10_batch_size=64,dropout=0.4678,hidden_dim=64,input_chunk_length=3,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=25",64,3,25,3,75,64,0.46775864420453056,1,False,auto
0.08376835175119449,0.08366367514512418,16.68262028694153,True,1,2023-06-29_14-18-22,1688041102,16.68262028694153,1291892,cs02.science.uu.nl,131.211.30.52,16.68262028694153,1,"11_batch_size=128,dropout=0.4723,hidden_dim=64,input_chunk_length=1,n_epochs=25,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=100",64,1,100,1,25,128,0.47233232378341644,1,False,auto
0.004637763995697066,0.0037004667158918453,18.040268659591675,True,1,2023-06-29_14-18-23,1688041103,18.040268659591675,1291894,cs02.science.uu.nl,131.211.30.52,18.040268659591675,1,"12_batch_size=128,dropout=0.4056,hidden_dim=64,input_chunk_length=24,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=25",64,2,25,24,50,128,0.4055883728035913,1,False,auto
0.00887045860060012,0.007849373240033394,18.30619978904724,True,1,2023-06-29_14-18-24,1688041104,18.30619978904724,1291896,cs02.science.uu.nl,131.211.30.52,18.30619978904724,1,"13_batch_size=256,dropout=0.3050,hidden_dim=16,input_chunk_length=12,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",16,3,50,12,75,256,0.3049661288896685,1,False,auto
0.012970067452928658,0.012275898126485926,18.348326921463013,True,1,2023-06-29_14-18-24,1688041104,18.348326921463013,1291898,cs02.science.uu.nl,131.211.30.52,18.348326921463013,1,"14_batch_size=128,dropout=0.1081,hidden_dim=16,input_chunk_length=9,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",16,3,100,9,50,128,0.10812071445241304,1,False,auto
0.0041844420043938915,0.0031386473064709502,18.34181547164917,True,1,2023-06-29_14-18-24,1688041104,18.34181547164917,1291900,cs02.science.uu.nl,131.211.30.52,18.34181547164917,1,"15_batch_size=128,dropout=0.0311,hidden_dim=128,input_chunk_length=12,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=100",128,3,100,12,50,128,0.031119827313116945,1,False,auto
0.004194678356077714,0.003200935362938133,19.451738357543945,True,1,2023-06-29_14-18-25,1688041105,19.451738357543945,1291902,cs02.science.uu.nl,131.211.30.52,19.451738357543945,1,"16_batch_size=128,dropout=0.4690,hidden_dim=64,input_chunk_length=9,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,9,50,128,0.4689586119811735,1,False,auto
0.00436918008995695,0.003294189259071661,17.42784595489502,True,1,2023-06-29_14-18-23,1688041103,17.42784595489502,1291904,cs02.science.uu.nl,131.211.30.52,17.42784595489502,1,"17_batch_size=64,dropout=0.1105,hidden_dim=128,input_chunk_length=12,n_epochs=25,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=100",128,1,100,12,25,64,0.11048654290746629,1,False,auto
0.008264262138514911,0.0073119371058306196,17.755956172943115,True,1,2023-06-29_14-18-23,1688041103,17.755956172943115,1291906,cs02.science.uu.nl,131.211.30.52,17.755956172943115,1,"18_batch_size=256,dropout=0.4025,hidden_dim=128,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,3,50,256,0.4024656540409004,1,False,auto
0.004483215685118128,0.003489044214329397,23.379804611206055,True,1,2023-06-29_14-18-29,1688041109,23.379804611206055,1291908,cs02.science.uu.nl,131.211.30.52,23.379804611206055,1,"19_batch_size=32,dropout=0.3712,hidden_dim=128,input_chunk_length=12,n_epochs=75,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=50",128,4,50,12,75,32,0.3711520870223744,1,False,auto
0.004190906400757763,0.0031658580271219424,24.5188250541687,True,1,2023-06-29_14-18-30,1688041110,24.5188250541687,1291910,cs02.science.uu.nl,131.211.30.52,24.5188250541687,1,"20_batch_size=16,dropout=0.1002,hidden_dim=64,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",64,3,75,6,50,16,0.10022146873202029,1,False,auto
