rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.004729448020632745,0.003450480709827862,11.674937963485718,True,1,2023-06-29_14-58-02,1688043482,11.674937963485718,1335548,cs02.science.uu.nl,131.211.30.52,11.674937963485718,1,"1_batch_size=64,dropout=0.4084,hidden_dim=32,input_chunk_length=6,n_epochs=25,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",32,2,50,6,25,64,0.4084004140467661,1,False,auto
0.00481896089681175,0.003506351633897826,12.390459060668945,True,1,2023-06-29_14-59-10,1688043550,12.390459060668945,1335757,cs02.science.uu.nl,131.211.30.52,12.390459060668945,1,"2_batch_size=64,dropout=0.4773,hidden_dim=32,input_chunk_length=12,n_epochs=50,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=100",32,4,100,12,50,64,0.4773494997343235,1,False,auto
0.004703367349585058,0.003375208744026414,18.19777750968933,True,1,2023-06-29_15-00-21,1688043621,18.19777750968933,1335982,cs02.science.uu.nl,131.211.30.52,18.19777750968933,1,"3_batch_size=256,dropout=0.2976,hidden_dim=32,input_chunk_length=24,n_epochs=100,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",32,2,50,24,100,256,0.29764746676769843,1,False,auto
0.004741828239568341,0.003422440432146369,23.59732174873352,True,1,2023-06-29_15-00-27,1688043627,23.59732174873352,1335985,cs02.science.uu.nl,131.211.30.52,23.59732174873352,1,"4_batch_size=32,dropout=0.2586,hidden_dim=128,input_chunk_length=6,n_epochs=100,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",128,3,75,6,100,32,0.2586364339185279,1,False,auto
0.004938608689411838,0.003665027897313615,18.264715433120728,True,1,2023-06-29_15-00-21,1688043621,18.264715433120728,1335988,cs02.science.uu.nl,131.211.30.52,18.264715433120728,1,"5_batch_size=256,dropout=0.4615,hidden_dim=128,input_chunk_length=9,n_epochs=75,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,9,75,256,0.4615117462494835,1,False,auto
0.004755314466668211,0.003397692688229048,19.78457522392273,True,1,2023-06-29_15-00-23,1688043623,19.78457522392273,1335990,cs02.science.uu.nl,131.211.30.52,19.78457522392273,1,"6_batch_size=64,dropout=0.4926,hidden_dim=64,input_chunk_length=12,n_epochs=75,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",64,3,50,12,75,64,0.4925865292410671,1,False,auto
0.004855200523481335,0.0037511552473802304,19.934612274169922,True,1,2023-06-29_15-00-23,1688043623,19.934612274169922,1335992,cs02.science.uu.nl,131.211.30.52,19.934612274169922,1,"7_batch_size=32,dropout=0.3001,hidden_dim=16,input_chunk_length=6,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=50",16,1,50,6,50,32,0.3001313058007115,1,False,auto
0.0059375018375490305,0.0046552152531369,17.574790954589844,True,1,2023-06-29_15-00-21,1688043621,17.574790954589844,1335994,cs02.science.uu.nl,131.211.30.52,17.574790954589844,1,"8_batch_size=256,dropout=0.1038,hidden_dim=64,input_chunk_length=3,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",64,2,50,3,50,256,0.10379054196571114,1,False,auto
0.004828492881834958,0.0034828165245680068,19.651629209518433,True,1,2023-06-29_15-00-23,1688043623,19.651629209518433,1335996,cs02.science.uu.nl,131.211.30.52,19.651629209518433,1,"9_batch_size=32,dropout=0.3619,hidden_dim=32,input_chunk_length=24,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=75",32,1,75,24,50,32,0.3618679258607351,1,False,auto
0.006308168848018667,0.005289151215031065,16.788068771362305,True,1,2023-06-29_15-00-20,1688043620,16.788068771362305,1335998,cs02.science.uu.nl,131.211.30.52,16.788068771362305,1,"10_batch_size=256,dropout=0.0936,hidden_dim=128,input_chunk_length=3,n_epochs=50,n_rnn_layers=1,accelerator=auto,enable_progress_bar=False,training_length=25",128,1,25,3,50,256,0.09357417338333057,1,False,auto
0.0049700046237720575,0.003701474593669788,21.136704206466675,True,1,2023-06-29_15-00-24,1688043624,21.136704206466675,1336000,cs02.science.uu.nl,131.211.30.52,21.136704206466675,1,"11_batch_size=128,dropout=0.0805,hidden_dim=128,input_chunk_length=1,n_epochs=100,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=50",128,4,50,1,100,128,0.08046537045657785,1,False,auto
0.004817999622138158,0.0034784211065565867,19.921368837356567,True,1,2023-06-29_15-00-23,1688043623,19.921368837356567,1336002,cs02.science.uu.nl,131.211.30.52,19.921368837356567,1,"12_batch_size=32,dropout=0.2864,hidden_dim=128,input_chunk_length=9,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,9,50,32,0.28640998946162793,1,False,auto
0.005385231182451072,0.004367678608817698,17.913116455078125,True,1,2023-06-29_15-00-21,1688043621,17.913116455078125,1336004,cs02.science.uu.nl,131.211.30.52,17.913116455078125,1,"13_batch_size=128,dropout=0.4797,hidden_dim=128,input_chunk_length=6,n_epochs=25,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=75",128,4,75,6,25,128,0.4797457964604845,1,False,auto
0.006857390624417103,0.005900499721340946,18.0775146484375,True,1,2023-06-29_15-00-21,1688043621,18.0775146484375,1336006,cs02.science.uu.nl,131.211.30.52,18.0775146484375,1,"14_batch_size=256,dropout=0.0895,hidden_dim=64,input_chunk_length=9,n_epochs=25,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=75",64,4,75,9,25,256,0.08949273897251983,1,False,auto
0.00476298014022287,0.0034138148994769754,23.680808305740356,True,1,2023-06-29_15-00-27,1688043627,23.680808305740356,1336008,cs02.science.uu.nl,131.211.30.52,23.680808305740356,1,"15_batch_size=32,dropout=0.3604,hidden_dim=128,input_chunk_length=3,n_epochs=100,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=75",128,3,75,3,100,32,0.3604365677045446,1,False,auto
0.0067435583842626375,0.005765417573555834,18.20463514328003,True,1,2023-06-29_15-00-21,1688043621,18.20463514328003,1336010,cs02.science.uu.nl,131.211.30.52,18.20463514328003,1,"16_batch_size=256,dropout=0.2280,hidden_dim=16,input_chunk_length=6,n_epochs=50,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",16,4,25,6,50,256,0.22795859531479334,1,False,auto
0.004755788219090185,0.0034117465226183607,18.41079831123352,True,1,2023-06-29_15-00-22,1688043622,18.41079831123352,1336012,cs02.science.uu.nl,131.211.30.52,18.41079831123352,1,"17_batch_size=64,dropout=0.4278,hidden_dim=128,input_chunk_length=12,n_epochs=50,n_rnn_layers=2,accelerator=auto,enable_progress_bar=False,training_length=50",128,2,50,12,50,64,0.42784653560993036,1,False,auto
0.004792187617618175,0.003458473391970776,20.058225631713867,True,1,2023-06-29_15-00-23,1688043623,20.058225631713867,1336014,cs02.science.uu.nl,131.211.30.52,20.058225631713867,1,"18_batch_size=32,dropout=0.4096,hidden_dim=32,input_chunk_length=12,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",32,3,50,12,50,32,0.40962489682365244,1,False,auto
0.0050563711126027505,0.00377646857805706,18.195435285568237,True,1,2023-06-29_15-00-21,1688043621,18.195435285568237,1336016,cs02.science.uu.nl,131.211.30.52,18.195435285568237,1,"19_batch_size=128,dropout=0.1930,hidden_dim=16,input_chunk_length=6,n_epochs=50,n_rnn_layers=3,accelerator=auto,enable_progress_bar=False,training_length=50",16,3,50,6,50,128,0.19303606962837072,1,False,auto
0.004714933809188751,0.0033714102900748717,21.740642547607422,True,1,2023-06-29_15-00-25,1688043625,21.740642547607422,1336018,cs02.science.uu.nl,131.211.30.52,21.740642547607422,1,"20_batch_size=32,dropout=0.0150,hidden_dim=32,input_chunk_length=1,n_epochs=75,n_rnn_layers=4,accelerator=auto,enable_progress_bar=False,training_length=25",32,4,25,1,75,32,0.015001966130074599,1,False,auto
