rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/n_rnn_layers,config/training_length,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/model_name,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
0.046989209154705856,0.03868179558800628,14.732784271240234,True,1,2023-06-27_06-30-17,1687840217,14.732784271240234,1851334,cs02.science.uu.nl,131.211.30.52,14.732784271240234,1,"1_batch_size=32,dropout=0.1703,hidden_dim=25,input_chunk_length=12,n_epochs=50,n_rnn_layers=3,training_length=75",25,3,75,12,50,32,0.17031260350709299,1,RNN,False,auto
0.04708688659205827,0.04009401407935995,12.627685070037842,True,1,2023-06-27_06-31-22,1687840282,12.627685070037842,1851531,cs02.science.uu.nl,131.211.30.52,12.627685070037842,1,"2_batch_size=32,dropout=0.0762,hidden_dim=25,input_chunk_length=6,n_epochs=50,n_rnn_layers=1,training_length=25",25,1,25,6,50,32,0.07624607222782959,1,RNN,False,auto
0.04769079631686716,0.04015865564882096,12.287931203842163,True,1,2023-06-27_06-32-28,1687840348,12.287931203842163,1851765,cs02.science.uu.nl,131.211.30.52,12.287931203842163,1,"3_batch_size=32,dropout=0.3582,hidden_dim=25,input_chunk_length=6,n_epochs=25,n_rnn_layers=3,training_length=50",25,3,50,6,25,32,0.35822232852405217,1,RNN,False,auto
0.04783121011500007,0.04022949097827246,12.594642400741577,True,1,2023-06-27_06-32-28,1687840348,12.594642400741577,1851769,cs02.science.uu.nl,131.211.30.52,12.594642400741577,1,"4_batch_size=128,dropout=0.1944,hidden_dim=25,input_chunk_length=6,n_epochs=50,n_rnn_layers=4,training_length=25",25,4,25,6,50,128,0.19437044958477634,1,RNN,False,auto
0.048052210623140856,0.04037271395944,12.856793403625488,True,1,2023-06-27_06-32-29,1687840349,12.856793403625488,1851772,cs02.science.uu.nl,131.211.30.52,12.856793403625488,1,"5_batch_size=64,dropout=0.3527,hidden_dim=25,input_chunk_length=1,n_epochs=50,n_rnn_layers=4,training_length=25",25,4,25,1,50,64,0.35274657881797133,1,RNN,False,auto
0.04680219399799646,0.039664839533671475,13.01526427268982,True,1,2023-06-27_06-32-29,1687840349,13.01526427268982,1851774,cs02.science.uu.nl,131.211.30.52,13.01526427268982,1,"6_batch_size=128,dropout=0.1875,hidden_dim=25,input_chunk_length=12,n_epochs=75,n_rnn_layers=1,training_length=25",25,1,25,12,75,128,0.18751668300744526,1,RNN,False,auto
0.046688830295240805,0.03912682004574907,13.88045072555542,True,1,2023-06-27_06-33-38,1687840418,13.88045072555542,1852468,cs02.science.uu.nl,131.211.30.52,13.88045072555542,1,"7_batch_size=64,dropout=0.3816,hidden_dim=25,input_chunk_length=12,n_epochs=100,n_rnn_layers=3,training_length=75",25,3,75,12,100,64,0.3815770340221942,1,RNN,False,auto
0.04770674333665458,0.03998426743553165,13.354021787643433,True,1,2023-06-27_06-34-45,1687840485,13.354021787643433,1852789,cs02.science.uu.nl,131.211.30.52,13.354021787643433,1,"8_batch_size=64,dropout=0.1338,hidden_dim=25,input_chunk_length=3,n_epochs=75,n_rnn_layers=2,training_length=50",25,2,50,3,75,64,0.1338113875838182,1,RNN,False,auto
0.04704638316360855,0.0399614211477304,12.764771699905396,True,1,2023-06-27_06-34-44,1687840484,12.764771699905396,1852791,cs02.science.uu.nl,131.211.30.52,12.764771699905396,1,"9_batch_size=16,dropout=0.1046,hidden_dim=25,input_chunk_length=6,n_epochs=25,n_rnn_layers=2,training_length=25",25,2,25,6,25,16,0.10457030438940969,1,RNN,False,auto
0.04753438524741008,0.04008775395504945,12.316475629806519,True,1,2023-06-27_06-34-44,1687840484,12.316475629806519,1852793,cs02.science.uu.nl,131.211.30.52,12.316475629806519,1,"10_batch_size=32,dropout=0.4755,hidden_dim=25,input_chunk_length=6,n_epochs=25,n_rnn_layers=2,training_length=25",25,2,25,6,25,32,0.4755371266903095,1,RNN,False,auto
0.05012660118737795,0.04033373259812054,12.727584600448608,True,1,2023-06-27_06-34-44,1687840484,12.727584600448608,1852795,cs02.science.uu.nl,131.211.30.52,12.727584600448608,1,"11_batch_size=128,dropout=0.2173,hidden_dim=25,input_chunk_length=3,n_epochs=50,n_rnn_layers=3,training_length=75",25,3,75,3,50,128,0.21730805179693577,1,RNN,False,auto
0.04811922418416619,0.04024804395642223,11.619001150131226,True,1,2023-06-27_06-35-51,1687840551,11.619001150131226,1853486,cs02.science.uu.nl,131.211.30.52,11.619001150131226,1,"12_batch_size=64,dropout=0.0139,hidden_dim=25,input_chunk_length=3,n_epochs=25,n_rnn_layers=3,training_length=25",25,3,25,3,25,64,0.013859472368931397,1,RNN,False,auto
0.047274403159222524,0.03957136127062131,12.221822261810303,True,1,2023-06-27_06-36-59,1687840619,12.221822261810303,1853823,cs02.science.uu.nl,131.211.30.52,12.221822261810303,1,"13_batch_size=256,dropout=0.3044,hidden_dim=25,input_chunk_length=6,n_epochs=50,n_rnn_layers=2,training_length=50",25,2,50,6,50,256,0.3044353791342251,1,RNN,False,auto
0.04741212628903637,0.039973362881668334,12.215004205703735,True,1,2023-06-27_06-36-59,1687840619,12.215004205703735,1853825,cs02.science.uu.nl,131.211.30.52,12.215004205703735,1,"14_batch_size=256,dropout=0.0389,hidden_dim=25,input_chunk_length=24,n_epochs=50,n_rnn_layers=1,training_length=50",25,1,50,24,50,256,0.038929520968427514,1,RNN,False,auto
0.04729501353443251,0.03942050391841467,12.117512702941895,True,1,2023-06-27_06-36-58,1687840618,12.117512702941895,1853827,cs02.science.uu.nl,131.211.30.52,12.117512702941895,1,"15_batch_size=256,dropout=0.0389,hidden_dim=25,input_chunk_length=24,n_epochs=50,n_rnn_layers=1,training_length=50",25,1,50,24,50,256,0.038929520968427514,1,RNN,False,auto
0.04796318569583394,0.03985392071259582,12.110793590545654,True,1,2023-06-27_06-36-58,1687840618,12.110793590545654,1853829,cs02.science.uu.nl,131.211.30.52,12.110793590545654,1,"16_batch_size=256,dropout=0.0389,hidden_dim=25,input_chunk_length=24,n_epochs=50,n_rnn_layers=1,training_length=50",25,1,50,24,50,256,0.038929520968427514,1,RNN,False,auto
0.047405761667297305,0.03971200995226589,11.80709719657898,True,1,2023-06-27_06-38-06,1687840686,11.80709719657898,1854542,cs02.science.uu.nl,131.211.30.52,11.80709719657898,1,"17_batch_size=256,dropout=0.0389,hidden_dim=25,input_chunk_length=24,n_epochs=50,n_rnn_layers=1,training_length=50",25,1,50,24,50,256,0.038929520968427514,1,RNN,False,auto
0.07217547510232909,0.05813411194675442,18.72066569328308,True,1,2023-06-27_06-39-21,1687840761,18.72066569328308,1854869,cs02.science.uu.nl,131.211.30.52,18.72066569328308,1,"18_batch_size=16,dropout=0.0100,hidden_dim=25,input_chunk_length=24,n_epochs=100,n_rnn_layers=4,training_length=50",25,4,50,24,100,16,0.01,1,RNN,False,auto
0.046567535665807736,0.04059886869136447,13.185607433319092,True,1,2023-06-27_06-39-16,1687840756,13.185607433319092,1854871,cs02.science.uu.nl,131.211.30.52,13.185607433319092,1,"19_batch_size=16,dropout=0.0420,hidden_dim=25,input_chunk_length=24,n_epochs=25,n_rnn_layers=4,training_length=25",25,4,25,24,25,16,0.041958576281872065,1,RNN,False,auto
0.04596001093722272,0.039290850194141,13.204900026321411,True,1,2023-06-27_06-39-16,1687840756,13.204900026321411,1854873,cs02.science.uu.nl,131.211.30.52,13.204900026321411,1,"20_batch_size=16,dropout=0.0420,hidden_dim=25,input_chunk_length=24,n_epochs=25,n_rnn_layers=4,training_length=25",25,4,25,24,25,16,0.041958576281872065,1,RNN,False,auto
