rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lags,config/n_estimators,config/max_depth,config/output_chunk_length
0.0012163402395752086,0.000988423722015513,0.33551764488220215,True,1,2023-06-27_19-04-35,1687885475,0.33551764488220215,2008692,cs02.science.uu.nl,131.211.30.52,0.33551764488220215,1,"1_lags=30,max_depth=2,n_estimators=100",30,100,2.0,1
0.0012168792788550997,0.0009644905935565322,1.5946509838104248,True,1,2023-06-27_19-05-55,1687885555,1.5946509838104248,2008882,cs02.science.uu.nl,131.211.30.52,1.5946509838104248,1,"2_lags=30,max_depth=8,n_estimators=500",30,500,8.0,1
0.001210615632991975,0.0009952597380064974,0.604149580001831,True,1,2023-06-27_19-07-08,1687885628,0.604149580001831,2009092,cs02.science.uu.nl,131.211.30.52,0.604149580001831,1,"3_lags=14,max_depth=2,n_estimators=250",14,250,2.0,1
0.001229512872235302,0.0009931593500841212,0.6302783489227295,True,1,2023-06-27_19-07-08,1687885628,0.6302783489227295,2009095,cs02.science.uu.nl,131.211.30.52,0.6302783489227295,1,"4_lags=7,max_depth=4,n_estimators=250",7,250,4.0,1
0.0012964287596014068,0.0010352818869461562,2.4141504764556885,True,1,2023-06-27_19-07-10,1687885630,2.4141504764556885,2009098,cs02.science.uu.nl,131.211.30.52,2.4141504764556885,1,"5_lags=7,max_depth=None,n_estimators=1000",7,1000,,1
0.001429981894380219,0.0011317454662574872,0.13874077796936035,True,1,2023-06-27_19-07-08,1687885628,0.13874077796936035,2009100,cs02.science.uu.nl,131.211.30.52,0.13874077796936035,1,"6_lags=30,max_depth=4,n_estimators=10",30,10,4.0,1
0.0012038410969509407,0.0009941129934148932,2.025012493133545,True,1,2023-06-27_19-07-10,1687885630,2.025012493133545,2009106,cs02.science.uu.nl,131.211.30.52,2.025012493133545,1,"7_lags=7,max_depth=2,n_estimators=1000",7,1000,2.0,1
0.0012262299199573248,0.0009667437511626871,0.904942512512207,True,1,2023-06-27_19-08-19,1687885699,0.904942512512207,2009916,cs02.science.uu.nl,131.211.30.52,0.904942512512207,1,"8_lags=30,max_depth=10,n_estimators=250",30,250,10.0,1
0.0012008206043793866,0.0009889475790957724,0.3120439052581787,True,1,2023-06-27_19-08-19,1687885699,0.3120439052581787,2009918,cs02.science.uu.nl,131.211.30.52,0.3120439052581787,1,"9_lags=7,max_depth=2,n_estimators=100",7,100,2.0,1
0.0012307595165448946,0.0009838294749354225,0.4378373622894287,True,1,2023-06-27_19-08-19,1687885699,0.4378373622894287,2009920,cs02.science.uu.nl,131.211.30.52,0.4378373622894287,1,"10_lags=30,max_depth=10,n_estimators=100",30,100,10.0,1
0.0012634543146217978,0.0009935640099197679,0.9139876365661621,True,1,2023-06-27_19-08-19,1687885699,0.9139876365661621,2009925,cs02.science.uu.nl,131.211.30.52,0.9139876365661621,1,"11_lags=30,max_depth=10,n_estimators=250",30,250,10.0,1
0.0012672562835626168,0.0010127672228549842,1.2606093883514404,True,1,2023-06-27_19-08-20,1687885700,1.2606093883514404,2009931,cs02.science.uu.nl,131.211.30.52,1.2606093883514404,1,"12_lags=7,max_depth=12,n_estimators=500",7,500,12.0,1
0.00126639202909476,0.0010118470180119335,0.4199552536010742,True,1,2023-06-27_19-09-28,1687885768,0.4199552536010742,2010747,cs02.science.uu.nl,131.211.30.52,0.4199552536010742,1,"13_lags=30,max_depth=8,n_estimators=100",30,100,8.0,1
0.0012323910454147518,0.0009841219277148133,0.8668155670166016,True,1,2023-06-27_19-09-29,1687885769,0.8668155670166016,2010750,cs02.science.uu.nl,131.211.30.52,0.8668155670166016,1,"14_lags=30,max_depth=8,n_estimators=250",30,250,8.0,1
0.0012307083247526517,0.0009753235799323397,0.8888671398162842,True,1,2023-06-27_19-09-29,1687885769,0.8888671398162842,2010752,cs02.science.uu.nl,131.211.30.52,0.8888671398162842,1,"15_lags=30,max_depth=8,n_estimators=250",30,250,8.0,1
0.001218642878593442,0.0009717898843590763,0.8588438034057617,True,1,2023-06-27_19-09-29,1687885769,0.8588438034057617,2010754,cs02.science.uu.nl,131.211.30.52,0.8588438034057617,1,"16_lags=30,max_depth=8,n_estimators=250",30,250,8.0,1
0.0012716956110626985,0.0009876662169532502,0.8834521770477295,True,1,2023-06-27_19-09-29,1687885769,0.8834521770477295,2010756,cs02.science.uu.nl,131.211.30.52,0.8834521770477295,1,"17_lags=30,max_depth=8,n_estimators=250",30,250,8.0,1
0.001258528232635236,0.0009875533478533004,0.8979744911193848,True,1,2023-06-27_19-10-38,1687885838,0.8979744911193848,2011568,cs02.science.uu.nl,131.211.30.52,0.8979744911193848,1,"18_lags=30,max_depth=8,n_estimators=250",30,250,8.0,1
0.001220979948794436,0.0009983924836546134,0.32004380226135254,True,1,2023-06-27_19-10-38,1687885838,0.32004380226135254,2011579,cs02.science.uu.nl,131.211.30.52,0.32004380226135254,1,"19_lags=1,max_depth=2,n_estimators=100",1,100,2.0,1
0.0012169786416949648,0.0009746264569420829,0.8734686374664307,True,1,2023-06-27_19-10-38,1687885838,0.8734686374664307,2011583,cs02.science.uu.nl,131.211.30.52,0.8734686374664307,1,"20_lags=30,max_depth=4,n_estimators=250",30,250,4.0,1
