rmse,mae,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_size,config/lstm_layers,config/num_attention_heads,config/hidden_continuous_size,config/add_relative_index,config/input_chunk_length,config/n_epochs,config/batch_size,config/dropout,config/output_chunk_length,config/pl_trainer_kwargs/enable_progress_bar,config/pl_trainer_kwargs/accelerator
,,19.993696451187134,True,1,2023-06-30_18-29-38,1688142578,19.993696451187134,2466580,cs02.science.uu.nl,131.211.30.52,19.993696451187134,1,"1_add_relative_index=True,batch_size=64,dropout=0.2515,hidden_continuous_size=10,hidden_size=4,input_chunk_length=1,lstm_layers=3,n_epochs=100,num_attention_heads=1,accelerator=auto,enable_progress_bar=False",4,3,1,10,True,1,100,64,0.2514604240363958,1,False,auto
0.008623941450580047,0.005924645892306316,35.37844467163086,True,1,2023-06-30_18-31-02,1688142662,35.37844467163086,2466769,cs02.science.uu.nl,131.211.30.52,35.37844467163086,1,"2_add_relative_index=True,batch_size=16,dropout=0.3203,hidden_continuous_size=4,hidden_size=25,input_chunk_length=24,lstm_layers=4,n_epochs=100,num_attention_heads=2,accelerator=auto,enable_progress_bar=False",25,4,2,4,True,24,100,16,0.3203011295221859,1,False,auto
0.01598313447605086,0.012982816853770299,25.798635721206665,True,1,2023-06-30_18-32-00,1688142720,25.798635721206665,2466994,cs02.science.uu.nl,131.211.30.52,25.798635721206665,1,"3_add_relative_index=True,batch_size=128,dropout=0.1412,hidden_continuous_size=4,hidden_size=25,input_chunk_length=9,lstm_layers=4,n_epochs=50,num_attention_heads=2,accelerator=auto,enable_progress_bar=False",25,4,2,4,True,9,50,128,0.14120881768051755,1,False,auto
0.010440189116581563,0.00914651074063018,29.176480293273926,True,1,2023-06-30_18-32-03,1688142723,29.176480293273926,2466997,cs02.science.uu.nl,131.211.30.52,29.176480293273926,1,"4_add_relative_index=True,batch_size=16,dropout=0.2127,hidden_continuous_size=10,hidden_size=10,input_chunk_length=3,lstm_layers=1,n_epochs=50,num_attention_heads=4,accelerator=auto,enable_progress_bar=False",10,1,4,10,True,3,50,16,0.21270861923394618,1,False,auto
0.10873341882443428,0.08418282552395877,25.502607583999634,True,1,2023-06-30_18-31-59,1688142719,25.502607583999634,2467000,cs02.science.uu.nl,131.211.30.52,25.502607583999634,1,"5_add_relative_index=True,batch_size=128,dropout=0.4378,hidden_continuous_size=8,hidden_size=4,input_chunk_length=3,lstm_layers=1,n_epochs=75,num_attention_heads=2,accelerator=auto,enable_progress_bar=False",4,1,2,8,True,3,75,128,0.4378453464924323,1,False,auto
0.013775701623959523,0.007190793014363502,28.425679206848145,True,1,2023-06-30_18-32-02,1688142722,28.425679206848145,2467002,cs02.science.uu.nl,131.211.30.52,28.425679206848145,1,"6_add_relative_index=True,batch_size=32,dropout=0.3141,hidden_continuous_size=8,hidden_size=2,input_chunk_length=24,lstm_layers=1,n_epochs=75,num_attention_heads=3,accelerator=auto,enable_progress_bar=False",2,1,3,8,True,24,75,32,0.3141118385821951,1,False,auto
0.05128223286909682,0.02624052494329233,26.283645153045654,True,1,2023-06-30_18-32-00,1688142720,26.283645153045654,2467004,cs02.science.uu.nl,131.211.30.52,26.283645153045654,1,"7_add_relative_index=True,batch_size=64,dropout=0.4649,hidden_continuous_size=2,hidden_size=10,input_chunk_length=6,lstm_layers=2,n_epochs=50,num_attention_heads=3,accelerator=auto,enable_progress_bar=False",10,2,3,2,True,6,50,64,0.4648524857263138,1,False,auto
0.005917883844327268,0.00475884760766677,27.539695739746094,True,1,2023-06-30_18-32-01,1688142721,27.539695739746094,2467006,cs02.science.uu.nl,131.211.30.52,27.539695739746094,1,"8_add_relative_index=True,batch_size=32,dropout=0.1266,hidden_continuous_size=8,hidden_size=4,input_chunk_length=12,lstm_layers=3,n_epochs=50,num_attention_heads=2,accelerator=auto,enable_progress_bar=False",4,3,2,8,True,12,50,32,0.1265668895447723,1,False,auto
0.008746489444077174,0.005857749514415106,28.39815378189087,True,1,2023-06-30_18-32-02,1688142722,28.39815378189087,2467008,cs02.science.uu.nl,131.211.30.52,28.39815378189087,1,"9_add_relative_index=True,batch_size=64,dropout=0.4454,hidden_continuous_size=8,hidden_size=10,input_chunk_length=6,lstm_layers=4,n_epochs=100,num_attention_heads=3,accelerator=auto,enable_progress_bar=False",10,4,3,8,True,6,100,64,0.445364957713977,1,False,auto
0.016326110715913392,0.007142255445853142,31.588581323623657,True,1,2023-06-30_18-32-05,1688142725,31.588581323623657,2467011,cs02.science.uu.nl,131.211.30.52,31.588581323623657,1,"10_add_relative_index=True,batch_size=16,dropout=0.0543,hidden_continuous_size=2,hidden_size=25,input_chunk_length=6,lstm_layers=3,n_epochs=50,num_attention_heads=4,accelerator=auto,enable_progress_bar=False",25,3,4,2,True,6,50,16,0.05427781693537352,1,False,auto
