,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,TBATS
BTC,"[-46.41405440968822, 41.139217180728515, 29.694573719832068, 52.34941759105703, 23.82933982918127]","[-61.7309881911548, 25.90951499395593, 30.496017325553133, 53.93279499995798, -38.915968696590646]","[-61.209015424800384, 22.090255824825462, 16.31870712033473, 27.17816516657608, -7.563335523147277]","[54.407882422762135, 64.21612023050616, -10.302791859150757, 18.550574209031982, -224.07398362535557]","[-84250.31473580755, -850.3251542275491, -924.8118044234307, -309220.7373903671, -1470.4082137351647]","[-65.91162902017301, 54.75770957477558, 28.92569914483748, 35.59037181909853, -57.78558964204604]","[-135.5487589380205, 36.619075952458715, 10.23746327053663, 28.640395663723062, -4.8257931524257875]","[-46.11953947657644, 60.8984745767706, 30.675755811431166, 52.56114221636652, 34.01852954030245]","[-266.97777087900374, 72.60940182373943, -5.921950008243559, -18.479579592263566, -96.79604316338455]","[-10.34972334337313, -556.538170334847, -173.70056335712286, 4.917226053279825, -2033.8391574260143]","[-140.3772192493901, 26.338605906130198, -504.28046367606294, -6.422210367671215, -105.600722569256]","[4.774804142650949, -18.795187405292353, 28.355435576731153, 41.4963014288055, -65.02312960156618]"
ETH,"[-15.080033665407328, -202.3984886234645, 25.487544277282144, 45.095907989147776, -16.678192599206287]","[-25.996162519012994, -203.60111452758866, 29.7183437154809, 40.983291330237414, 30.42921506899653]","[-17.65173420647167, -154.45868677910224, 27.50702962253298, 39.19012101480769, 33.51930734179313]","[28.842986427290327, -477.9678297406065, -57.40620885183979, -3.1065981791390684, 13.375973178474668]","[-430.967900214492, -2027.968418103146, -838168.5173009024, -330.1397241827062, -35954.17504876826]","[-39.17245774264151, -213.81276948235887, 39.48661660050998, 45.09803296932679, -16.2525283961116]","[-42.06984864764079, -246.14730952885998, 40.19988732234972, -44.53306507657019, -136.55851471145547]","[-50.505356988168614, -102.57238566759487, -90.3403580182203, 33.33085444842499, -319.36320962227586]","[-70.07514523878862, -154.38515128976047, -34.175659529524815, 49.61044723850581, 0.24746904505705508]","[-7.185965149987752, -3887.6593855465403, 39.1960619625112, -85.84805350336708, -324.9621154738866]","[36.7388833683581, -16424.107953426683, -497.094947072088, -370.9080255016943, -177.7203486094069]","[24.950491748578223, -248.16532011181317, 24.231098931023066, 21.607444369470624, 48.742226045979635]"
BNB,"[-32.77655310943387, -7.9691623478450975, -83.80187219519698, 23.392683904646088, -143.5044469602086]","[-35.93855063939434, 28.447715239087845, -29.330110051405672, 27.587995669074637, -44.312657425369736]","[-34.956783387721245, 27.98869079094828, -26.99306898739799, 26.26207450326699, -48.13926687910944]","[24.892726265758224, -51.67479696752899, -77.54835566034703, -51.72672490416457, -30.358238662655207]","[-418.3736960297904, -6750.041732332549, -2045.7029935487392, -183.98701458288085, -820.946488815075]","[-64.95253238208815, -64.89940824523782, -46.25489983402649, -51.119559175591135, -134.07314993850346]","[-37.15565018437979, -145.34215848176814, -13.795368326295366, 38.86157641015355, -767.6164758964379]","[-180.80777978990767, -15.489554270076573, -824.7393898282338, -51.27517589948186, -13.771745441946196]","[-175.31220188378296, -49.34269912987559, -553.2812652096914, 44.74668575149743, -80.54950031332756]","[-161.9578209778504, -244.35597720844186, -413.8414955996549, -252.05955815734663, -1002.8857974368204]","[-355.571225059397, -486.9824672922593, -1609.6309211468963, -300.90051964524827, -1161.1729100822176]","[21.555733924476037, 35.34378521232743, -17.701297494467312, -14.741439391038455, -76.11297734099789]"
XRP,"[-33.87667166987857, 20.598594711245923, -28.709692918759227, 29.113484272760093, 45.675991941839314]","[-18.578050292746827, -129.07399295381316, 0.5517933556241865, 32.38908679249588, 37.036950445581034]","[-56.80729524958312, -51.9026776718526, 7.315462615945307, 28.587646282346718, 7.6048621148075926]","[1.7995720801559238, -320.0726421485067, 11.240876600045405, -24.966943852397065, 42.123210067680056]","[56.55594236108481, -54.85626632783046, 4.996009492157951, 33.854577351017674, -11.109116056582861]","[59.2541031008327, -330.58111963679676, -109.68554808362447, -8.054456003325255, -63.04055180368101]","[-94.50006251780178, -9.728071059003767, -326.28024582950815, -35.49324562682366, -3.5821811120175453]","[18.77259174548768, -61.820018480214856, -126.5545339906393, 34.52220991935068, -8.793908921371333]","[28.447211290867546, -1864.4535317378654, -213.69207784175234, -4.1126935614802695, 29.133748817020283]","[43.338766817135536, -497.09632744012816, -191.8602760000308, 19.938121797655935, -48.59715700451371]","[-60.97012960186666, -248.89679952349408, -37.068764580558394, -1.5454256454592306, 7.80807336785988]","[-5.838309596723938, -191.95207843860234, -6.2934772780589165, 12.001780398088261, 47.89484740310786]"
ADA,"[-46.918199393465585, 4.918752145579059, 9.399560288091266, -38.93075904866355, -10.555932464424389]","[-56.44204944608293, -7.591123953861295, -1.6175784619214497, -5.791182019279444, 6.53068593293807]","[-53.02412039117064, 0.33124244030559735, -1.1425515948821028, -11.674472638753674, 0.8330183875545871]","[38.34429448346659, -414.88697460302217, -44.09284067859456, -150.51827787009137, 54.71404441663458]","[-251.15571331485506, -1814.0896148675774, -1333.9419265249765, -1181.1112187354074, -1200.5804176659594]","[-39.92788435909499, -33.630285882839935, -13.55688029925592, -105.03021987438818, -178.82098852689745]","[12.785912387458126, -0.11849449035477481, -112.42485378419423, -7.266807008324802, 5.449099109764109]","[-55.036900093215856, -43.51763217118964, -104.16172423606993, -167.19423993788004, -65.76497177659138]","[-189.4174566987551, 16.95917119427889, -153.36446377059855, -217.2854842995214, -60.94282662647015]","[-148.44184947137214, -1522.6116350037164, -403.11338368948145, -922.7277842394424, -400.0807289672956]","[33.55475973918804, -3695.88279181789, -2319.6710919129177, -508.4077109393729, -3357.2753047741685]","[8.503553063595866, -68.60372516917494, -0.4954326724046521, -20.89265350072777, 13.617538245368788]"
DOGE,"[-74.0788458460886, -94.37936686330968, -106.47575352805487, -72.48429904086939, 5.582105085612408]","[-59.996227617337496, -17.665137056998912, -19.100551794013448, -48.78535317002628, -1.2392753841087134]","[-40.613432683923705, -7.852360867464661, -6.27511914817563, -27.616072288702618, -5.243136721011405]","[-7.776297792824738, -340.1147175059313, 11.398232626098972, -113.78814250414537, 32.98030342740892]","[42.11783322182524, -8708.70842874792, -175.70589763829133, -486.3476902522047, -61.43480804496999]","[-40.001861727546526, -145.72322666501606, -135.90726089898547, -39.69433508548672, -36.57928149965773]","[-16.168134110905605, -286.70637208438853, -173.84585901328268, -258.75824193566973, 0.7638125327718741]","[-71.80245274256374, -18.22442206369169, -17.064467488132816, -35.54401997826695, -43.4777555924161]","[-273.3129382785541, -229.8228944413541, -84.58320687603363, 1.8104036776999395, -259.47445215164316]","[-67.67643915235072, -172.14749190505532, -1645.383391425124, -19.668826492865172, 40.05694958965576]","[-111.03677511083778, -38.484825732550725, -4834.19002959402, -80.61158852817121, -926.3760451858602]","[-25.353921494134813, -6.64769839802749, -15.810206252383116, -5.985511435727243, 10.698587001840934]"
MATIC,"[-37.33340517886613, 41.25615598958576, 17.605077401149586, -178.86900055259335, -76.32632081256891]","[-32.50290728414861, 10.955036735130994, 3.257691036641766, -177.11086632441427, -45.82637129558862]","[-40.54993416637178, 9.255343717091066, -3.9887638103967435, -123.74679081711948, -48.41992073299957]","[20.05989252539354, 30.17536166663074, -81.48132370553999, -126.38245949873286, -376.86312562962814]","[-97.86436984120438, -340.9944163042089, -182.1724618587292, -472.93732874883636, -2369.2173428136275]","[-26.589116818761322, 20.28325038249071, -12.406830126824287, -117.08340459220395, -74.34123522295685]","[-30.61581006265206, -9.854420668525934, -13.980069142079277, -274.906563514878, -432.23022192903153]","[-103.33912952993363, -23.85445514910537, -173.0188420060915, -149.9713708655834, -144.2540742803243]","[39.32996379727765, -173.48349536580628, 6.6915043178174205, -196.58802514795997, -1247.8976604377997]","[-176.96080455371393, 2.770271002648111, 25.28818051558867, -1014.3584757296802, -952.0917107588521]","[57.32331821900062, 43.18595495457699, -347.7336969610523, -657.3866857360586, -531.0495954793328]","[15.217763866282102, 55.09735214183365, -13.098936339656028, -1.9198542982361808, -87.90822761141436]"
LINK,"[-77.63665846925426, 15.011770210919002, 19.963239322710297, -95.78012501948335, -32.08499669512774]","[-47.443401300298504, 14.210514683297113, 6.000071614821973, -11.229813958951723, -15.329422183781135]","[-60.24171258878535, -3.643733766560121, 9.777906134665178, -14.320975355722682, -27.127773273535954]","[20.596764126558636, -369.24948560498365, -24.846293966287632, -54.81543409151899, -28.181005692929645]","[-824.9333183801809, -4854.308300721958, -9178.581898890494, -2668814350.485388, -2519.6779837959743]","[-27.048047865522918, 12.62305635183261, -6.331092022317534, -44.17846698944391, -41.95445527568118]","[-51.01091482496839, -43.62065371859643, -10.58388271592907, -5.448317868023268, -394.4939217211439]","[-68.16386757933411, -334.42310966000997, 22.512742879736617, -87.0481999366629, -203.2888891739963]","[-106.09823535808636, -476.13381337920544, -24.920337303182762, -12.080661892633847, -205.50222367128495]","[-145.0974947678781, -334.97063789564487, -156.28210385646793, -287.1449137651724, -487.8214289076003]","[-34.2838377029431, -302.7194838267866, -251.90418455089616, -2897.875213820798, -194.0073747132639]","[-0.5852055375100397, -72.87044073254759, 2.919129599766386, -14.478290369828741, -12.481393175576395]"
ETC,"[-15.617578223750906, -33.08086934540979, 8.56359647684038, -25.47573126984355, -112.96135916114444]","[-22.464722120795948, -38.49825479955492, -2.6950096135668216, -32.143693792757176, -76.27495807911608]","[-8.315794610312846, -10.80846381060198, -14.708750026650208, -27.461663935213448, -55.4957751442187]","[39.670342216363, -251.9186830838034, -44.27320690334883, -61.110335313736186, 28.070620414203134]","[-286.75111009714584, -2442.754812387464, -2120.440409645018, -65630064.44208336, -1395.7166557123958]","[-17.479690451673655, -378.9301941854896, -195.59442598475528, -6.185151622224936, -73.9731936586976]","[-34.33050132022172, -53.007224024305785, -3.761367153360609, -43.77310025016939, -24.083317038624173]","[-18.864254064657477, -82.20092868562956, -317.2467833995448, -26.12878433600529, -228.0365802878306]","[19.64369365202831, -151.65281914909588, -49.38102412447628, -63.83492866159992, 13.254567923854655]","[41.78056572573648, -327.49151226316997, -155.70605780339787, -45.16917659230914, -78.02378851863816]","[-33.736508961086095, -299.1396090356756, -242.47375149563547, -150.1365757275489, -164.1776967968218]","[31.183491019658128, -120.4024494503674, -10.329365585348615, -10.90042282213438, -6.9217556609125435]"
XLM,"[-40.766076264054526, -16.711408137439054, -16.138023547949736, 12.24574097362464, -0.351584800508391]","[-46.71564298434365, 11.839506575710296, -5.166428514253321, 7.779116767082717, -1.6033076195523164]","[-48.42844928715199, 13.37286942265859, 3.4430531468008105, 15.908102352418494, 0.27482313125301394]","[25.541860758223866, -322.9638955927133, -5.503809595832246, -102.93362470346163, 50.11705045496131]","[-581.5322200509405, -1659.1734700031452, -102277.26649599783, -192397285.19908318, -130854.8793419342]","[-68.7617337409238, 16.525662426403365, 12.912828882203115, 10.999073137516922, -3.168611822074664]","[-28.892261014178406, -33.83413337956531, -37.11445555762379, -4.242738775097835, 3.69821012293367]","[50.52132233716692, 13.147003096158802, 13.772663278484284, 5.340431940133654, -28.42954713722876]","[-77.34370237230856, -28.416418455068403, -94.24412584511678, -105.54662979641695, -9.118833779950727]","[-48.12738237452637, -896.8069206316363, -68.89501231951452, -178.77166051399652, 42.4071224814804]","[-163.47645049403937, -151.17355123145256, -129.89833073972207, -127.49401809215195, -198.5639483593808]","[2.9410179956594367, -60.942616207022006, -0.348163595524054, -17.280015838199038, 33.29168012218784]"
