date,prediction,test
2021-07-27,2.8623,2.8623
2021-07-28,2.8599516560717944,2.8133
2021-07-29,2.8576547079165557,2.8509
2021-07-30,2.8553260826514513,2.967
2021-07-31,2.852943858011003,3.0355
2021-08-01,2.8504936539093135,2.9505
2021-08-02,2.8481086145365078,3.125
2021-08-03,2.8457278844243716,3.0547
2021-08-04,2.843373336477863,3.1769
2021-08-05,2.84096122217041,3.2196
2021-08-06,2.8385871038192425,3.3575
2021-08-07,2.8361350299134944,3.4222
2021-08-08,2.8337005004017572,3.178
2021-08-09,2.8313952679672436,3.2867
2021-08-10,2.8291498590641386,3.2643
2021-08-11,2.826896361641697,3.4438
2021-08-12,2.8244837220025243,3.3491
2021-08-13,2.822130143597714,3.5928
2021-08-14,2.8197092012811136,3.6952
2021-08-15,2.817283535548196,3.7355
2021-08-16,2.814820671525852,3.632
2021-08-17,2.8125037240535073,3.4024
2021-08-18,2.8103342086163,3.3427
2021-08-19,2.8082254711003634,3.6398
2021-08-20,2.8059463131340254,3.7279
2021-08-21,2.8034965501056406,3.6895
2021-08-22,2.8010606602060086,3.7977
2021-08-23,2.7987231617852566,4.3059
2021-08-24,2.7962354374755534,3.9626
2021-08-25,2.79379801312167,5.092
2021-08-26,2.791158837936374,4.438
2021-08-27,2.7887295615383207,5.24
2021-08-28,2.786129955915918,5.632
2021-08-29,2.783655271177093,5.89
2021-08-30,2.7809624348887354,5.391
2021-08-31,2.778630597241509,5.164
2021-09-01,2.77651886934677,5.424
2021-09-02,2.774391355152221,5.293
2021-09-03,2.772133544921881,5.312
2021-09-04,2.7698438043199456,5.399
2021-09-05,2.767591686817696,5.569
2021-09-06,2.765260001558609,5.599
2021-09-07,2.7629200159336547,4.413
2021-09-08,2.7609283673644867,4.336
2021-09-09,2.7591186749832346,5.581
2021-09-10,2.756898922635904,6.184
2021-09-11,2.7540892838461937,6.119
2021-09-12,2.7513236670863184,7.026
2021-09-13,2.7487750443249936,7.164
2021-09-14,2.7462765592902736,7.108
2021-09-15,2.743821490635534,6.897
2021-09-16,2.7416109032458076,6.936
2021-09-17,2.7394326218340104,6.116
2021-09-18,2.737395354878226,6.399
2021-09-19,2.7353197513888876,6.519
2021-09-20,2.7331585997171928,5.303
2021-09-21,2.7311042326066928,4.685
2021-09-22,2.729378768315108,5.571
2021-09-23,2.727430820272938,6.214
2021-09-24,2.7249287605184422,6.987
2021-09-25,2.722123097449284,6.823
2021-09-26,2.7195774804600243,6.509
2021-09-27,2.717302292950683,6.034
2021-09-28,2.7153007551501704,5.471
2021-09-29,2.7134118987809672,5.641
2021-09-30,2.711435928847444,6.073
2021-10-01,2.709209742343914,6.69
2021-10-02,2.706704031865334,7.343
2021-10-03,2.70410600117759,8.711
2021-10-04,2.7013850921376816,8.36
2021-10-05,2.698809374450767,7.975
2021-10-06,2.69650901561239,7.795
2021-10-07,2.694478282161001,7.634
2021-10-08,2.6924122511243413,7.301
2021-10-09,2.690341880043592,7.622
2021-10-10,2.6881991735237443,6.971
2021-10-11,2.6861075405157484,6.898
2021-10-12,2.6840281286581287,7.118
2021-10-13,2.6819386940546948,7.296
2021-10-14,2.6796799939633216,7.14
2021-10-15,2.677437450841057,6.848
2021-10-16,2.6753120245455815,6.912
2021-10-17,2.673220480238267,6.622
2021-10-18,2.671135863785044,6.549
2021-10-19,2.6690338501322457,6.741
2021-10-20,2.6668977498352904,7.018
2021-10-21,2.664636943980968,6.654
2021-10-22,2.6624237351548046,6.708
2021-10-23,2.660280521569917,6.74
2021-10-24,2.658163000436248,6.472
2021-10-25,2.656028204158239,6.634
2021-10-26,2.6538947764719203,6.817
2021-10-27,2.6517082317691445,5.89
2021-10-28,2.649651447572808,6.135
2021-10-29,2.6476541110043157,6.56
2021-10-30,2.6455358169647805,6.295
2021-10-31,2.6432616041795507,6.352
2021-11-01,2.641076391745946,6.24
2021-11-02,2.638984999412505,6.26
2021-11-03,2.636847749839855,6.321
2021-11-04,2.634703817063577,6.342
2021-11-05,2.6325306514594113,6.457
2021-11-06,2.630343102268757,6.439
2021-11-07,2.6281669428074266,6.368
2021-11-08,2.6260189574813464,6.499
2021-11-09,2.6238749008475715,6.301
2021-11-10,2.6217543916438935,5.792
2021-11-11,2.6197479611691055,5.861
2021-11-12,2.6177811391660977,5.764
2021-11-13,2.615758787206141,5.886
2021-11-14,2.613612561368922,5.827
2021-11-15,2.611480684536628,5.718
2021-11-16,2.6093644797475295,5.209
2021-11-17,2.607398429035181,5.242
2021-11-18,2.6054471124220564,4.795
2021-11-19,2.6035456239789867,5.27
2021-11-20,2.6014474834151584,5.524
2021-11-21,2.5992255021695163,5.217
2021-11-22,2.596974012009662,5.017
2021-11-23,2.594939713004237,5.111
2021-11-24,2.5929415979771946,4.889
2021-11-25,2.5909024377817307,5.07
2021-11-26,2.588795306494692,4.659
2021-11-27,2.586786111827199,4.618
2021-11-28,2.584782270037411,4.653
2021-11-29,2.600822589047245,5.61
2021-11-30,2.6136825952485325,5.479
2021-12-01,2.6252602601669444,5.245
2021-12-02,2.6371697012459596,5.098
2021-12-03,2.653289260134798,4.8
2021-12-04,2.6699234919588055,4.134
2021-12-05,2.6877172666595257,3.871
2021-12-06,2.7069596746456788,4.15
2021-12-07,2.7253923138109855,5.656
2021-12-08,2.7377721289289916,5.683
2021-12-09,2.7463197551396186,4.84
2021-12-10,2.7570064341037313,4.335
2021-12-11,2.7760832738502184,4.523
2021-12-12,2.796232867769329,4.51
2021-12-13,2.813301301052602,4.049
2021-12-14,2.829222114237838,4.515
2021-12-15,2.845897163949621,4.487
2021-12-16,2.8620715544465907,4.309
2021-12-17,2.8763058118213567,4.14
2021-12-18,2.8935875547137897,4.241
2021-12-19,2.91103401645203,4.139
2021-12-20,2.927893831996521,4.106
2021-12-21,2.9442339171122347,4.232
2021-12-22,2.9609950330643855,4.544
2021-12-23,2.9763791136964044,4.769
2021-12-24,2.9904995159775996,4.496
2021-12-25,3.0053477280812078,4.583
2021-12-26,3.0219706368028256,4.864
2021-12-27,3.039102660110774,5.102
2021-12-28,3.0539886583127687,4.491
2021-12-29,3.070139353508355,4.373
2021-12-30,3.0889346047513966,4.344
2021-12-31,3.109543392534001,4.34
2022-01-01,3.127603345004269,4.746
2022-01-02,3.144236364046411,4.654
2022-01-03,3.1602310661206263,4.803
2022-01-04,3.1758679477999947,5.043
2022-01-05,3.192850566029049,4.509
2022-01-06,3.2101821782335964,4.452
2022-01-07,3.229345151257047,4.253
2022-01-08,3.250684207528317,4.005
2022-01-09,3.270696785408055,4.217
2022-01-10,3.290641080566845,4.026
2022-01-11,3.3098550523650823,4.168
2022-01-12,3.3276472848343994,4.383
2022-01-13,3.3459953265487785,4.12
2022-01-14,3.3634734189757127,4.287
2022-01-15,3.381853441576979,4.277
2022-01-16,3.4013814461329352,4.29
2022-01-17,3.419385681457172,4.05
2022-01-18,3.4391115916853283,4.112
2022-01-19,3.459262711288863,3.878
2022-01-20,3.4803313625508205,3.702
2022-01-21,3.501181978431186,3.335
2022-01-22,3.5244278919072753,2.958
2022-01-23,3.548982709328646,3.079
2022-01-24,3.5735718393923848,2.968
2022-01-25,3.5961023674376196,2.92
2022-01-26,3.6161426132741976,2.948
2022-01-27,3.637493456343625,2.904
2022-01-28,3.6581596845075213,3.026
2022-01-29,3.678122903696244,3.094
2022-01-30,3.697786380792566,3.27
2022-01-31,3.7160853452337905,3.488
2022-02-01,3.7340883309042416,3.74
2022-02-02,3.7510104569654588,3.751
2022-02-03,3.768505415128688,3.838
2022-02-04,3.787260979452818,4.011
2022-02-05,3.807167995386418,3.933
2022-02-06,3.8269675177119646,3.922
2022-02-07,3.8475974785983706,4.144
2022-02-08,3.868917487743998,4.394
2022-02-09,3.888439875646325,4.441
2022-02-10,3.907008636597746,4.12
2022-02-11,3.9278972870703965,4.307
2022-02-12,3.9507340306076673,4.108
2022-02-13,3.9744142629553636,3.847
2022-02-14,3.9973792627140843,3.944
2022-02-15,4.022304971107184,4.15
2022-02-16,4.04527503329683,4.042
2022-02-17,4.066176811732556,3.673
2022-02-18,4.089370883096731,3.622
2022-02-19,4.115574349434051,3.6
2022-02-20,4.141767575638418,3.27
2022-02-21,4.166790553219,2.971
2022-02-22,4.194068885243821,3.065
2022-02-23,4.222381132164488,2.935
2022-02-24,4.248609550656193,3.032
2022-02-25,4.272019258567895,3.21
2022-02-26,4.295440539895671,3.427
2022-02-27,4.315874387588999,3.114
2022-02-28,4.337824536580974,3.535
2022-03-01,4.3606825134220255,3.494
2022-03-02,4.384685561616402,3.492
2022-03-03,4.405478482103416,3.393
2022-03-04,4.430849066744701,3.082
2022-03-05,4.4578222786013715,3.146
2022-03-06,4.485945697444347,2.973
2022-03-07,4.514319467620576,2.92
2022-03-08,4.5406931481551025,3.01
2022-03-09,4.567868646222184,3.174
2022-03-10,4.592208525290476,3.053
2022-03-11,4.615893745847012,2.985
2022-03-12,4.641351123188411,3.024
2022-03-13,4.668952092904809,2.905
2022-03-14,4.695989083857793,2.997
2022-03-15,4.7224007515584985,2.969
2022-03-16,4.749303835480822,3.099
2022-03-17,4.774291163038087,3.081
2022-03-18,4.800032817969667,3.151
2022-03-19,4.82511675373727,3.259
2022-03-20,4.850968225475574,3.335
2022-03-21,4.8758133702358215,3.239
2022-03-22,4.901598707823326,3.3
2022-03-23,4.928689670978886,3.456
2022-03-24,4.955825369662157,3.534
2022-03-25,4.980967081756365,3.515
2022-03-26,5.0064774728466475,3.658
2022-03-27,5.033060863757662,3.862
2022-03-28,5.059104599063235,3.714
2022-03-29,5.0848186303961445,3.793
2022-03-30,5.112061245601597,3.832
2022-03-31,5.14112375328802,3.722
2022-04-01,5.169188468716846,3.904
2022-04-02,5.155480527569622,3.914
2022-04-03,5.1373875351348,4.042
2022-04-04,5.106183239997896,3.898
2022-04-05,5.095186082870911,3.674
2022-04-06,5.107245081962716,3.288
2022-04-07,5.166967934169878,3.387
2022-04-08,5.213018965769359,3.169
2022-04-09,5.247291048705701,3.205
2022-04-10,5.251815564678834,3.124
2022-04-11,5.266852859449814,2.961
2022-04-12,5.280077037269024,3.066
2022-04-13,5.29022138042171,3.176
2022-04-14,5.274710042913342,3.099
2022-04-15,5.249678357487467,3.194
2022-04-16,5.231511401727294,3.282
2022-04-17,5.211615281704724,3.084
2022-04-18,5.201283506841109,3.176
2022-04-19,5.199778597729809,3.23
2022-04-20,5.194161078575561,3.147
2022-04-21,5.178023987565872,3.031
2022-04-22,5.184842857481752,3.081
2022-04-23,5.194005376557958,3.0
2022-04-24,5.198122444929321,2.96
2022-04-25,5.198486089318068,2.952
2022-04-26,5.203940608583233,2.747
2022-04-27,5.221170137940444,2.82
2022-04-28,5.2336679273085105,2.804
2022-04-29,5.238628496427165,2.687
2022-04-30,5.236279974962862,2.534
2022-05-01,5.26329500641469,2.571
2022-05-02,5.287061105789212,2.495
2022-05-03,5.299664010478188,2.489
2022-05-04,5.29875102989622,2.703
2022-05-05,5.277234405336614,2.488
2022-05-06,5.261464801891484,2.505
2022-05-07,5.257237797492245,2.516
2022-05-08,5.270497399200986,2.558
2022-05-09,5.253680734894209,2.013
2022-05-10,5.3090891096156545,2.112
2022-05-11,5.3796509555028615,1.79
2022-05-12,5.489009796779666,1.679
2022-05-13,5.554305146164472,1.769
2022-05-14,5.614630014277976,1.825
2022-05-15,5.595727952969096,1.918
2022-05-16,5.545334897233869,1.776
2022-05-17,5.529527365024275,1.86
2022-05-18,5.521568539977551,1.68
2022-05-19,5.549965239294322,1.756
2022-05-20,5.5536430716361815,1.741
2022-05-21,5.56213833137034,1.821
2022-05-22,5.529996126578607,1.975
2022-05-23,5.484061222494662,1.875
2022-05-24,5.445813123742041,2.118
2022-05-25,5.398975976712803,2.131
2022-05-26,5.358407855560501,1.863
2022-05-27,5.348763065809747,1.818
2022-05-28,5.40080872821433,1.971
2022-05-29,5.421515621729784,1.985
2022-05-30,5.387603306788877,2.138
2022-05-31,5.333413524310584,2.091
2022-06-01,5.30131188892439,1.947
2022-06-02,5.2988093118714374,1.984
2022-06-03,5.319864444379728,1.905
2022-06-04,5.338110339218895,1.912
2022-06-05,5.338217962285669,1.955
2022-06-06,5.334251589940884,2.061
2022-06-07,5.301849272161803,2.067
2022-06-08,5.266723000674599,2.093
2022-06-09,5.238352684256816,2.227
2022-06-10,5.2077660280163895,1.97
2022-06-11,5.2064323177973035,1.799
2022-06-12,5.253633723834326,1.637
2022-06-13,5.357241062662602,1.402
2022-06-14,5.473854536577334,1.448
2022-06-15,5.5559579780860995,1.529
2022-06-16,5.5680263715154865,1.359
2022-06-17,5.56198049121052,1.39
2022-06-18,5.576203426698614,1.287
2022-06-19,5.622111045548939,1.39
2022-06-20,5.613676090214438,1.443
2022-06-21,5.587260644336647,1.428
2022-06-22,5.543765077048547,1.341
2022-06-23,5.545679099626796,1.439
2022-06-24,5.544288336111533,1.535
2022-06-25,5.5089380782565405,1.541
2022-06-26,5.454601988131667,1.443
2022-06-27,5.443249045388181,1.601
2022-06-28,5.4288741477218885,1.513
2022-06-29,5.415965847393413,1.478
2022-06-30,5.403640021322674,1.426
2022-07-01,5.433574995643322,1.378
2022-07-02,5.4571119645037625,1.454
2022-07-03,5.457432273339137,1.447
2022-07-04,5.439628922809206,1.536
2022-07-05,5.400214955485723,1.469
2022-07-06,5.382679699474513,1.546
2022-07-07,5.358487567077967,1.569
2022-07-08,5.339634050851031,1.527
2022-07-09,5.317775122987048,1.622
2022-07-10,5.298121895120519,1.626
2022-07-11,5.274333740553531,1.574
2022-07-12,5.25598879021584,1.435
2022-07-13,5.2865773630630075,1.521
2022-07-14,5.307738177429561,1.565
2022-07-15,5.2968236650484934,1.573
2022-07-16,5.259744299001126,1.603
2022-07-17,5.235804603165901,1.574
2022-07-18,5.223754584096121,1.73
2022-07-19,5.191186565798515,1.743
2022-07-20,5.152222380690456,1.621
2022-07-21,5.1335704206234505,1.672
2022-07-22,5.141550792967875,1.633
2022-07-23,5.149851348879149,1.65
2022-07-24,5.1382292586484315,1.682
2022-07-25,5.127732269146294,1.509
2022-07-26,5.139351835749103,1.555
2022-07-27,5.1578745902515575,1.644
2022-07-28,5.155245519945964,1.718
2022-07-29,5.107903393992128,1.708
2022-07-30,5.070369663988219,1.819
2022-07-31,5.035707370083135,1.739
2022-08-01,5.0185815834192775,1.813
2022-08-02,4.997655753209131,1.714
2022-08-03,5.002474874646173,1.718
2022-08-04,5.020303355707979,1.814
2022-08-05,5.042815922582044,1.864
2022-08-06,5.047585644778018,1.878
2022-08-07,5.048445752517151,1.889
2022-08-08,5.058194802498289,1.894
2022-08-09,5.072407573520833,1.802
2022-08-10,5.092165170569049,1.875
2022-08-11,5.113595009908717,1.9
2022-08-12,5.132582839940002,1.924
2022-08-13,5.138377159815907,1.91
2022-08-14,5.151402480187627,1.819
2022-08-15,5.171749692043677,1.82
2022-08-16,5.198833898657399,1.886
2022-08-17,5.222683826757828,1.886
2022-08-18,5.2337914599824975,1.788
2022-08-19,5.248921460300653,1.575
2022-08-20,5.287178932518354,1.559
2022-08-21,5.338505437534112,1.633
2022-08-22,5.379762710752322,1.588
2022-08-23,5.394157855751126,1.593
2022-08-24,5.407223598039317,1.6
2022-08-25,5.430155196153793,1.669
2022-08-26,5.442826148754296,1.483
2022-08-27,5.463624975586573,1.462
2022-08-28,5.495791143426049,1.427
2022-08-29,5.543814285737436,1.53
2022-08-30,5.563140026083589,1.496
2022-08-31,5.57618229108632,1.51
2022-09-01,5.5829815430725915,1.54
2022-09-02,5.6028431508410454,1.491
2022-09-03,5.619020732232168,1.524
2022-09-04,5.637442357121419,1.556
2022-09-05,5.6571746403410605,1.547
2022-09-06,5.667894890666554,1.427
2022-09-07,5.691335707125849,1.489
2022-09-08,5.722694586071823,1.587
2022-09-09,5.745196270431687,1.643
2022-09-10,5.7389396524161,1.663
2022-09-11,5.735867310838902,1.683
2022-09-12,5.7437555162975595,1.655
2022-09-13,5.759639586622817,1.528
