date,prediction,test
2021-07-27,39457.87,39457.87
2021-07-28,39712.5296658754,40019.56
2021-07-29,40477.32447824154,40016.48
2021-07-30,41067.49613616783,42206.37
2021-07-31,40993.083638359654,41461.83
2021-08-01,40638.92077457289,39845.44
2021-08-02,41526.83480782404,39147.82
2021-08-03,41454.40678535295,38207.05
2021-08-04,41318.578124896834,39723.18
2021-08-05,41985.65475889538,40862.46
2021-08-06,41855.27206643034,42836.87
2021-08-07,42134.46039146066,44572.54
2021-08-08,43282.68428314332,43794.37
2021-08-09,44652.033003498036,46253.4
2021-08-10,45680.84034505086,45584.99
2021-08-11,45599.07081358837,45511.0
2021-08-12,46270.08455196975,44399.0
2021-08-13,46535.101570627805,47800.0
2021-08-14,46147.775442808015,47068.51
2021-08-15,46744.47476571915,46973.82
2021-08-16,47149.135020753216,45901.29
2021-08-17,47058.92372518238,44695.95
2021-08-18,47113.977717257425,44705.29
2021-08-19,47407.75332962846,46760.62
2021-08-20,47596.445217388915,49322.47
2021-08-21,47926.580039984445,48821.87
2021-08-22,49023.43983360528,49239.22
2021-08-23,49949.4856719457,49488.85
2021-08-24,50431.78933304511,47674.01
2021-08-25,50114.71646255054,48973.32
2021-08-26,50458.41043980929,46843.87
2021-08-27,50519.88725598571,49069.9
2021-08-28,50535.73778897227,48895.35
2021-08-29,50746.818290206524,48767.83
2021-08-30,51508.60938895272,46982.91
2021-08-31,51326.52339068211,47100.89
2021-09-01,50574.08982431481,48810.52
2021-09-02,50290.69843975435,49246.64
2021-09-03,50488.63171730008,49999.14
2021-09-04,51624.27674107456,49915.64
2021-09-05,52499.49118814867,51756.88
2021-09-06,52513.59463059744,52663.9
2021-09-07,52764.43131605685,46863.73
2021-09-08,53109.48679063415,46048.31
2021-09-09,53895.26130796,46395.14
2021-09-10,53169.64994922714,44850.91
2021-09-11,53652.759241789376,45173.69
2021-09-12,53567.04597267232,46025.24
2021-09-13,53748.48240499066,44940.73
2021-09-14,52705.16912668028,47111.52
2021-09-15,53343.92373179144,48121.41
2021-09-16,53882.57652044159,47737.82
2021-09-17,54328.3791792947,47299.98
2021-09-18,55142.59510316594,48292.74
2021-09-19,54453.67627330158,47241.75
2021-09-20,53316.74256542057,43015.62
2021-09-21,53716.443132742155,40734.38
2021-09-22,53771.5007759736,43543.61
2021-09-23,53880.4078125251,44865.26
2021-09-24,54213.72693292535,42810.57
2021-09-25,54302.03414302406,42670.64
2021-09-26,55208.53916687859,43160.9
2021-09-27,54707.117005109416,42147.35
2021-09-28,54561.13928053803,41026.54
2021-09-29,54306.266769134454,41524.28
2021-09-30,54055.19998115256,43824.1
2021-10-01,53995.22124203637,48141.61
2021-10-02,54625.08850742295,47634.9
2021-10-03,55943.12461374928,48200.01
2021-10-04,56297.69359442513,49224.94
2021-10-05,56232.63513962137,51471.99
2021-10-06,58383.564834395125,55315.0
2021-10-07,58928.39504986073,53785.22
2021-10-08,59619.43798957841,53951.43
2021-10-09,60295.71962244166,54949.72
2021-10-10,60437.141242488404,54659.0
2021-10-11,61102.516944735886,57471.35
2021-10-12,61713.41955790751,55996.93
2021-10-13,61223.63605573687,57367.0
2021-10-14,61511.80118073332,57347.94
2021-10-15,62178.561159930854,61672.42
2021-10-16,62139.88563791295,60875.57
2021-10-17,61577.02297245183,61528.33
2021-10-18,61885.63023276591,62009.84
2021-10-19,61891.34520122122,64280.59
2021-10-20,62221.08505552609,66001.41
2021-10-21,62958.243900507885,62193.15
2021-10-22,63912.23814935502,60688.22
2021-10-23,64982.17036555951,61286.75
2021-10-24,64316.15790068452,60852.22
2021-10-25,65206.68213939687,63078.78
2021-10-26,64709.11682196563,60328.81
2021-10-27,63858.951975303,58413.44
2021-10-28,64935.52368707616,60575.89
2021-10-29,64897.77364456748,62253.71
2021-10-30,65665.03402563477,61859.19
2021-10-31,66378.37732327927,61299.8
2021-11-01,67073.49712820818,60911.11
2021-11-02,66969.58824209534,63219.99
2021-11-03,66890.44695876162,62896.48
2021-11-04,66566.16699210551,61395.01
2021-11-05,67078.76223010223,60937.12
2021-11-06,67945.58330202055,61470.61
