date,prediction,test
2023-04-08 16:00:00,28014.96,28014.96
2023-04-08 16:15:00,28015.172747673627,27999.0
2023-04-08 16:30:00,28016.001743007542,28005.41
2023-04-08 16:45:00,28015.963897698013,28002.53
2023-04-08 17:00:00,28016.04967262187,28000.9
2023-04-08 17:15:00,28016.377359710164,27999.59
2023-04-08 17:30:00,28016.333896818967,27982.14
2023-04-08 17:45:00,28017.215703411795,27935.11
2023-04-08 18:00:00,28018.58723319012,27954.69
2023-04-08 18:15:00,28018.58811342135,27943.46
2023-04-08 18:30:00,28019.19659535041,27932.82
2023-04-08 18:45:00,28019.864420548958,27904.38
2023-04-08 19:00:00,28020.564179970806,27938.46
2023-04-08 19:15:00,28020.004207513935,27925.97
2023-04-08 19:30:00,28020.749172920383,27926.35
2023-04-08 19:45:00,28020.87703305689,27924.13
2023-04-08 20:00:00,28021.21665518455,27937.46
2023-04-08 20:15:00,28021.09578384088,27953.98
2023-04-08 20:30:00,28021.038032664517,27936.35
2023-04-08 20:45:00,28021.832727563058,27911.69
2023-04-08 21:00:00,28023.203625462174,27931.79
2023-04-08 21:15:00,28022.75776549811,27925.21
2023-04-08 21:30:00,28023.365838500744,27919.45
2023-04-08 21:45:00,28023.89831846411,27929.8
2023-04-08 22:00:00,28024.240251785704,27927.78
2023-04-08 22:15:00,28024.245711943324,27888.71
2023-04-08 22:30:00,28025.548182493916,27915.59
2023-04-08 22:45:00,28025.230151696145,27937.77
2023-04-08 23:00:00,28025.00841832685,27969.57
2023-04-08 23:15:00,28024.375123349786,27960.7
2023-04-08 23:30:00,28024.70954765324,27942.29
2023-04-08 23:45:00,28025.574501574127,27938.38
2023-04-09 00:00:00,28026.217909844316,27954.4
2023-04-09 00:15:00,28025.904114710334,28010.06
2023-04-09 00:30:00,28025.012267506492,28033.86
2023-04-09 00:45:00,28024.78250166371,28036.76
2023-04-09 01:00:00,28024.96699827938,28050.14
2023-04-09 01:15:00,28024.986303846817,28061.24
2023-04-09 01:30:00,28025.496613923537,28053.83
2023-04-09 01:45:00,28025.71390757894,28077.78
2023-04-09 02:00:00,28025.19351961073,28060.55
2023-04-09 02:15:00,28025.63472847843,28064.0
2023-04-09 02:30:00,28025.968570013047,28056.16
2023-04-09 02:45:00,28026.753555431278,28036.3
2023-04-09 03:00:00,28027.606607642505,28027.36
2023-04-09 03:15:00,28027.9807988337,28046.64
2023-04-09 03:30:00,28027.26746221091,28047.02
2023-04-09 03:45:00,28027.340979222685,28027.71
2023-04-09 04:00:00,28028.00146923651,28022.72
2023-04-09 04:15:00,28028.288970212056,28033.73
2023-04-09 04:30:00,28028.146719391298,28033.33
2023-04-09 04:45:00,28028.511146884204,28037.39
2023-04-09 05:00:00,28028.42407688605,28054.2
2023-04-09 05:15:00,28028.453884112045,28063.03
2023-04-09 05:30:00,28028.501337531416,28041.68
2023-04-09 05:45:00,28029.351327931407,27999.25
2023-04-09 06:00:00,28030.82382215537,27953.47
2023-04-09 06:15:00,28032.243291844337,27948.71
2023-04-09 06:30:00,28032.430767379683,27918.67
2023-04-09 06:45:00,28033.425365347663,27880.13
2023-04-09 07:00:00,28034.807963002975,27867.23
2023-04-09 07:15:00,28035.434046961032,27908.38
2023-04-09 07:30:00,28034.62978387322,27887.22
2023-04-09 07:45:00,28035.377059949547,27903.02
2023-04-09 08:00:00,28035.135423767653,27908.33
2023-04-09 08:15:00,28035.01043039568,27885.3
2023-04-09 08:30:00,28035.58234161572,27872.54
2023-04-09 08:45:00,28036.311411842078,27881.64
2023-04-09 09:00:00,28036.722517823,27911.14
2023-04-09 09:15:00,28036.783938550867,27897.1
2023-04-09 09:30:00,28037.390008735856,27919.22
2023-04-09 09:45:00,28037.55053044049,27898.58
2023-04-09 10:00:00,28038.71177738437,27902.74
2023-04-09 10:15:00,28039.056814812007,27907.68
2023-04-09 10:30:00,28038.816947521544,27895.75
2023-04-09 10:45:00,28039.552458074606,27893.22
