date,prediction,test
2021-07-27,2299.49,2299.49
2021-07-28,2372.4462285076606,2300.9
2021-07-29,2702.537923492343,2382.92
2021-07-30,2840.514896662419,2461.81
2021-07-31,2918.393461805649,2531.05
2021-08-01,2975.9578692048926,2555.69
2021-08-02,2865.929384378998,2606.93
2021-08-03,2996.8370746256282,2509.04
2021-08-04,3248.6087428327487,2724.78
2021-08-05,2705.038046675475,2826.99
2021-08-06,2636.0463718501983,2891.58
2021-08-07,2688.259532207061,3160.31
2021-08-08,2686.310311992737,3011.85
2021-08-09,2738.054084392056,3160.52
2021-08-10,2894.39673607729,3141.66
2021-08-11,3048.428402865976,3160.5
2021-08-12,2954.45133061804,3045.96
2021-08-13,2874.4798333741596,3322.32
2021-08-14,2844.2400239302265,3263.16
2021-08-15,3084.5785731642663,3307.09
2021-08-16,3118.514262903574,3146.53
2021-08-17,2973.3316789782625,3011.72
2021-08-18,3030.801418454639,3014.55
2021-08-19,2987.5519248998494,3184.12
2021-08-20,3059.6688366441117,3284.82
2021-08-21,2956.940972827318,3223.43
2021-08-22,3016.774508654268,3238.0
2021-08-23,3074.9652551843556,3321.28
2021-08-24,3138.661752439087,3170.62
2021-08-25,3056.878961279455,3226.87
2021-08-26,2870.2886486805005,3093.2
2021-08-27,2802.6708587379935,3273.45
2021-08-28,2689.733781770886,3244.48
2021-08-29,2619.3477171411446,3223.47
2021-08-30,2715.640064663716,3229.64
2021-08-31,2798.394496470977,3429.2
2021-09-01,2949.541647978179,3826.82
2021-09-02,3006.56844130643,3785.82
2021-09-03,3106.3250200171187,3938.11
2021-09-04,2849.547841218901,3885.52
2021-09-05,2759.0654941822663,3950.29
2021-09-06,2612.896088979753,3926.77
2021-09-07,2229.401316389256,3434.57
2021-09-08,2177.398729536706,3499.0
2021-09-09,2365.9359311686094,3424.93
2021-09-10,2225.3728583543416,3208.86
2021-09-11,2156.773965814686,3267.21
2021-09-12,2263.1608726539066,3404.21
2021-09-13,2256.247804613315,3285.35
2021-09-14,2258.10741914968,3434.37
2021-09-15,2301.4830103172685,3613.55
2021-09-16,2113.7953078717264,3567.98
2021-09-17,2057.419977107242,3399.81
2021-09-18,1811.8102565510692,3435.64
2021-09-19,2066.8372551876146,3328.62
2021-09-20,2186.123140675645,2977.28
2021-09-21,2171.675464354404,2765.9
2021-09-22,2090.399176251645,3076.92
2021-09-23,2021.1997336479037,3152.5
2021-09-24,1999.9533382805369,2928.53
2021-09-25,2096.043075895222,2921.73
2021-09-26,2214.919663393226,3059.37
2021-09-27,2143.23318451172,2925.59
2021-09-28,2190.3796887078706,2804.91
2021-09-29,2106.8334696236475,2850.45
2021-09-30,1982.54193376679,3000.61
2021-10-01,2080.514029770218,3309.91
2021-10-02,2188.16827029048,3387.76
2021-10-03,2230.9145864122975,3417.73
2021-10-04,2234.576405199171,3386.31
2021-10-05,2285.720773896893,3515.27
2021-10-06,2224.2147192610805,3574.89
2021-10-07,2341.8715961674643,3587.47
2021-10-08,2257.846167392808,3563.13
2021-10-09,2386.324899667999,3574.82
2021-10-10,2626.4190516674535,3414.22
2021-10-11,2530.692900357213,3542.12
2021-10-12,2754.991893723263,3491.46
2021-10-13,2793.4974911433533,3607.42
2021-10-14,2991.4346016726604,3790.82
2021-10-15,2937.7443868150012,3868.99
2021-10-16,2661.704925959002,3829.96
2021-10-17,2715.332778382792,3846.85
2021-10-18,2767.404040406592,3744.96
2021-10-19,2983.0628896107605,3877.03
2021-10-20,2876.317693929981,4161.15
2021-10-21,2815.190033671779,4052.99
2021-10-22,2472.5419670608053,3972.2
2021-10-23,2487.0034412585883,4167.12
2021-10-24,2061.904278327642,4082.33
2021-10-25,1980.5468808913952,4220.37
2021-10-26,2126.4623670216724,4131.52
2021-10-27,2167.5989773725796,3922.0
2021-10-28,2114.072853726141,4286.02
2021-10-29,2171.634020254449,4418.89
2021-10-30,2287.881633468833,4322.68
2021-10-31,2201.776748389021,4287.21
2021-11-01,2136.8983785188084,4319.43
2021-11-02,2235.1870588690213,4589.89
2021-11-03,2134.655814085147,4603.35
2021-11-04,2077.1048487165854,4532.32
2021-11-05,2084.904220950677,4474.24
2021-11-06,2182.4816032230938,4518.0
2021-11-07,2205.037627448941,4612.59
2021-11-08,2122.94298785141,4807.98
2021-11-09,2163.891991083867,4732.33
2021-11-10,2209.132235044334,4628.78
2021-11-11,2252.681968360213,4719.0
2021-11-12,2298.151109269346,4665.46
2021-11-13,2400.271499713957,4644.28
2021-11-14,2447.5490829207274,4626.5
2021-11-15,2547.9146410576877,4563.78
2021-11-16,2599.5561569773636,4209.76
2021-11-17,2453.509040111281,4287.8
2021-11-18,2300.701965551056,3996.9
2021-11-19,2372.2253258326723,4294.76
2021-11-20,2326.2280148094173,4412.17
2021-11-21,2434.980879745045,4258.31
2021-11-22,2484.802116340977,4085.97
2021-11-23,2539.6472957342444,4339.44
2021-11-24,2590.117499737082,4269.36
2021-11-25,2860.717409697879,4524.85
2021-11-26,2950.756231225537,4041.2
2021-11-27,3071.456216849988,4095.29
2021-11-28,3088.810593569503,4294.78
2021-11-29,2991.9242944011853,4444.53
2021-11-30,3226.4629098625014,4630.26
2021-12-01,3221.204822715331,4582.95
2021-12-02,3138.308021615277,4511.21
2021-12-03,3305.8659708636796,4215.73
2021-12-04,3394.3253907444823,4117.25
2021-12-05,3241.691888273951,4196.44
2021-12-06,3413.817921607138,4347.59
2021-12-07,3312.2059774563436,4306.4
2021-12-08,3199.3068678364857,4436.91
2021-12-09,3236.880015748326,4105.64
2021-12-10,3403.8307825070287,3897.94
2021-12-11,3299.9091794201177,4089.37
2021-12-12,3192.2515274549796,4130.0
2021-12-13,3424.7615930730203,3781.93
2021-12-14,3616.2918238557204,3858.99
2021-12-15,3703.7152472487223,4019.08
2021-12-16,3489.605363593892,3958.11
2021-12-17,3554.2352769133786,3875.42
2021-12-18,3442.104271690002,3959.93
2021-12-19,3717.0358394073082,3924.14
2021-12-20,4006.418633260719,3944.73
2021-12-21,3790.8020146823633,4014.15
2021-12-22,3350.106814713261,3979.51
2021-12-23,3350.6532708339855,4111.41
2021-12-24,3387.767629371163,4046.36
2021-12-25,3569.2337254387294,4094.83
2021-12-26,3458.632007236878,4063.56
2021-12-27,3611.841083183303,4037.23
2021-12-28,3479.1809633700827,3792.75
2021-12-29,3588.9141801351716,3630.19
2021-12-30,3856.5221928837627,3709.27
2021-12-31,3732.640131146192,3676.23
