date,prediction,test
2021-07-27,225.59,225.59
2021-07-28,245.6453145912548,235.44
2021-07-29,250.71281532829835,241.67
2021-07-30,247.79086654833944,242.01
2021-07-31,240.8301799648374,239.86
2021-08-01,246.75779238843512,235.45
2021-08-02,249.99981439359834,232.58
2021-08-03,286.00313085483697,226.02
2021-08-04,298.60154797192433,244.38
2021-08-05,283.06122522999345,252.84
2021-08-06,261.81882931112006,263.09
2021-08-07,287.3231698711152,271.83
2021-08-08,306.65704106362136,257.12
2021-08-09,324.95290578633677,269.31
2021-08-10,328.67673147597094,266.34
2021-08-11,355.7835888394922,268.03
2021-08-12,313.63337835115976,257.42
2021-08-13,329.9962228685829,272.89
2021-08-14,303.19490659931057,271.6
2021-08-15,300.8480255726234,271.86
2021-08-16,277.91287905468533,266.5
2021-08-17,279.31377204376633,256.23
2021-08-18,302.1102712803731,252.51
2021-08-19,292.9294394442104,264.19
2021-08-20,311.50485326250816,282.06
2021-08-21,314.55702523182816,287.98
2021-08-22,308.34341098400637,306.38
2021-08-23,292.0902585401531,318.17
2021-08-24,270.1758736340819,307.33
2021-08-25,270.1376659154735,314.29
2021-08-26,273.55338262664907,291.4
2021-08-27,265.44890450408724,315.0
2021-08-28,286.81779157782796,300.5
2021-08-29,292.8466491160317,291.4
2021-08-30,276.58654276901177,281.8
2021-08-31,267.9772027216147,285.8
2021-09-01,266.36182734817714,302.9
2021-09-02,273.83358916619693,302.5
2021-09-03,272.6194909052052,304.1
2021-09-04,250.84404220543803,305.1
2021-09-05,260.7941203774743,315.4
2021-09-06,261.378980253305,314.8
2021-09-07,254.8053978571273,263.2
2021-09-08,271.51659388232,257.1
2021-09-09,282.27013228597883,261.8
2021-09-10,285.07283956413795,249.2
2021-09-11,250.88758689474113,249.8
2021-09-12,251.91190152117207,256.2
2021-09-13,259.91972496912814,263.3
2021-09-14,263.26121493111214,269.1
2021-09-15,263.24597613459326,269.3
2021-09-16,263.28936247493806,264.0
2021-09-17,256.7808251456524,262.7
2021-09-18,271.56996514140786,271.7
2021-09-19,263.751012366682,259.8
2021-09-20,272.9207376588555,232.7
2021-09-21,269.34311764430225,218.0
2021-09-22,277.35596181349746,245.1
2021-09-23,281.63607853402607,249.1
2021-09-24,290.52203842410034,233.6
2021-09-25,294.2667579340716,235.8
2021-09-26,291.539247448183,234.2
2021-09-27,262.3005496928059,234.3
2021-09-28,259.0279531303299,229.6
2021-09-29,275.1056803040891,233.6
2021-09-30,292.4410776667844,251.1
2021-10-01,254.84783557231933,257.5
2021-10-02,249.21601213267854,252.8
2021-10-03,265.4707285706763,259.3
2021-10-04,294.671120634116,264.8
2021-10-05,308.23598979657226,270.8
2021-10-06,318.17051613063467,286.5
2021-10-07,333.3475657560108,277.8
2021-10-08,324.359557204881,277.9
2021-10-09,325.29405576766754,278.4
2021-10-10,320.23741365885587,270.0
2021-10-11,336.5119803022018,276.7
2021-10-12,315.9842456585901,277.2
2021-10-13,320.1361955193541,274.3
2021-10-14,332.81857082665664,266.8
2021-10-15,351.99880769273017,274.1
2021-10-16,359.8879211661755,268.0
2021-10-17,384.07284395406595,261.1
2021-10-18,380.91583431180317,256.5
2021-10-19,403.1149505567492,255.0
2021-10-20,394.3078950639217,260.0
2021-10-21,372.6927458209014,271.0
2021-10-22,383.8926496598539,266.3
2021-10-23,377.7563775303535,267.3
2021-10-24,402.2011271274879,289.3
2021-10-25,412.1784128665886,286.6
2021-10-26,418.13860412792985,279.9
2021-10-27,399.6927041857063,255.6
2021-10-28,395.384474343092,267.2
2021-10-29,355.81898310886527,269.0
2021-10-30,380.0674839231274,263.3
2021-10-31,370.04884716628055,274.9
2021-11-01,346.76335186830556,271.1
2021-11-02,357.11054842262337,275.0
2021-11-03,351.04181785100405,266.1
2021-11-04,352.95331292038975,260.7
2021-11-05,300.26280166583916,255.0
