,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[0.027426264470918754, 0.029353365145548767, 0.04388972512935599, 0.0298535344296958, 0.037794639367609566]","[0.026205546444615084, 0.02614166594056599, 0.026877641891052937, 0.02632269532693772, 0.027431928587720596]","[0.026019686519527227, 0.02604848795629789, 0.026987556255008406, 0.026051187914318503, 0.02780607726660607]","[0.026136900811306766, 0.026212410647147702, 0.02699908918126841, 0.026285253518595002, 0.027071334705159173]","[0.026782357835367445, 0.02640369861683978, 0.026759738689507973, 0.026668468367828775, 0.026725464456993846]","[0.04233842437440016, 0.04505123021084641, 0.04571189555748051, 0.04179942526268623, 0.04454667988758196]","[0.03389956623008715, 0.044040106544266336, 0.05740193779770895, 0.05216848026189119, 0.04824816449041124]"
ETH,"[0.05558320764725285, 0.036546211370598734, 0.031997321962607524, 0.09220169122124257, 0.046409656668372275]","[0.027812065061405013, 0.027555019840138698, 0.027582489113977877, 0.0279569179019638, 0.028271372301686696]","[0.027655564356447643, 0.02768849359320983, 0.027845954656294643, 0.027944731875085328, 0.028454765514312863]","[0.027582843210606965, 0.02817739137262346, 0.027810833055773827, 0.027708978422309516, 0.028178778051565472]","[0.02791940764652985, 0.031139124705742382, 0.027333798124453988, 0.028013176436456424, 0.02901163949588957]","[0.06641553417691078, 0.06466813855596615, 0.05795285979496391, 0.05780740719801412, 0.05936348949057037]","[0.029632326959810985, 0.030026590845238236, 0.0314050367679863, 0.030445020499666443, 0.028778682056576407]"
BNB,"[0.028335122095825702, 0.030208372632275295, 0.026963162459354078, 0.02639569962239121, 0.0311218823166176]","[0.03241944857216262, 0.026174625850008123, 0.026041560311279126, 0.027186711687403567, 0.026194860619731992]","[0.02654048741254106, 0.02619725188000928, 0.02618912610687032, 0.026167718346388237, 0.026243590072809384]","[0.026943015529563137, 0.025915682033123173, 0.02616079711097471, 0.02620664112133482, 0.026416589741032136]","[0.026701957465096737, 0.02622919225315226, 0.0263884449325531, 0.02645822724248544, 0.02602582249609028]","[0.046381732485711556, 0.0579408081526681, 0.05075302425867358, 0.04447789094365359, 0.0545769931646828]","[0.027616708693196726, 0.03374202494964815, 0.03637636708896238, 0.0275428224125285, 0.02764640486324354]"
XRP,"[0.03840582306968799, 0.037167190326594456, 0.04089616551125474, 0.041639953223244035, 0.04642930977116538]","[0.03542673154264575, 0.03561681943777693, 0.03490809365393292, 0.03544087501448652, 0.035779079689706644]","[0.03534197531147039, 0.03528072298185893, 0.035545668931235806, 0.036711081082805325, 0.03669853270374898]","[0.0404056314166139, 0.03767491658625179, 0.03455907142601167, 0.0350052342049056, 0.03471757151884944]","[0.035152563098975194, 0.03576383448290207, 0.0359542009500738, 0.03497774544229203, 0.03473870210220177]","[0.05563260229554125, 0.06483846882345559, 0.0514630391699409, 0.1314903076269776, 0.1629376942792483]","[0.038472084436830055, 0.045862288452304764, 0.0393453948701641, 0.04380083476345622, 0.04337310093051454]"
ADA,"[0.041160908862317006, 0.04154300100778104, 0.03636650486417903, 0.04083803477516876, 0.0374853464854026]","[0.03559844092008569, 0.03558382016843344, 0.03614599567986312, 0.035899775507279186, 0.03618926754597972]","[0.035976548488605306, 0.03572075596367146, 0.036203115535862675, 0.03586033230054649, 0.03620532653577628]","[0.036341993447191336, 0.03635958225003564, 0.03572010320751674, 0.03571014492349844, 0.03571906516729495]","[0.03556165036958577, 0.03556787600385364, 0.03610596436837921, 0.036195527321541104, 0.03713631068738765]","[0.06746243925488665, 0.07400710543713099, 0.06814362359916615, 0.06311883647144512, 0.0616055546900736]","[0.03669203451319559, 0.03612388945763944, 0.03740584792162169, 0.03571702724002218, 0.038862421309657155]"
DOGE,"[0.046864151777940864, 0.04013312697988629, 0.04506088613526574, 0.04320471073491651, 0.042920683771535274]","[0.040466020500149816, 0.04023702389322512, 0.039410072913688, 0.03939402035314002, 0.039378404542703034]","[0.040402812901451195, 0.039693540464547164, 0.039522172953767566, 0.03975642641259625, 0.03987175836882806]","[0.039561332728677595, 0.03987341579520904, 0.039564241941428914, 0.03978898670970832, 0.03941978537788599]","[0.04106168201662318, 0.039465415526201995, 0.0402156066992454, 0.03945657877291956, 0.039998131529644806]","[0.08103170309180041, 0.08133347369790453, 0.0822435560942272, 0.07289160563019446, 0.07215533182436995]","[0.06018626340406569, 0.04339875315761244, 0.041064421217417324, 0.04233224164940363, 0.058430061894967175]"
MATIC,"[0.06087569255917842, 0.03946687644296553, 0.06406251696625279, 0.03901615730635453, 0.04779677965644394]","[0.03839902469267326, 0.03843017916498916, 0.038388874053878426, 0.04354478170772929, 0.0581942346240055]","[0.03949034962547043, 0.03847960331055102, 0.039045755226246114, 0.03833394959114871, 0.038877202860140764]","[0.07188551422787032, 0.04013699928186652, 0.04013883187508236, 0.06376105046747382, 0.1335989570625269]","[0.03826022555150034, 0.038768367749508245, 0.03814747621239235, 0.03818639290396308, 0.03825015937607024]","[0.08287641330946657, 0.0901228807858169, 0.0830652081888101, 0.0702525284186635, 0.07559125958862802]","[0.08093552807028681, 0.045399458411052654, 0.06266216500509157, 0.08980093292211823, 0.045118325607787835]"
LINK,"[0.04117017414367159, 0.03784547870643926, 0.034334347492600746, 0.05282769446508615, 0.06141380791363498]","[0.032976703553101484, 0.03331635594455694, 0.03336235357233503, 0.03342228043021752, 0.033331927240449456]","[0.033365218514539524, 0.033333452633086444, 0.0334133233497167, 0.03342527504019102, 0.03350409110209206]","[0.033348051771785694, 0.03332597009405341, 0.03350461609561227, 0.033425362340704305, 0.03469259491440385]","[0.033649711983545286, 0.03304201133261716, 0.03397862664110654, 0.0339989058335214, 0.034480895931814894]","[0.07559086817629151, 0.06699102345954154, 0.07304110244247007, 0.0626492945814403, 0.07032764480651467]","[0.03457697182033636, 0.04030445098965695, 0.06500172165236782, 0.0329494075593567, 0.04146349578793574]"
ETC,"[0.04227822247567981, 0.05251491667181033, 0.043874503349786965, 0.04086532169412596, 0.04182583932654021]","[0.04145090436076746, 0.04188742337471818, 0.046452374361677026, 0.04262255168080119, 0.04198466661590496]","[0.040939692361773396, 0.04114312469761087, 0.043641539391230603, 0.047501363381805425, 0.041100286221233406]","[0.041347407975213864, 0.04110076903451149, 0.041197378873604, 0.04101136605002452, 0.040997982120324586]","[0.045904184882680756, 0.04511186131116553, 0.047329731297053076, 0.043787050905410706, 0.04474951144004355]","[0.07343877244674947, 0.074143745969887, 0.07756388054261441, 0.0687981447585715, 0.07429195556949009]","[0.04246768137465857, 0.041949953858849136, 0.04162460469423643, 0.04078251006265433, 0.04108419523408524]"
XLM,"[0.029405812236252667, 0.030644280903128648, 0.03416285075230077, 0.030715227029684204, 0.037581008076428536]","[0.028210774114710593, 0.028180215971134896, 0.02861273459283728, 0.0282497354832323, 0.029106044197912476]","[0.028571146511044882, 0.028506475161798935, 0.02916408177453407, 0.028421876541605235, 0.02838715475018301]","[0.028612785872568474, 0.0284318103207079, 0.028304237815501076, 0.02831200051031887, 0.02831671485114456]","[0.02828944046835313, 0.028188492189309872, 0.029050338321248346, 0.02855946120092464, 0.030407280599922135]","[0.053587534144383615, 0.05527173423014465, 0.04996115123821113, 0.058717945065370446, 0.054952159072277226]","[0.028639807660170626, 0.035993863120221015, 0.030107694830554952, 0.040783473358704414, 0.029042968927391753]"
