,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS
BTC,"[0.027208949821202023, 0.00036287283743248754, 0.0033935265359476227, 0.011262079176329263, 0.0019931962519894523]","[0.00024831306584675985, 0.0003160611751854077, 0.0002562551804281589, 0.00025403261621810027, 0.00024964488650092614]","[0.0002444569832231915, 0.0002734524742384856, 0.00026732181072737103, 0.0002644366662566226, 0.00025174801502360014]","[0.0004867147876280526, 0.00047445075008168834, 0.0003042297371973076, 0.0002582228774543736, 0.00036896590866997316]","[0.0008635174627983016, 0.0018737437491451313, 0.00026707996143996327, 0.0007575173277134225, 0.000671305518441319]","[0.0009791024894752246, 0.0006205100848221985, 0.006774343487030332, 0.019964497527336738, 0.0006490695315782249]","[0.008473855589592091, 0.012625773589925008, 0.009734645941735976, 0.05494107508832384, 0.04902614995709701]"
ETH,"[0.013079512348155003, 0.002498695643111918, 0.016338192989974423, 0.011183474660785562, 0.004841181544499291]","[0.0005401699327067986, 0.0003810364552238489, 0.0004124208490057677, 0.000362685631071324, 0.00044534611603728184]","[0.000556231071042482, 0.0003963594772015941, 0.00036599959837298624, 0.0009677562597127525, 0.0005912363497014476]","[0.0005581248420218569, 0.0003748572907770773, 0.0003549865730408132, 0.00035514588650764725, 0.00040383851052503306]","[0.0003694287875185645, 0.0003982498370018654, 0.0003999060339208784, 0.00037886949238167286, 0.0003791319520089406]","[0.0008830131233513849, 0.0011246892184473803, 0.0011869359559567184, 0.0010088499949377867, 0.0027835557950523036]","[0.05054780885246455, 0.031225736192018384, 0.020640928317735778, 0.01772861572759321, 0.048953860914711614]"
BNB,"[0.10865000947048592, 0.06323045249030913, 0.4654582876419712, 0.25976366488880637, 0.43678215031340883]","[0.0028706967447742846, 0.004428366194588348, 0.003235958207215212, 0.0013391263237119892, 0.004616595957294347]","[0.0003168886634154406, 0.00031371990575305514, 0.0003206087837845473, 0.00032005336447188165, 0.0003330241608479459]","[0.00031370251091390495, 0.0003900941904644847, 0.0003246989895636649, 0.00031403820250655763, 0.0003224126028565849]","[0.0004102803841890305, 0.00031710184024695407, 0.00036289577072459847, 0.0004452001046567676, 0.0006617918715131691]","[0.0025084116984063535, 0.005214175585489315, 0.002236215889564585, 0.004287468039908, 0.0036593756651222826]","[0.006215199088219371, 0.014313460268584759, 0.009608759240807518, 0.0019128002097757596, 0.0007339409248771727]"
XRP,"[0.20450439436685527, 0.10932453691744298, 0.2203870479466073, 0.07872965593800006, 0.33425831040671083]","[0.0004189465810375286, 0.00042076783618890296, 0.0004311247033541167, 0.00043678650577163404, 0.00041964656307323867]","[0.00042223863193372087, 0.00042626211674168246, 0.00042695041711455443, 0.0004195424468793376, 0.00042052241401028254]","[0.0004205781243700518, 0.0004502046212400684, 0.0004398769586373039, 0.0004516456464290043, 0.0004699441834626917]","[0.0004464267262236012, 0.00042127878519482184, 0.0004356668924526879, 0.0014603158629317005, 0.0058159076553305385]","[0.005808606617419844, 0.004793155852615628, 0.0059657254462793345, 0.004294875211975251, 0.01706360820244043]","[0.0004780855352779641, 0.00045811556161483487, 0.0008109278661155058, 0.00044201704936837035, 0.0004659415353848968]"
ADA,"[0.0007368618823029124, 0.01130663419302385, 0.0010141261670187907, 0.07895365388814148, 0.02279670092618646]","[0.0006129364350188785, 0.0006105137519257291, 0.0005962467816506002, 0.0006114902320379378, 0.0005939353847288952]","[0.0006145784432512392, 0.0005936036295326287, 0.0005932687071193085, 0.00060058369053848, 0.0006008630405229385]","[0.0006100212128630942, 0.000593904136261885, 0.0006128764103983352, 0.0006079816473407396, 0.0007762932904084775]","[0.0006082770543504486, 0.0007804030861985997, 0.0009942637615948614, 0.0021498496788791717, 0.0006463821407672754]","[0.0030071530760473228, 0.0013755404867210595, 0.0015118881288035374, 0.00375137108399441, 0.005651877055140929]","[0.00582469660174342, 0.0007289733626704654, 0.03488246871317647, 0.0066646089536199285, 0.010104352599051418]"
DOGE,"[0.0005774710689032169, 0.0007234169786467943, 0.005853834530659465, 0.0005620917331114652, 0.004818846797141891]","[0.0005432289512542725, 0.0009597529108986234, 0.000833614095082168, 0.0007227269088943758, 0.000598377758682262]","[0.0005321314233722935, 0.0014059029029544576, 0.0005258379835781429, 0.000525653054892287, 0.0006927462343534432]","[0.0007237177663867552, 0.0006695247738887614, 0.0005393317926471604, 0.0005373887491220419, 0.0005522957365899648]","[0.006178138942514862, 0.0006268252151017732, 0.0007763864026234588, 0.0005224166981996536, 0.0020850964898575497]","[0.013222056140066801, 0.008384172735271742, 0.013043496456306636, 0.008593934729598513, 0.01004364292282718]","[0.003081910186947059, 0.005730075495863765, 0.004543279879606532, 0.003938609791314277, 0.003137090690708829]"
MATIC,"[0.03283711860419609, 0.09516574855241827, 0.29186599230306637, 0.002977072535420652, 0.060677385420108]","[0.0004700258028475283, 0.0004487409656813346, 0.0075077692501248645, 0.0007698336063213812, 0.0016921152491860612]","[0.0004654539646566185, 0.0005182646853016169, 0.00046633507025595607, 0.00043543402909729245, 0.00043480748446409053]","[0.0004409895338534045, 0.0004722442523179467, 0.00045404092589061115, 0.00043404876013997183, 0.00046417849169669273]","[0.0005294056777491077, 0.00043526892690180205, 0.0005414559963977929, 0.00043993448471481983, 0.0004500964208760682]","[0.0020647471851658853, 0.004209587427542686, 0.0035471843637758117, 0.0014698536554585786, 0.005731489465230875]","[0.07273572160689068, 0.03142815239208266, 0.013216156856026135, 0.10164042812719405, 0.04243848263377542]"
LINK,"[0.012661604409034926, 0.0197319952588221, 0.02308604585412493, 0.000771667549043713, 0.018984694911346918]","[0.0005365138599924711, 0.0005071405155455454, 0.0005557480434207644, 0.0005195307001496106, 0.0006381776098912576]","[0.0005088977661311209, 0.000507000977182068, 0.000550397223632991, 0.0005060187880222073, 0.0005189456703324672]","[0.0006124233955598267, 0.000518245915255154, 0.0005131526943800793, 0.0008369769523774488, 0.0007034871262587115]","[0.0005052605399108435, 0.0005072946374467146, 0.0005111906765295166, 0.0005160786295645497, 0.000520324868167292]","[0.0017584337416199722, 0.001388851705804231, 0.0013911526127512281, 0.0011429113655843073, 0.001461264117046586]","[0.004352939519125714, 0.0026679940780958387, 0.00769254686949217, 0.004204011290190414, 0.0028558151218033086]"
ETC,"[0.002835589683157222, 0.005054962598282868, 0.001931645280063052, 0.0006347853926897918, 0.001689505371896947]","[0.0005314404058034508, 0.0005310282930575509, 0.0005329932003166737, 0.0005343691780876001, 0.000721560290660583]","[0.0005346110245066358, 0.000535850599980171, 0.0005471040099065504, 0.0007464225694056719, 0.0011047358691131785]","[0.0005434465145205054, 0.0008266430974119806, 0.0005586466072400772, 0.0012640556536413152, 0.0005343579859083358]","[0.000548281146769526, 0.0005367814042015912, 0.0005351807446134313, 0.0007749798050737005, 0.0005929640810088084]","[0.0015202427234045429, 0.003861245263101983, 0.0022311609239580926, 0.0018121747780155567, 0.0018272587721152424]","[0.00290739055564892, 0.0015300310004372965, 0.0005615781443243109, 0.0007630595510420136, 0.0006154073246340105]"
XLM,"[0.022965857359091797, 0.007536560276749126, 0.008244458424594286, 0.013955576432415791, 0.055203085478741996]","[0.0009509235466603094, 0.0006917764694965085, 0.001649825710495156, 0.001955223031092212, 0.0028304114723088393]","[0.0006936119630133936, 0.0007297855518268024, 0.000695844279640673, 0.0006912674597915571, 0.000692036241296999]","[0.0007006850946184222, 0.0008835339370922594, 0.0007393284238625433, 0.00114315450773994, 0.0009187784836629067]","[0.0006955261199216922, 0.0006899140312438828, 0.0008404607470776583, 0.0007019293582352878, 0.0007390975573300313]","[0.005402735708587194, 0.002124751844498694, 0.0055332655027094165, 0.0029484783257406897, 0.0018517498199483162]","[0.0011253381610149492, 0.0015630340344979417, 0.0009197008078893221, 0.000690996830352857, 0.000739251943665418]"
