,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.0020475995387074933, 0.0027002388490769405, 0.005654876068070335, 0.0018629412541666238, 0.0021552572042276936]","[0.001588717464959437, 0.0027142463742804096, 0.0060147940215786524, 0.0021139951068381937, 0.0022637708698805795]","[0.0015105418649853579, 0.0029066952738357257, 0.00568927677772696, 0.0023501648534042813, 0.002044601211450958]","[0.0011493261555516909, 0.0026283257237659317, 0.0020875023591896795, 0.0016777069308386721, 0.0019716192945678696]","[0.0014923702818369407, 0.00379043184784401, 0.003338862335191676, 0.0029127951772541134, 0.0027086600971686667]","[0.0011313948707205063, 0.00836634434638477, 0.007018200461928673, 0.00589390243683127, 0.005487581565206121]","[0.0011313948707205063, 0.002661422951642394, 0.0024130986110524216, 0.0018230166362653028, 0.002210215464032425]","[0.0011313948707205063, 0.002696637365018549, 0.0019891328670466977, 0.001913904901979551, 0.0022001475838161954]","[0.0015457760677735366, 0.0033478569178897826, 0.0029707800649906987, 0.002379262029257888, 0.002424036658409663]","[0.23880454466755308, 0.18540563316619646, 0.17800499834158734, 0.18503727187675117, 0.2042951977097247]","[0.0012121078206478579, 0.0028528184580620085, 0.002192388316671297, 0.0016777005436188958, 0.0025094203318605057]","[0.001553595283809809, 0.0036523643238085073, 0.0031894149322523714, 0.002305909064807704, 0.002613208746057774]","[0.0015100453066010317, 0.003532418031296369, 0.003211797079205275, 0.0023516061959499486, 0.0026191258664836053]"
ETH,"[0.002353308305599169, 0.0021425721446711936, 0.003434321636352223, 0.0029401738077963423, 0.006202895461851172]","[0.0018560970687324359, 0.0021469087661448666, 0.003972894087948446, 0.0030194204016504352, 0.006074102422336717]","[0.0018644878769099329, 0.001995675700652993, 0.003760439370071075, 0.0029497258512362033, 0.006031278472472133]","[0.0016245943811843823, 0.002081477578751594, 0.002357303268521617, 0.002751813691319785, 0.00477023997137846]","[0.001643843168402267, 0.0023100735904916367, 0.0024861417361828502, 0.002941237808445155, 0.005011744494785015]","[0.001520728644994898, 0.004739256779078065, 0.006096952759857968, 0.00593965271476949, 0.0060627500665679035]","[0.0015207286442341366, 0.00584768508544385, 0.01657535114763526, 0.04904568171856885, 0.009097498894993446]","[0.0015207286449949156, 0.002079313176726642, 0.0027854929557529135, 0.002542669161186225, 0.004614277531472436]","[0.002082233904368908, 0.003741443884067142, 0.0033816791137531318, 0.0037154026705704052, 0.007197551328564277]","[0.10921102903512364, 0.14506601735217223, 0.14630007008262452, 0.13099988028909842, 0.13673747167319739]","[0.0015837689263987643, 0.0022534217032226574, 0.0024860512408536382, 0.0029354536215795233, 0.004862802419981232]","[0.002059394347375883, 0.0025266712026373065, 0.0032476240338415747, 0.0035103076588348806, 0.00718832205707059]","[0.002027991925681304, 0.002520347821627163, 0.0032892350971208133, 0.0035165345753197775, 0.007179967594921846]"
BNB,"[0.0010382335952312078, 0.002248635915475411, 0.005008001705900244, 0.0042656787409887644, 0.003517296857105427]","[0.0010972322066093861, 0.0022434829541498227, 0.005739732598671751, 0.0033081513080906663, 0.0029526380172693423]","[0.00080218528916805, 0.0021480012944025137, 0.00226948362426908, 0.0024635378345977434, 0.002827946375654586]","[0.0007943989387776028, 0.0020762802020849926, 0.0018880275670582441, 0.0015712156179519743, 0.0025359035280135096]","[0.000827585412395281, 0.0023060543984343646, 0.0031120123341347532, 0.0018613246509386464, 0.003229719492680899]","[0.0006843132117938864, 0.0022177647978590077, 0.002186762165534127, 0.002537408527732546, 0.002586048040073616]","[0.0006843326595231685, 0.0021200281373218305, 0.001803855906758915, 0.0015531047974286056, 0.002410144971921669]","[0.0006843326595088255, 0.0021026493709538716, 0.0018368909298906732, 0.0014196148824135544, 0.0023775178744374417]","[0.0008789072768792649, 0.003200899862967985, 0.0026161816351499543, 0.002094549591832298, 0.0032481245758518244]","[0.01920065032736993, 0.02109492398683903, 0.01767217122901567, 0.02304981263417783, 0.021197211654404406]","[0.0006970203307453192, 0.004047039972016856, 0.002172079039721819, 0.006076039192954156, 0.007797400557399402]","[0.0009022805648615471, 0.002893424178801373, 0.0025872672804743016, 0.0019546127364163893, 0.003248524420875635]","[0.0008971075551274413, 0.0029757666541355902, 0.002635399204345226, 0.0020055169492294227, 0.003327961066176221]"
XRP,"[0.002512361382712229, 0.0025042861348492274, 0.0036167943793436537, 0.0031546820965999475, 0.004312231409731996]","[0.00191661826298499, 0.0023721836703854433, 0.0025942855767253016, 0.00287450922298289, 0.004284212194049458]","[0.0015347783500657469, 0.002270031042939691, 0.0024555837318315575, 0.001781526922550887, 0.0038976570203730484]","[0.0019070606732174288, 0.0025779830416936054, 0.0027087984559835913, 0.0020439380218730202, 0.004363034240778002]","[0.001531628711078405, 0.0031301570667880436, 0.0028022654370453595, 0.0038179693563527525, 0.004374241746511335]","[0.001538817074382782, 0.0022498046323268938, 0.002451793083693917, 0.0017544119145035755, 0.003955374687843679]","[0.0015347432564317006, 0.0025606272330605793, 0.002539613222032206, 0.0019612987581172103, 0.0038965989870835905]","[0.0015348766223500217, 0.0023535627418134713, 0.002710093701359252, 0.002585744246622355, 0.0038898926283562315]","[0.0016963390759226914, 0.0028344406931641326, 0.0026608150155237567, 0.002312391059883998, 0.00393344082953356]","[0.14210290236702258, 0.40655274372322175, 0.08420663677766874, 0.019667174639987194, 0.023471453899502663]","[0.001567055705236937, 0.0038979726535775614, 0.0036574077319091883, 0.001830851152857986, 0.004400373886309819]","[0.0022310572876835244, 0.00319608157922088, 0.003430440018452641, 0.002566006910257381, 0.0054313470763842206]","[0.002289884667832691, 0.00326290405708533, 0.003441020751058488, 0.002581093233286582, 0.005497303229630474]"
ADA,"[0.0029682816404886323, 0.002884656944049204, 0.005387097124036524, 0.003943733928224602, 0.005770107509680871]","[0.0032131596115655093, 0.0025893305204714293, 0.004055605250491096, 0.004141252278052299, 0.0053438444588920385]","[0.0019062251531885904, 0.0024522360342675723, 0.003360287909078469, 0.003524347174552207, 0.004844469130619085]","[0.0019905608435137217, 0.0023716159959064607, 0.0033603771978109815, 0.0033206357250714718, 0.004588665938638266]","[nan, 0.0024196804064282127, 0.018529050231730727, 0.010792725935894283, 0.005600257661898346]","[0.0019058525103918722, 0.002834738865367546, 0.003344529691508049, 0.003913338798726229, 0.0045944963214693685]","[0.001906438204347577, 0.0024222331309287086, 0.003357175189887236, 0.0035250548892131997, 0.005078585596134467]","[0.001959058159429352, 0.0025104874967062595, 0.0033076864602577384, 0.0034580785279640885, 0.005075548613169306]","[0.0022732894953086803, 0.002363516295942831, 0.004117920274356347, 0.0032870158479747402, 0.005703705167751806]","[0.020862376889483666, 0.061799451211321084, 0.04211434903178324, 0.023732092822808908, 0.03572397172241541]","[0.0019345742856198922, 0.002426788507964882, 0.0053237458309535555, 0.006846019613759272, 0.004519901732364026]","[0.0027525517301892166, 0.0032143883135710713, 0.004424104323311062, 0.0044492032913767705, 0.007284675730402901]","[0.002777456773893208, 0.0032634722286472508, 0.004506576717626926, 0.004442961240166973, 0.007277695862465324]"
DOGE,"[0.002644862500505084, 0.005600731519984614, 0.004980382560459562, 0.004731336041256404, 0.005483508690243559]","[0.002644862500505084, 0.005276385215525135, 0.0034509151682352375, 0.003903300679989395, 0.004300467221184987]","[0.002644862500505084, 0.0052925013209075625, 0.00346651082598519, 0.0039057638389139054, 0.004295309277682726]","[0.0028693232535837235, 0.0027593964393706487, 0.003088556004760219, 0.0039995062851568485, 0.004365644521345728]","[0.0028371107780492517, 0.017462448960018622, 0.01777191643026973, 0.011480857847161602, 0.02865864749302296]","[0.0026431488991237742, 0.004332597553410669, 0.0035097405104503234, 0.004079142162481514, 0.004256044981893099]","[0.0026451055643744964, 0.00824246491846268, 0.006656261512895508, 0.005292756071865224, 0.004381434071644416]","[0.002659113770806115, 0.003289454022558963, 0.003005907058408543, 0.004064408975989772, 0.004167762943626141]","[0.002748020707334167, 0.004585459853421206, 0.003465524685603067, 0.0052049968990144895, 0.0052024857245858355]","[0.09120258783534445, 0.06165412174404273, 0.0367782194056459, 0.05190594681055793, 0.046487105929153755]","[0.002657148952011714, 0.013022740015153232, 0.006287091517715151, 0.0042945380337947635, 0.0057567045937045504]","[0.0037320167037485454, 0.0036149614645014736, 0.0041639085158588635, 0.004674472500441222, 0.006351706782420704]","[0.003703426427797315, 0.003516694065618782, 0.004086095005454061, 0.0046181226596328185, 0.0062728456748573965]"
MATIC,"[0.0016688106634648503, 0.002758712320881177, 0.0036822131074631275, 0.0025530771363621928, 0.003740906287796761]","[0.0015247367821792552, 0.002297694907410313, 0.0028462907534618728, 0.0027948658109384276, 0.003706292953947139]","[0.0015247367821792552, 0.002439996569061343, 0.002680324203420297, 0.0020906751325231896, 0.003710780360709404]","[0.0015849900533668026, 0.002020909161529094, 0.002721774082599875, 0.0021660232317976323, 0.0037908622987053056]","[0.0015107790424272692, 0.0021439499296390767, 0.0035299126104600823, 0.0022321570285229564, 0.004347782452971355]","[0.0015213332683793068, 0.0022860336837202074, 0.002819356704953125, 0.0022184587361886404, 0.003705023862964035]","[0.0015424055492542239, 0.0020464115153462424, 0.002680775730470857, 0.0021379819860103907, 0.0036516390517260075]","[0.0015249574087187437, 0.0022667904374141824, 0.002835760387368895, 0.0021127716123681118, 0.003852199066527113]","[0.001642830674377975, 0.0021716863579145985, 0.0029643938997881056, 0.00269406245859191, 0.004484990137034107]","[0.1921591834226276, 0.05344007313798728, 0.15621652248260315, 0.017272011915137293, 0.14987889791542108]","[0.0015285430383568947, 0.00242861675483102, 0.0027779210211439117, 0.0021830725776526097, 0.003932643158878298]","[0.0020469040901451648, 0.0026105658776204434, 0.0038254875504235403, 0.0029034859669620633, 0.005153352978675895]","[0.0020165498590872365, 0.002619851900531963, 0.0039047221515782385, 0.0029631280845207465, 0.005243784283620126]"
LINK,"[0.001833757739317885, 0.0025049962310756844, 0.0034522998547135016, 0.0034069482206966826, 0.003972589227968297]","[0.0017449249565471543, 0.0025273004268394923, 0.00348883265535249, 0.003341582927408044, 0.003949662489912777]","[0.0016737897274002325, 0.0023652665595131424, 0.0025614329996706113, 0.0030164509931856725, 0.0039140529138758755]","[0.0018367454172584232, 0.0025147522878186785, 0.002849410444363099, 0.0029327581822835647, 0.00413659378794571]","[0.0017932688787495696, 0.0033958711124250714, 0.002722511753206388, 0.0029193512976968495, 0.003992131968922963]","[0.001673789030176172, 0.0025434581724636048, 0.002633110241930963, 0.0026153830749053985, 0.0039212376734771605]","[0.0016713089185142413, 0.0025589427660476513, 0.0026330991774834974, 0.0026055318702637806, 0.003910411113362194]","[0.0016716515445120352, 0.003050835874645467, 0.003026184755719141, 0.0028838563400817164, 0.0038893905757366545]","[0.0020343397994015094, 0.0031533869254918184, 0.003673058583636593, 0.0034166091760144514, 0.005115343243553353]","[0.2996825341755591, 0.42913838431370005, 0.30372647508089956, 0.4102930939994276, 0.4233641768551452]","[0.0017477286666570666, 0.0024920345822155806, 0.002966323130073676, 0.002767494252968954, 0.004061420150601966]","[0.00210181465767171, 0.002864416653385348, 0.0036565809392917633, 0.0037376636372770133, 0.005667443197808076]","[0.0020790232278732872, 0.002878369791949957, 0.0036670080744174494, 0.0037140836558025346, 0.00569427964982874]"
ETC,"[0.0018826359448424579, 0.002686792220239098, 0.005532135623392436, 0.005121614788502494, 0.005669832191072832]","[0.0020858221977912705, 0.0030209584427890596, 0.0057785562386407155, 0.005550954276783788, 0.005617561999825746]","[0.0017616915969589251, 0.002673212503245409, 0.005554575750408333, 0.005389059222625421, 0.0053653933809828785]","[0.001682151384245842, 0.0026416680106577995, 0.00538243264284159, 0.004502073153195227, 0.004180887927223223]","[0.00217351699041649, 0.0035045656650602272, 0.006064766705519567, 0.006242434427633204, 0.005880303616918686]","[0.0016566185019638577, 0.0031350964281725894, 0.005364757222278659, 0.004926594872509642, 0.004647281323107063]","[0.0016276077595685755, 0.024236139256340664, 0.0291817644224796, 0.020632296120653277, 0.0072415843103575284]","[0.0016269419298702043, 0.005755338626095361, 0.009469755664560755, 0.008843636257637587, 0.005648838725103961]","[0.0021557495836989227, 0.003814625698077695, 0.006485443811668449, 0.005502955604769966, 0.005952734964200952]","[0.11631180921041645, 0.14726199055121583, 0.11826931471983741, 0.19963920184511738, 0.08916798773235415]","[0.0017048528669117678, 0.003715640542676905, 0.005816849142744547, 0.004728546165999315, 0.00439426253798276]","[0.0022393188675756273, 0.0036665188375479096, 0.0070820678779749445, 0.00673196784449235, 0.0062974244445984165]","[0.00218509765492586, 0.0037025372228495783, 0.00687931950750444, 0.006701162254410486, 0.006317504964759183]"
XLM,"[0.0020615634535917932, 0.002382667060583397, 0.0027949142209893834, 0.002936613088887609, 0.002844058374490087]","[0.0018552823010387581, 0.0021747335154347013, 0.0021997877719568204, 0.0018377065555307923, 0.002611322981950659]","[0.0018552823010387581, 0.002176704134204528, 0.0022012638365218706, 0.0018346759873956201, 0.0026156526293172927]","[0.001889136864637593, 0.0019434349431444267, 0.0022209537133156543, 0.0019525346281493638, 0.002636313299974109]","[0.0019228265353868471, 0.004315723200482325, 0.006921929762250775, 0.002092239596828393, 0.0034657979806508696]","[0.0018541830897025764, 0.0020206515766686833, 0.0021604097480732304, 0.0020633794149075577, 0.0027062692214726673]","[0.0018541548057874715, 0.002429948633473509, 0.002319910287145616, 0.0022154211904562605, 0.0025953871385371364]","[0.0018556052127749838, 0.002137519941443009, 0.0022556813872581286, 0.0018323876966579826, 0.0026049122817779742]","[0.0019369033318013924, 0.0040952680528613455, 0.0035861409542255764, 0.0018320545965473175, 0.0028960258467446128]","[0.028040513024593566, 1.2337657389902608, 0.05208609854244867, 0.10653505877927646, 0.06094844448101034]","[0.0018551014321094767, 0.008137405695193842, 0.0163785680859952, 0.01725550494082522, 0.01893225536010125]","[0.0025929792121516743, 0.0025806716875243886, 0.0031740484200796578, 0.0028408328179436314, 0.003630099919954889]","[0.002640423136606523, 0.002571239830242053, 0.003209850665114924, 0.0028997128929530544, 0.003595193198387388]"
