,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[0.010083708880221242, 0.014342349911544754, 0.01573775753967923, 0.01735116233511402, 0.00891918142354887]","[0.010811392036179732, 0.012267146266396354, 0.015085298465067783, 0.018149375897293374, 0.009461532044882108]","[0.010053729494572807, 0.014522316365924891, 0.0162799706474106, 0.01699865513347917, 0.008928679955210002]","[0.010720631961615299, 0.007739107970908084, 0.01167446189547699, 0.019775377171709678, 0.008756222124148949]","[0.010836329276410163, 0.009308995131974817, 0.013744127680756559, 0.018370835764051716, 0.008362029710107308]","[0.01028496669928481, 0.014674343111918509, 0.016421509125116855, 0.017102882471246767, 0.00878416796299709]","[0.01010727770781824, 0.014530485742924593, 0.016284638973814384, 0.01702638728192351, 0.008888579971746673]","[0.010342812928793608, 0.01641608615772386, 0.017181487544027322, 0.01785840264864459, 0.009278900908815764]","[0.010024274917441955, 0.0116580949466757, 0.014532004288283816, 0.01726684746339352, 0.009030889702115939]","[0.015357471829141088, 0.015091700604447275, 0.016414577334643025, 0.018546078989206263, 0.013050296229619507]","[0.011854259604515294, 0.009770314693158737, 0.014323696873824133, 0.02038766560507538, 0.010857157614208074]","[0.009967096648522458, 0.0077956980014207596, 0.011727866411056023, 0.01697818144979526, 0.008389214337766526]","[0.009867065226567776, 0.00766668115583395, 0.011403650669652873, 0.016749364956169476, 0.008057325565711527]"
ETH,"[0.011608755648832389, 0.013437477769340676, 0.013328316979927113, 0.017340590420818418, 0.010367006349266492]","[0.012176750497373648, 0.015236466664449501, 0.015574713001792343, 0.020612752207296258, 0.010973182684432719]","[0.01278474879632548, 0.01495655889778938, 0.01436070069451359, 0.01811157937409623, 0.010015186079231237]","[0.011325046994093339, 0.011011418908521342, 0.011506736543949542, 0.015505188667695766, 0.009734926783870765]","[0.013456269235025636, 0.012914519792254399, 0.01314016163924554, 0.016973683661340385, 0.010434661056218208]","[0.01151412981858065, 0.014491923389774055, 0.013854423694493597, 0.019029920774414694, 0.009952079643064627]","[0.011561198053113708, 0.019166530254392345, 0.01810810241741434, 0.024050696549069443, 0.009901509682711114]","[0.012001767499227801, 0.014997448205508367, 0.01476672125547332, 0.017721586044433836, 0.00995930802341199]","[0.011948662943941991, 0.015002315916575401, 0.01470048821199979, 0.019477278068371042, 0.01005153137600818]","[0.02159375302493541, 0.01831963135095438, 0.018215659052693962, 0.01806734402280504, 0.011623781421930112]","[0.012137775068911226, 0.016847405128284445, 0.01654762178510574, 0.02117840600998805, 0.010204110965850137]","[0.011396309039173666, 0.01142083999966095, 0.01180937617052157, 0.015950936222618, 0.009779488668585253]","[0.011376808051098735, 0.01090572950815633, 0.011461617558263106, 0.015455565164652048, 0.009744121059457756]"
BNB,"[0.011119818302236602, 0.015284998331440989, 0.0179001980810499, 0.020120907720570066, 0.013447207987331691]","[0.013964504570188621, 0.016643198177417357, 0.022516530467468245, 0.022720944489825475, 0.01508194859135679]","[0.010764122089827991, 0.015936818002418588, 0.021392302581920687, 0.02136434460155346, 0.015007655245721464]","[0.010938020701744655, 0.010887717437404064, 0.011156361937439688, 0.01455793218841843, 0.008040012063760663]","[0.011492824531768883, 0.014382139892010495, 0.013861003576964548, 0.01609730074152029, 0.011448856429725046]","[0.011355914360125232, 0.015857946864840784, 0.021286107831120508, 0.02119997873569157, 0.014978625914543332]","[0.01107990228841537, 0.016440743421002643, 0.021675741184129883, 0.02162738893828536, 0.015433745978966337]","[0.010773695920784095, 0.016002592868434997, 0.021485689799836553, 0.02143869038344788, 0.015081056332742013]","[0.011511113204080022, 0.014457688117771811, 0.01403484020649798, 0.01802019783722209, 0.011957680663960248]","[0.016827825189320734, 0.019205635793328436, 0.023102695248319163, 0.02413837935584091, 0.01654550954035486]","[0.012202417467658095, 0.016209390193073447, 0.02027517928155762, 0.021164552721165134, 0.01457171392655073]","[0.01079054481363876, 0.011756398694851783, 0.01094292337700343, 0.014476227860763748, 0.008245176480130763]","[0.010575920667336022, 0.010791219591289234, 0.011142003968425351, 0.01449260444452759, 0.007843101090128821]"
XRP,"[0.014033627874906269, 0.016949207416002192, 0.018058145259481146, 0.023770416784427484, 0.03432599313938735]","[0.015379563053003182, 0.021034140041480576, 0.021885835648759275, 0.027345856231291866, 0.04024939294995951]","[0.013515287946037218, 0.01712066401647625, 0.017258093898077954, 0.0235757761295922, 0.036702142507079774]","[0.014180659468966541, 0.01074842785511427, 0.009576170146154517, 0.020153437037958855, 0.015175591795363572]","[0.014821134424918588, 0.017562192190139728, 0.017669469592154045, 0.025656763319282683, 0.035376024246176974]","[0.013628154235159519, 0.01590389366753065, 0.015966841451480876, 0.023409471833535905, 0.03314970599596756]","[0.01343357581877384, 0.016322412299097463, 0.01639426161207947, 0.023064490780922316, 0.03448334096981568]","[0.01588738678589516, 0.02516469853455432, 0.02760479925129591, 0.029476029506178152, 0.0546372602784493]","[0.015169697502141765, 0.02118387431203085, 0.022222969451358748, 0.030860868820521647, 0.04506325708207618]","[0.021951253040360632, 0.01926719827765003, 0.01897377075923195, 0.024299900600338608, 0.038953479093505085]","[0.01679178543785978, 0.019745825443843686, 0.01924721542714482, 0.027035125190360106, 0.03474525635251345]","[0.014392883096596204, 0.0111126443380764, 0.010560254686475439, 0.019524761291419845, 0.015749586305266294]","[0.013398327430088968, 0.01075111309422448, 0.009902519708191913, 0.020018870964480146, 0.01503369747340324]"
ADA,"[0.01671493291753277, 0.018804565155870406, 0.018884164250277485, 0.02671946133109823, 0.013813916332847459]","[0.02034066244693584, 0.030025093577757164, 0.029367501878371085, 0.034609139200671206, 0.0179668094406354]","[0.01653229992304494, 0.018881704312864157, 0.018813281618323286, 0.027645077725850883, 0.013741233673548047]","[0.017525749985723264, 0.015240717676124192, 0.01468961670457577, 0.01899841843494282, 0.012472956523983097]","[0.01634281435337002, 0.023764583328449603, 0.02378112788306497, 0.03337779498370453, 0.012653848479846746]","[0.01766437853211511, 0.020961327709590343, 0.020934425543955276, 0.029593373782497434, 0.015033266071304492]","[0.017189769052297795, 0.019303114430082414, 0.0176868286797891, 0.03414321833843345, 0.01418584966037616]","[0.020731691026033523, 0.02213776339704912, 0.02160791565093614, 0.03516039987081217, 0.017108732816494856]","[0.01701095315271269, 0.01979852650061154, 0.019654994808239304, 0.029247761995546396, 0.014275160896528642]","[0.018955357031938357, 0.022394955866113696, 0.0228770232820298, 0.031262037477016426, 0.01841426450714334]","[0.018644796870593252, 0.02002015040014448, 0.019013788555619634, 0.02873230973471572, 0.015089179742825618]","[0.016946577132870552, 0.014918482315976256, 0.015118264239704199, 0.01957143161469249, 0.012191339540470641]","[0.016358910174778404, 0.014878667106101084, 0.01448628425481004, 0.018475423561108074, 0.012160465578946756]"
DOGE,"[0.01526966697665771, 0.017217099646736584, 0.019063093416467353, 0.023278495716239918, 0.028662553160234742]","[0.01740251721828145, 0.018706653738511554, 0.016163118761336397, 0.02211161801480772, 0.028518766217264995]","[0.015800797033322864, 0.017188752656561064, 0.017577714282158454, 0.022982251783949654, 0.027165961758863624]","[0.014915913755990757, 0.016564143757289998, 0.013271906317527893, 0.019424687506503547, 0.027618518679192707]","[0.014828395948106357, 0.016916101377465277, 0.01733587609218056, 0.023090083936083333, 0.026539823457657537]","[0.015412751764974086, 0.016995450980214148, 0.01864972641133966, 0.023758304330409118, 0.02674410874480517]","[0.015210356717766476, 0.01664550191079265, 0.04326486381492217, 0.04543066527595095, 0.030094426814101516]","[0.014850274415662976, 0.016760331831203942, 0.018677308666515176, 0.023536768572748258, 0.026842543936771292]","[0.015117191234057366, 0.016681471642883493, 0.01859209766530381, 0.023347581540551433, 0.027024968592617507]","[0.025032174670564414, 0.020590490014882366, 0.02032163347360927, 0.025793987123688925, 0.030109197317376345]","[0.015570390763467007, 0.017175509438414262, 0.020381861920059804, 0.028756791889454694, 0.02814709777273928]","[0.014776600188281992, 0.016763435583296907, 0.014381798558741212, 0.01999106665564684, 0.026090846862512167]","[0.014656248958241122, 0.01656349601174157, 0.012999535594496769, 0.018981276337327588, 0.025712466908885314]"
MATIC,"[0.013850797996264397, 0.02511096695935257, 0.017070669411900358, 0.02222306386056911, 0.014714072197791061]","[0.017878453780268, 0.026444509947735756, 0.018831941168607567, 0.024138813855212733, 0.018038012517587708]","[0.014729461027499547, 0.025843861382025685, 0.017711108013976892, 0.022845079374411336, 0.01594839718801463]","[0.013779099630186588, 0.019840427007466167, 0.01729404213143907, 0.020438242695526763, 0.011524915908350194]","[0.013761762266923569, 0.03276556948721479, 0.019938067241488496, 0.027830064901377214, 0.01732183924553488]","[0.013859600259311716, 0.02576383143574056, 0.018117776589051563, 0.023130599579179505, 0.015168992780312888]","[0.015614462237156266, 0.02711904601907894, 0.02205441406014069, 0.02444756948403947, 0.019297439946617777]","[0.013912873454068178, 0.025686405212917096, 0.01735556369678342, 0.022544154879028812, 0.01540413641859321]","[0.013239756196897979, 0.02354232871778026, 0.01759802819350091, 0.022405063302020405, 0.014521088325440369]","[0.02854328908100602, 0.02722014161955832, 0.021001731515934558, 0.025740443018371834, 0.019431865337645664]","[0.013239641852600268, 0.025048116711095303, 0.01815701064750908, 0.021991129809276505, 0.014831837415855406]","[0.014078925325746026, 0.020377744728614512, 0.018585770613367445, 0.020365102632165483, 0.011794419526328814]","[0.013354448666630523, 0.019617782722919076, 0.017255812300816888, 0.0203403646424584, 0.011238231105960023]"
LINK,"[0.014206361364772598, 0.02437908329877539, 0.025602255825121344, 0.02439801753258472, 0.014368776487784394]","[0.01662156289741754, 0.03225223340873587, 0.03228000401131403, 0.025007453768403166, 0.01579527891782376]","[0.01318505322727496, 0.0253560094941905, 0.024676272766015937, 0.021108260575136414, 0.011828014678217511]","[0.016143896846396943, 0.01626565506988792, 0.01671664768314625, 0.020049593912463994, 0.012453660978773467]","[0.02019165967801532, 0.0326598369752922, 0.03081335327186883, 0.023286191092024334, 0.01078958543543679]","[0.014421885954701797, 0.028589814098874764, 0.027120317173925088, 0.023686028736910694, 0.012920174379809387]","[0.014224001496115645, 0.027505013798574843, 0.02749858622434613, 0.023682607565598986, 0.01510778396704902]","[0.01414539163657383, 0.03455740518166829, 0.031125124920690278, 0.027196592966708958, 0.014744523456058218]","[0.013242117465809597, 0.022914031925418587, 0.02229517695055058, 0.021974545613364725, 0.012329778416466099]","[0.019927767517967335, 0.029649526480796405, 0.029915625025924802, 0.026698068904139848, 0.021456621915525123]","[0.013943578328501672, 0.03575860364379249, 0.036582467886265124, 0.03038522876671708, 0.017135193871645596]","[0.01422256200397872, 0.017280797182258535, 0.01752569912540698, 0.01855417760705285, 0.010956461980067873]","[0.013212824532809735, 0.01592279536740351, 0.016532458254870513, 0.018458559945402433, 0.01058481887901321]"
ETC,"[0.01960053569513893, 0.026561291752261674, 0.026056047554206953, 0.0321103563045136, 0.015647284186585477]","[0.024129386894109865, 0.03297463460804384, 0.03309528726018248, 0.03760906451300694, 0.023383003291820293]","[0.020537195621235155, 0.029843977677363947, 0.029283697915774832, 0.03516163933411823, 0.017261504570435897]","[0.019802240652050926, 0.015449480801733709, 0.014009479188755287, 0.0215185003210963, 0.01282446794135261]","[0.020947979711360237, 0.03451635514399927, 0.03523409726757741, 0.0427217098324797, 0.01764591485338786]","[0.02018438436320867, 0.028057413753699183, 0.027474598895720716, 0.03376530556916364, 0.016306740638393522]","[0.019717464335248472, 0.02632518860730192, 0.02563858425078517, 0.031550401708377876, 0.015547306694547696]","[0.019671178687445296, 0.026784460873736267, 0.026104776560285224, 0.03198669218106688, 0.01577560918890228]","[0.02114723093475628, 0.029724761513730772, 0.02982139993320738, 0.036382880380373905, 0.016252040165725398]","[0.022967761789688367, 0.028973810959159924, 0.028584007694741013, 0.034543606671637944, 0.019916959765135165]","[0.023346207429174003, 0.028451387745316633, 0.02600264193605366, 0.03473406190169369, 0.018736723892722434]","[0.02054534680764104, 0.01681449098542545, 0.014973557603935256, 0.0232672074196541, 0.012747748821887745]","[0.01949856519939956, 0.015344831560712778, 0.013782701882448968, 0.021427780091497543, 0.012774763614684603]"
XLM,"[0.010564750741409216, 0.02185327197241606, 0.021887600157056767, 0.016719080392086434, 0.013554258451290949]","[0.011312172065613815, 0.0276967892536702, 0.027943794512870716, 0.017528500599903893, 0.01363794927940539]","[0.01059131187388229, 0.02749776970028585, 0.027448437212252968, 0.01741690032092472, 0.013424139732528687]","[0.010631665938554946, 0.01163986309439098, 0.010987110334846478, 0.014726676456666267, 0.01313400831914542]","[0.018397399079853518, 0.03686080867314607, 0.036733824954175286, 0.021712011741264563, 0.017271143630644005]","[0.010955397317134127, 0.028660504451799237, 0.028605110517596805, 0.01810196695980417, 0.01409825929410437]","[0.010674837471006244, 0.02892756636845821, 0.028904924581661592, 0.01782283293431825, 0.013473013302021266]","[0.011961993403143606, 0.03792846018345505, 0.037856649730223346, 0.020241244979575922, 0.014204574306547467]","[0.010644738710188026, 0.02890714052753185, 0.028799888927903534, 0.018313042357293672, 0.01390537787338525]","[0.01481532229159882, 0.027041078651745154, 0.0275297038243045, 0.017636730228539704, 0.013876671838052846]","[0.010440541526076272, 0.02717426645577133, 0.027202963294773248, 0.01712852684752233, 0.013899841333761861]","[0.01083195441370939, 0.011869098574497198, 0.011478948870484366, 0.014598819949406655, 0.013429679874134072]","[0.010308810973153983, 0.011242262596045454, 0.010900153130149623, 0.01459729492223565, 0.012646375743001434]"
