Coin,Time Frame,Frequency,Seasonal Strength
BTC,1m,60,0.42042816933151783
BTC,1m,120,0.20151875313262013
BTC,15m,4,0.277670499251524
BTC,15m,96,0.38150441466891083
BTC,4h,6,0.2565934507398697
BTC,4h,42,0.32466483014558034
BTC,4h,180,0.6677092963392686
BTC,1d,7,0.25764003853882333
BTC,1d,30,0.37099833257353876
BTC,1d,90,0.19906477691962732
BTC,1d,365,0.6621004800928301
ETH,1m,60,0.4017482412859015
ETH,1m,120,0.18429372353232154
ETH,15m,4,0.2916808241479514
ETH,15m,96,0.2395985367390987
ETH,4h,6,0.23203871834032586
ETH,4h,42,0.3791461472742046
ETH,4h,180,0.6048187504836577
ETH,1d,7,0.2875866011243189
ETH,1d,30,0.4142477049019415
ETH,1d,90,0.4004547588518078
ETH,1d,365,0.6356568814020214
BNB,1m,60,0.4432366461678352
BNB,1m,120,0.3429853898562726
BNB,15m,4,0.26520215153938387
BNB,15m,96,0.22687976379307517
BNB,4h,6,0.20737377762495401
BNB,4h,42,0.31179811566633986
BNB,4h,180,0.6270378905141192
BNB,1d,7,0.28936314968134225
BNB,1d,30,0.40590492878703466
BNB,1d,90,0.2444837420423177
BNB,1d,365,0.7605461643764444
XRP,1m,60,0.35760805898666614
XRP,1m,120,0.2334743602793149
XRP,15m,4,0.3097937318820212
XRP,15m,96,0.4711216525318003
XRP,4h,6,0.2675844339533583
XRP,4h,42,0.39983040484969967
XRP,4h,180,0.640411096979753
XRP,1d,7,0.32142196997351025
XRP,1d,30,0.37144736730076966
XRP,1d,90,0.2640919760456254
XRP,1d,365,0.8216650615918378
ADA,1m,60,0.26931291480509123
ADA,1m,120,0.36891235280606105
ADA,15m,4,0.2634667344645897
ADA,15m,96,0.18641466885395575
ADA,4h,6,0.2521136255181621
ADA,4h,42,0.3918534775700073
ADA,4h,180,0.43389618171058675
ADA,1d,7,0.29456732296780264
ADA,1d,30,0.25788693352427716
ADA,1d,90,0.43931238714857657
ADA,1d,365,0.5086942385698998
DOGE,1m,60,0.19723688597770328
DOGE,1m,120,0.11773270396739
DOGE,15m,4,0.2975636827526048
DOGE,15m,96,0.3423962159350932
DOGE,4h,6,0.24130258634041668
DOGE,4h,42,0.31523511121113523
DOGE,4h,180,0.6976907211113202
DOGE,1d,7,0.25580491427857033
DOGE,1d,30,0.32585238335427646
DOGE,1d,90,0.40447931356481726
DOGE,1d,365,0.9096472561742338
MATIC,1m,60,0.30682865864422393
MATIC,1m,120,0.28022382779667454
MATIC,15m,4,0.28168100801190876
MATIC,15m,96,0.3086930892563472
MATIC,4h,6,0.2953253881941541
MATIC,4h,42,0.42217897619398004
MATIC,4h,180,0.5074223728086117
MATIC,1d,7,0.3152049716576625
MATIC,1d,30,0.2643886108115998
MATIC,1d,90,0.45080605274206764
MATIC,1d,365,0.814530114679075
LINK,1m,60,0.29902547786747313
LINK,1m,120,0.1324765211575104
LINK,15m,4,0.2515325906679823
LINK,15m,96,0.41642741015194396
LINK,4h,6,0.23574872707667038
LINK,4h,42,0.37014862014971683
LINK,4h,180,0.6584784181584278
LINK,1d,7,0.30565665575744105
LINK,1d,30,0.4568897631091947
LINK,1d,90,0.44827912175289286
LINK,1d,365,0.7617309437315348
ETC,1m,60,0.38351524836458106
ETC,1m,120,0.22090565252050165
ETC,15m,4,0.28329957662987615
ETC,15m,96,0.3505799460455905
ETC,4h,6,0.28513200008201467
ETC,4h,42,0.38551720591121286
ETC,4h,180,0.525153324946932
ETC,1d,7,0.23577565042644766
ETC,1d,30,0.3519738585177393
ETC,1d,90,0.40811634530138774
ETC,1d,365,0.8974238641949273
XLM,1m,60,0.3028467815772181
XLM,1m,120,0.20325750972064316
XLM,15m,4,0.30849817689454573
XLM,15m,96,0.3280154905640238
XLM,4h,6,0.2496683883124301
XLM,4h,42,0.39617443393396
XLM,4h,180,0.5521647122256481
XLM,1d,7,0.31093385347247127
