Coin,Time Frame,Frequency,Seasonal Strength
BTC,1m,60,0.3657784529329672
BTC,1m,120,0.3556446437156584
BTC,15m,4,0.36053360351916564
BTC,15m,96,0.3641918720532701
BTC,4h,6,0.2904017129034213
BTC,4h,42,0.3440459162748376
BTC,4h,180,0.5339690916855733
BTC,1d,7,0.32902822685535027
BTC,1d,30,0.3386570551153144
BTC,1d,90,0.34030687024122996
BTC,1d,365,0.7704607459527754
ETH,1m,60,0.3703367051521069
ETH,1m,120,0.3445413538991319
ETH,15m,4,0.3549856178413534
ETH,15m,96,0.32926140952430416
ETH,4h,6,0.26023354065055015
ETH,4h,42,0.3501453122796089
ETH,4h,180,0.5791007410569244
ETH,1d,7,0.32887993379004676
ETH,1d,30,0.3441576015343176
ETH,1d,90,0.34448872388053
ETH,1d,365,0.8087488845782734
BNB,1m,60,0.35595801868648314
BNB,1m,120,0.39297644586451486
BNB,15m,4,0.36466654532178866
BNB,15m,96,0.37308755009474304
BNB,4h,6,0.2889721903684268
BNB,4h,42,0.3612299114626154
BNB,4h,180,0.564065924739986
BNB,1d,7,0.3270466699490616
BNB,1d,30,0.3450749939602834
BNB,1d,90,0.3224233731500562
BNB,1d,365,0.8365887262166782
XRP,1m,60,0.38879971154018467
XRP,1m,120,0.40405223894212805
XRP,15m,4,0.3750876493389457
XRP,15m,96,0.45830396910932725
XRP,4h,6,0.35004236935304667
XRP,4h,42,0.4248772872183312
XRP,4h,180,0.6144156649186976
XRP,1d,7,0.36494301186377476
XRP,1d,30,0.3592751227963804
XRP,1d,90,0.35229744210936853
XRP,1d,365,0.809001861922855
ADA,1m,60,0.38517757432629973
ADA,1m,120,0.3662434934140497
ADA,15m,4,0.31088610842429587
ADA,15m,96,0.38931478686734133
ADA,4h,6,0.3134027902151185
ADA,4h,42,0.37227565067842083
ADA,4h,180,0.5354363980218706
ADA,1d,7,0.3446820434623088
ADA,1d,30,0.32164529648509066
ADA,1d,90,0.3851863712354989
ADA,1d,365,0.8027795404605316
DOGE,1m,60,0.3557575487777854
DOGE,1m,120,0.3614896938577321
DOGE,15m,4,0.33446582757410037
DOGE,15m,96,0.397064872739168
DOGE,4h,6,0.31605525991778016
DOGE,4h,42,0.3963486488892064
DOGE,4h,180,0.6168571779923375
